States	5A1_1A1	6A1_1A1	1B1_5A1	1B1_6A1	7B1_1A1	7B1_1B1	1B2_5A1	1B2_6A1	7B2_1A1	7B2_1B2	1A2_7B1	1A2_7B2	2A2_7B1	2A2_7B2	7A2_1B1	7A2_1B2	7A2_1A2	7A2_2A2
550 Shift	1.7008796661370818e-10	1.7108771178835048e-10	1.6145230727496354e-10	1.7885815260997419e-10	1.0321626710092067e-10	1.0480789869794893e-10	1.614932082155049e-10	1.7890953243061122e-10	1.0416690892100375e-10	1.0580241958823723e-10	1.033265602504197e-10	1.0427722422756579e-10	1.0597684375095892e-10	1.0692619600595309e-10	2.2047622936680472e-10	2.205290875204895e-10	2.1602430491396656e-10	2.2178934821796646e-10
600 Broad	2.0300742226397079e-10	3.332814147533458e-10	1.9573037247219475e-10	3.2586455688180407e-10	3.116560259041261e-10	3.1459573093116614e-10	1.9573117773047915e-10	3.2586938589867625e-10	3.1172708722888434e-10	3.1467619241899993e-10	3.117158043610227e-10	3.117869058510319e-10	3.1555619780867445e-10	3.1562844218145116e-10	2.5744377566982e-10	2.5744462964787944e-10	2.725376994470216e-10	2.5175285590100326e-10
600 Shift	1.731891011810423e-10	1.8224490348376022e-10	1.6384683116696002e-10	1.8976923498580063e-10	1.0751885698414662e-10	1.0992203918684053e-10	1.638875401496942e-10	1.8982097618453843e-10	1.084706267564017e-10	1.1091820640524691e-10	1.0762682343278987e-10	1.0857860047827542e-10	1.1139245571240225e-10	1.1234275133998523e-10	2.2798827935904273e-10	2.2804104688723885e-10	2.2454521254158766e-10	2.2885793167219643e-10
650 Broad	2.042430407934108e-10	3.400594429825253e-10	1.9726933596264164e-10	3.3159046552311553e-10	3.238504202768627e-10	3.2688258635367895e-10	1.9727018606216883e-10	3.315945553626202e-10	3.239210939023036e-10	3.269631955020594e-10	3.2396022373370147e-10	3.240309378109449e-10	3.2776348235506195e-10	3.2783571719514235e-10	2.588014262305708e-10	2.5880147391917074e-10	2.7471438211892054e-10	2.5287717691744187e-10
650 Shift	1.7582140353286477e-10	1.928309055783793e-10	1.6584257140213526e-10	2.0001531066540313e-10	1.1209321406426833e-10	1.1529532993655212e-10	1.658831036400178e-10	2.000673143282956e-10	1.1304588756178033e-10	1.1629298498461326e-10	1.1217684119945876e-10	1.1312950536210138e-10	1.1707627981979286e-10	1.1802737017185613e-10	2.3476582054662323e-10	2.3481843738932183e-10	2.323253183639009e-10	2.352011521208314e-10
700 Broad	2.054484607636013e-10	3.459566109834937e-10	1.98781160572562e-10	3.365448435841298e-10	3.355799922342741e-10	3.385859940048592e-10	1.9878205594394273e-10	3.3654823482823924e-10	3.3565045483791746e-10	3.3866683314551824e-10	3.357309852835549e-10	3.358014823716655e-10	3.393453170103331e-10	3.394177128879314e-10	2.5993015980805045e-10	2.599294874504755e-10	2.765400948818001e-10	2.537968553904961e-10
700 Shift	1.7806608754063445e-10	2.0285863204073608e-10	1.6751068280381508e-10	2.0962809723506812e-10	1.1692012367619127e-10	1.208853389346297e-10	1.6755105119585558e-10	2.0968028287084405e-10	1.178735311254641e-10	1.2188435622356645e-10	1.1695919301365158e-10	1.1791257510574543e-10	1.229806924282728e-10	1.2393247362041646e-10	2.4090108177018607e-10	2.4095350527357787e-10	2.3944351875059607e-10	2.4092042194154473e-10
750 Broad	2.06628840632611e-10	3.511041300185221e-10	2.0026728998538188e-10	3.408519349589947e-10	3.4682891641481314e-10	3.4970036280160096e-10	2.0026823028633056e-10	3.408546689875487e-10	3.4689932209508924e-10	3.4978149522981574e-10	3.4700647687039933e-10	3.4707690551045483e-10	3.5030911191903195e-10	3.503818076566864e-10	2.60879549751365e-10	2.608782329756405e-10	2.780789369034009e-10	2.545571700380685e-10
750 Shift	1.799855152762333e-10	2.1234698519225834e-10	1.6890567702732086e-10	2.1864042288609454e-10	1.2196773460133476e-10	1.266463401189605e-10	1.6894589240562435e-10	2.1869272462377017e-10	1.2292174186818017e-10	1.2764661242329262e-10	1.2194564953392714e-10	1.228996178742794e-10	1.2905525822327384e-10	1.3000765204956783e-10	2.464683729037517e-10	2.4652057279758356e-10	2.4596623427018683e-10	2.460969910043708e-10
800 Broad	2.0778523135460476e-10	3.556079401322378e-10	2.0172623019449854e-10	3.4460866255660175e-10	3.5758716009274496e-10	3.6022663446844315e-10	2.017272145719848e-10	3.4461078016308344e-10	3.5765764011536514e-10	3.6030810694439123e-10	3.577727546104339e-10	3.5784324156796695e-10	3.606670558496995e-10	3.6074016180743495e-10	2.61683925663626e-10	2.616820308881252e-10	2.793777377479764e-10	2.5519049085071714e-10
800 Shift	1.816280935365213e-10	2.2131702722016153e-10	1.7006980967946366e-10	2.2708425016037105e-10	1.2719745538600993e-10	1.325326059321649e-10	1.7010988098709624e-10	2.2713661369275333e-10	1.2815194902007774e-10	1.335340329374167e-10	1.2710212245362919e-10	1.2805656739673581e-10	1.3524994825899187e-10	1.3620288776888935e-10	2.5152819557431034e-10	2.5158015040561093e-10	2.5194962521073127e-10	2.5079613919635373e-10
850 Broad	2.0891582296659365e-10	3.5955363377262985e-10	2.0315446668098344e-10	3.478908093427011e-10	3.678490063722441e-10	3.7017031841652795e-10	2.0315549394196743e-10	3.478923499436434e-10	3.67919670109789e-10	3.702521634981728e-10	3.680219044786062e-10	3.6809255582288995e-10	3.704339013021154e-10	3.7050750279481207e-10	2.6236666014983597e-10	2.623642458595543e-10	2.8047076865213606e-10	2.557196649894069e-10
850 Shift	1.8303174748866894e-10	2.2978984158053347e-10	1.7103613835532664e-10	2.349896885756257e-10	1.3256773353160284e-10	1.3850009597909732e-10	1.7107607278179469e-10	2.350420687237884e-10	1.3352260913052775e-10	1.3950257544217167e-10	1.323917479420008e-10	1.3334656975181527e-10	1.4151688300986812e-10	1.424703017630237e-10	2.561302852233967e-10	2.5618197979471804e-10	2.5744133527164357e-10	2.5507046007786485e-10
900 Broad	2.100168523248133e-10	3.6301045501001367e-10	2.045471302143605e-10	3.507578500243042e-10	3.7761192961671306e-10	3.795400267799938e-10	2.0454819893874049e-10	3.507588512363468e-10	3.77682866106669e-10	3.7962226489731285e-10	3.7775062971769766e-10	3.778215323698949e-10	3.796255410433542e-10	3.796997016069975e-10	2.6294330111162305e-10	2.62940418976955e-10	2.8138317301418765e-10	2.5616047330757267e-10
900 Shift	1.8422645058610764e-10	2.3778546238783117e-10	1.7183072707654334e-10	2.4238459675272183e-10	1.3803651291404672e-10	1.445073288575446e-10	1.7187053017184238e-10	2.4243695553732187e-10	1.3899166635370548e-10	1.4551075005154887e-10	1.3777688669109264e-10	1.3873198635224333e-10	1.4781127973563167e-10	1.4876510404212648e-10	2.6031590846235387e-10	2.6036733197815223e-10	2.6248191862616636e-10	2.589624808216769e-10
950 Broad	2.1108330170613252e-10	3.660345605046479e-10	2.0589851610027262e-10	3.532567231530794e-10	3.8687582955315817e-10	3.8834645978880244e-10	2.0589962471691252e-10	3.5325722059638476e-10	3.869471093393543e-10	3.884291010528273e-10	3.8695916386144677e-10	3.8703038733510803e-10	3.882581851972119e-10	3.8833294958792664e-10	2.6342387673237444e-10	2.6342057257119106e-10	2.8213348256768916e-10	2.565234685257639e-10
950 Shift	1.8523610632612476e-10	2.4532245727307936e-10	1.7247428044086244e-10	2.4929453396303497e-10	1.4356284899368743e-10	1.50515842408865e-10	1.725139562225349e-10	2.493468390853316e-10	1.4451817012033534e-10	1.515200815759678e-10	1.4322047467659546e-10	1.4417574725397585e-10	1.5409196339608552e-10	1.5504610701366808e-10	2.6411963461813547e-10	2.641707793399624e-10	2.6710604230548747e-10	2.6250677471824834e-10
1000 Broad	2.12109450891862e-10	3.6867168002576013e-10	2.0720250435343674e-10	3.554247711272536e-10	3.9564255029458784e-10	3.966017428264164e-10	2.0720365119239912e-10	3.554247983664808e-10	3.9571422735805434e-10	3.9668478859909524e-10	3.956504865262038e-10	3.9572208470950077e-10	3.963479525079964e-10	3.9642334939999146e-10	2.63814596594705e-10	2.638109111908208e-10	2.827354726866335e-10	2.5681537958663303e-10
1000 Shift	1.8607996964684205e-10	2.524178883196669e-10	1.729833805359496e-10	2.5574290849623096e-10	1.4910796899788772e-10	1.5649043983119745e-10	1.730229315977228e-10	2.5579513214828365e-10	1.5006333740406949e-10	1.574953573732233e-10	1.4868696038908486e-10	1.4964229055572212e-10	1.603216260318024e-10	1.6127598688140448e-10	2.6757072486323407e-10	2.6762158513605837e-10	2.7134351355905996e-10	2.6573166995912184e-10
