States	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
500 Broad	7.486213701415067e-10	1.082047951908365e-09	7.743672333431746e-10	1.0979844172609242e-09	9.002661022433836e-10	1.1768216606741715e-09	1.0820458245208814e-09	7.743648786124102e-10	1.0979787358003039e-09	9.002656419364812e-10	1.1768173480221266e-09	1.0967361050455863e-09	1.1738520762987715e-09	1.09673419888357e-09	1.1738445943254188e-09	9.46899574433887e-10	1.0440291629588833e-09	9.468974394546904e-10	1.0440251463079268e-09	1.0781770161075586e-09	1.0781735432155605e-09	1.0761092474150743e-09	9.204663930748309e-10	1.0743589044628705e-09	1.0743571837103445e-09	1.0722210181034666e-09	9.155690047255164e-10
500 Shift	4.892470017798391e-10	6.197685429365093e-10	5.024977493979224e-10	6.24995784664037e-10	5.56996937507271e-10	6.442517022312106e-10	6.197673110649209e-10	5.024973972066755e-10	6.249937588011497e-10	5.569967116156307e-10	6.4424892090403e-10	6.242317225991754e-10	6.432184174448066e-10	6.242315550614579e-10	6.432272476365276e-10	5.781906899592939e-10	6.094773239509578e-10	5.781894946342992e-10	6.094758945513453e-10	6.187773549641046e-10	6.187766773260145e-10	6.178931462482458e-10	5.698886595219852e-10	6.17554206839259e-10	6.17552789393553e-10	6.167651105846557e-10	5.671535153543976e-10
550 Broad	7.696774535995822e-10	1.1131368053712756e-09	7.962291861837231e-10	1.1295633644124666e-09	9.257791767203001e-10	1.2109318254843234e-09	1.113134531834286e-09	7.962267342478049e-10	1.129557492264966e-09	9.257786138041162e-10	1.2109276035663337e-09	1.128221347006828e-09	1.2078003722132341e-09	1.1282193875948028e-09	1.2077929907258283e-09	9.735785936994342e-10	1.0736774141132513e-09	9.735763509692815e-10	1.073673191580855e-09	1.1091024262685176e-09	1.1090989148657112e-09	1.1069949588299982e-09	9.463826471945136e-10	1.1051756072360965e-09	1.105173713376812e-09	1.1030027857375332e-09	9.41348952181115e-10
550 Shift	5.059092454607188e-10	6.438546757129016e-10	5.197481814403226e-10	6.493469628639862e-10	5.770183244167566e-10	6.703903822932963e-10	6.438534007739399e-10	5.197477195228212e-10	6.493448313459386e-10	5.770180350628244e-10	6.703876832680341e-10	6.485925429128353e-10	6.692671043885421e-10	6.485923139970319e-10	6.692760907050981e-10	5.993019794925453e-10	6.327319024510989e-10	5.993007496401338e-10	6.327306750210034e-10	6.427492477634375e-10	6.427484932701633e-10	6.418559153145852e-10	5.906237596881612e-10	6.414039640313928e-10	6.414025199786483e-10	6.405960549828521e-10	5.877241500859436e-10
600 Broad	7.893898259801119e-10	1.1422275480974684e-09	8.166939502651393e-10	1.159104250091353e-09	9.496596195761173e-10	1.2428360149828471e-09	1.1422251420466094e-09	8.166914027640767e-10	1.1590981821689904e-09	9.496589598541736e-10	1.242831868043345e-09	1.1576828215009397e-09	1.2395617624728755e-09	1.1576808109742913e-09	1.2395544777903971e-09	9.98528592580667e-10	1.1014122429543342e-09	9.98526249061473e-10	1.1014078483568925e-09	1.1380415351786067e-09	1.1380379828102078e-09	1.1358957576396845e-09	9.70620755614835e-10	1.134013970061328e-09	1.1340119194037837e-09	1.1318064971429272e-09	9.654645670758216e-10
600 Shift	5.215393844195115e-10	6.664577897888491e-10	5.359319567657287e-10	6.722003931678451e-10	5.958032003317185e-10	6.949216095549442e-10	6.664564740338528e-10	5.359313901895363e-10	6.721981892384038e-10	5.958028521928401e-10	6.949190148755187e-10	6.714561208665506e-10	6.937198674810689e-10	6.714558364667538e-10	6.937289884610764e-10	6.191117538754592e-10	6.545594874374997e-10	6.191104928714433e-10	6.545584433837078e-10	6.652464595510443e-10	6.652456344116066e-10	6.643431257275834e-10	6.100751665382453e-10	6.637865437090336e-10	6.637850727661089e-10	6.6296030693713e-10	6.070351641710481e-10
650 Broad	8.079437305731666e-10	1.1695969927423866e-09	8.359539601244537e-10	1.1868892416297616e-09	9.721329413522003e-10	1.2728416798664086e-09	1.16959446593285e-09	8.359513195966509e-10	1.1868829809513729e-09	9.721321905259424e-10	1.2728375863515749e-09	1.1854011719909037e-09	1.2694401232059505e-09	1.1853991129069129e-09	1.2694329309576943e-09	1.0219898740184793e-09	1.127499409807113e-09	1.0219874361155698e-09	1.1274948700534013e-09	1.1652695894565203e-09	1.1652659946656163e-09	1.1630867343366113e-09	9.93414204000251e-10	1.1611481640538595e-09	1.1611459703017051e-09	1.158906483573795e-09	9.88148515667294e-10
650 Shift	5.362782002642817e-10	6.877790491420425e-10	5.511942617890882e-10	6.93760822453991e-10	6.135197684335627e-10	7.180609072629055e-10	6.877776943315381e-10	5.511935956795688e-10	6.937585779504715e-10	6.135193656359683e-10	7.180584347331654e-10	6.930256171558514e-10	7.167921924639498e-10	6.930252826187903e-10	7.168014307481101e-10	6.377975778947213e-10	6.75153290335988e-10	6.37796288464657e-10	6.751524134661402e-10	6.8646866123233e-10	6.864677706470854e-10	6.855548456398087e-10	6.284150627201219e-10	6.84900803440529e-10	6.848993054174723e-10	6.840565889780116e-10	6.252587148873717e-10
700 Broad	8.254844331122104e-10	1.195462036495311e-09	8.541602366478411e-10	1.2131399833990284e-09	9.933759546841998e-10	1.301189998691561e-09	1.195459399116946e-09	8.541575061033002e-10	1.2131335393217568e-09	9.933751181814861e-10	1.3011859340188026e-09	1.211596485000128e-09	1.2976735275541013e-09	1.2115943802658712e-09	1.297666423134709e-09	1.0441506596028092e-09	1.1521471902373211e-09	1.0441481331579e-09	1.1521425269903875e-09	1.1910023187490907e-09	1.1909986807087087e-09	1.1887833982874908e-09	1.0149462873363381e-09	1.1867930434736816e-09	1.186790718276175e-09	1.1845177183951064e-09	1.0095830800983609e-09
700 Shift	5.502363084075646e-10	7.0797681072408e-10	5.656492415729029e-10	7.141893902101872e-10	6.303003272573944e-10	7.399784542205277e-10	7.079754185162208e-10	5.656484809221334e-10	7.141871336499272e-10	6.302998734508092e-10	7.39976116489567e-10	7.134610655404231e-10	7.386539171153033e-10	7.134606854940724e-10	7.386632584210255e-10	6.554990573591485e-10	6.946654152479778e-10	6.554977417351022e-10	6.946646913974921e-10	7.065731034179807e-10	7.065721518091811e-10	7.056486192914815e-10	6.457793961219741e-10	7.049033267943007e-10	7.049018015995405e-10	7.040414038496643e-10	6.425297188626853e-10
