R	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
2.4	10207.475334785791	10569.340715258237	10222.208666683204	10584.07404715565	10491.67303316138	10853.538413633825	10569.342910006279	10222.208666683204	10584.076241903691	10491.67303316138	10853.540608381867	10623.456574765223	10892.9209412434	10623.456574765223	10892.9209412434	10222.208666683204	10491.67303316138	10222.208666683204	10491.67303316138	10572.47042346964	10572.472618217682	10611.852951079214	10210.605042997195	10800.29386840052	10800.296063148562	10839.676396010094	10438.428487928075
2.42	10275.982145795191	10594.709787729036	10290.52234003965	10609.249981973495	10516.265165474382	10834.992807408227	10594.711982452121	10290.52234003965	10609.25217669658	10516.265165474382	10834.995002131313	10647.903853807322	10873.646679242054	10647.903853807322	10873.646679242054	10290.52234003965	10516.265165474382	10290.52234003965	10516.265165474382	10598.278445224292	10598.280639947377	10636.93231705812	10279.550803290447	10827.041241568179	10827.043436291264	10865.695113402006	10508.313599634334
2.44	10340.169696078112	10620.0020440683	10355.012765327672	10634.84511331786	10540.967035064663	10820.799383054851	10620.004238816342	10355.012765327672	10634.847308065902	10540.967035064663	10820.801577802893	10672.423559459901	10858.377829196892	10672.423559459901	10858.377829196892	10355.012765327672	10540.967035064663	10355.012765327672	10540.967035064663	10624.062324725528	10624.06451947357	10661.640770867569	10344.22997673534	10854.815755970732	10854.817950718774	10892.394202112773	10574.983407980544
2.46	10400.301355199917	10645.140668194392	10415.97842803139	10660.817741025865	10565.75449977866	10810.593812773135	10645.140668194392	10415.97842803139	10660.817741025865	10565.75449977866	10810.593812773135	10696.991549544458	10846.767621291729	10696.991549544458	10846.767621291729	10415.97842803139	10565.75449977866	10415.97842803139	10565.75449977866	10649.749635437707	10649.749635437707	10685.9234439563	10404.910322443233	10883.41330026486	10883.41330026486	10919.587108783453	10638.573987270385
2.48	10456.6404927259	10670.037870210639	10473.71561896165	10687.11299644639	10590.612196380069	10804.009573864809	10670.04006495868	10473.713424213609	10687.11299644639	10590.612196380069	10804.01176861285	10721.585876580531	10838.48245399895	10721.58368183249	10838.48245399895	10473.71561896165	10590.612196380069	10473.713424213609	10590.612196380069	10675.248197943118	10675.25039269116	10709.721078077258	10461.850820458378	10912.649515714991	10912.651710463033	10947.122395849132	10699.252138230251
2.5	10509.435114985055	10694.627807775585	10528.476733868723	10713.669426659253	10615.535735347847	10800.728428138376	10694.630002523627	10528.476733868723	10713.671621407295	10615.535735347847	10800.730622886418	10746.178008868592	10833.237010347715	10746.178008868592	10833.237010347715	10528.476733868723	10615.535735347847	10528.476733868723	10615.535735347847	10700.489975127333	10700.492169875375	10732.998557336672	10515.297282336804	10942.377354352022	10942.379549100064	10974.88593656136	10757.184661561492
2.52	10558.92664403739	10718.844638448034	10580.485636952973	10740.403631363617	10640.538285220144	10800.456279630787	10718.846833196076	10580.485636952973	10740.405826111659	10640.538285220144	10800.45847437883	10770.724051497673	10830.776699764843	10770.724051497673	10830.776699764843	10580.485636952973	10640.538285220144	10580.485636952973	10640.538285220144	10725.391566664606	10725.393761412648	10755.711986798662	10565.473572253963	10972.460741897245	10972.462936645286	11002.7811620313	10812.542747486601
2.54	10605.343333529425	10742.63568832488	10629.85645496285	10767.148809758306	10665.714220013047	10803.006574808504	10742.637883072923	10629.854260214808	10767.148809758306	10665.714220013047	10803.008769556545	10795.105488148445	10830.963253198643	10795.103293400403	10830.963253198643	10629.85645496285	10665.714220013047	10629.854260214808	10665.714220013047	10749.895909080922	10749.898103828964	10777.852587471061	10612.603554285466	10987.98198771762	10987.984182465661	11015.938666107759	10850.689632922164
2.56	10648.913437107767	10765.965841512327	10676.06903306175	10793.12143746631	10691.75269013735	10808.805094541909	10765.968036260369	10676.06903306175	10793.123632214352	10691.75269013735	10808.80728928995	10818.578299808854	10834.261956884453	10818.578299808854	10834.261956884453	10676.06903306175	10691.75269013735	10676.06903306175	10691.75269013735	10773.943744303906	10773.945939051948	10799.40060664645	10656.891339899346	10998.080015445114	10998.082210193155	11023.536877787657	10881.027611040554
2.59	10709.536719391515	10800.17096261002	10725.591288561685	10816.22553178019	10746.75522712931	10837.389470347814	10800.173157358062	10725.591288561685	10816.227726528232	10746.75303240621	10837.389470372756	10837.771356207537	10858.935294775161	10837.771356207537	10858.933100052061	10725.591288561685	10746.75522712931	10725.591288561685	10746.75303240621	10809.193564645757	10809.195759393799	10830.739389073104	10718.559321427252	11017.85687437361	11017.859069121652	11039.402698800957	10927.222631155106
