3A2_5B1	3A2_6B1	3A2_5B2	3A2_6B2	5A2_3A2	6A2_3A2
2.57e-08	1776436774840098.8	1778410461643012.0	1776436774840098.8	1778410048218552.8	1772992538401564.0	1814110048793437.8
2.59e-08	1780511483080644.0	1784498545401650.8	1780511483080644.0	1784498545401650.8	1779187285586064.5	1818491104313816.8
2.61e-08	1783931327490188.5	1791047597060949.2	1783931327490188.5	1791047597060949.2	1785038063888450.8	1822998667615302.8
2.63e-08	1787337942331136.0	1797440374401584.5	1787337942331136.0	1797440374401584.5	1790589109697643.0	1827613307767104.8
2.65e-08	1790784245887266.2	1803643803490328.2	1790784245887266.2	1803643390065869.0	1795881765426666.2	1832312699867237.8
2.67e-08	1794278506647757.5	1809665325962747.2	1794278506647757.5	1809665325962747.2	1800955719790695.8	1837074932438163.5
2.69e-08	1797820311178753.5	1815519411660802.5	1797820311178753.5	1815519411660802.5	1805846527260316.0	1841878093992943.8
2.71e-08	1801406765518435.8	1821220117006711.2	1801406765518435.8	1821220117006711.2	1810585194655868.5	1846703580454420.2
2.7400000000000004e-08	1806862723777224.2	1829511751379555.0	1806862723777224.2	1829511751379555.0	1817464985619292.8	1853948424928579.2
2.76e-08	1810542611969475.8	1834880890572419.2	1810542611969475.8	1834880890572419.2	1821928312541244.5	1858761095241219.5
2.7900000000000002e-08	1816115569256204.0	1842720652373305.5	1816115569256204.0	1842720652373305.5	1828479017903081.5	1865929456251534.8
2.81e-08	1819859538187927.8	1847815277936789.5	1819859538187927.8	1847815277936789.5	1832767052985951.2	1870663575973333.8
2.84e-08	1825506911820904.0	1855275929814129.2	1825506911820904.0	1855275929814129.2	1839100710680631.2	1877682277451636.0
2.8700000000000002e-08	1831178677478175.0	1862534003856882.5	1831178677478175.0	1862533590432423.2	1845333906302233.2	1884590181259483.2
2.89e-08	1834966469364965.5	1867266883310004.8	1834966469364965.5	1867266883310004.8	1849439207924557.5	1889129164791661.8
2.92e-08	1840647330350936.2	1874216129535567.8	1840647330350936.2	1874216129535567.8	1855527291683196.2	1895833250505645.2
2.96e-08	1848225808100433.2	1883239938047476.0	1848225808100433.2	1883239524623016.5	1863543585587140.2	1904594121273028.0
2.99e-08	1853857058193602.8	1889795191068963.0	1853857058193602.8	1889795191068963.0	1869441494244968.8	1910986898613666.0
3.02e-08	1859447792717977.8	1896190448956354.0	1859447792717977.8	1896190448956354.0	1875255477798686.2	1917241178868586.2
3.06e-08	1866821625524692.2	1904475881971710.2	1866821625524692.2	1904475881971710.2	1882873230843602.5	1925362895929715.5
3.09e-08	1872281304598916.2	1910513114559474.0	1872281304598916.2	1910513114559474.0	1888481742605621.8	1931290984544864.2
3.13e-08	1879450905882606.5	1918329724604745.2	1879450905882606.5	1918329724604745.2	1895812579301487.0	1938974885446845.2
3.17e-08	1886476222147554.0	1925878849245843.5	1886476222147554.0	1925878849245843.5	1902967297318748.5	1946397915721899.2
3.2200000000000004e-08	1895041956720615.0	1934957229739361.0	1895041956720615.0	1934957229739361.0	1911651271193130.0	1955330357503534.8
3.26e-08	1901703873167966.8	1941930867984514.8	1901703873167966.8	1941930867984514.8	1918382229468759.0	1962191130955939.8
3.31e-08	1909778873298110.5	1950290303916959.0	1909778873298110.5	1950290717341418.2	1926516762674020.8	1970411242958446.0
3.3599999999999996e-08	1917559102023878.5	1958256986923406.0	1917559102023878.5	1958256986923406.0	1934332545875077.2	1978237775186039.5
3.42e-08	1926492784078892.0	1967304774039847.8	1926492784078892.0	1967304774039847.8	1943281524625680.0	1987115231556908.0
3.48e-08	1934978314372679.5	1975804360751143.0	1934978314372679.5	1975804360751143.0	1951758373010523.0	1995440353287442.0
3.54e-08	1943014866056322.5	1983771043757590.2	1943014866056322.5	1983771043757590.2	1959765571581066.2	2003227196795154.0
3.61e-08	1951818732929861.5	1992403753041338.5	1951818732929861.5	1992403753041338.5	1968512799346001.2	2011643685260664.2
3.6800000000000005e-08	1960012799210244.0	2000343976905898.2	1960012799210244.0	2000343976905898.2	1976629141889162.2	2019359833242262.0
3.76e-08	1968654603827390.5	2008608325287936.0	1968654603827390.5	2008608325287936.0	1985158495142717.5	2027360003606399.2
3.85e-08	1977491544629464.8	2016923111416394.8	1977491544629464.8	2016923111416394.8	1993841228743726.5	2035368029025863.8
3.95e-08	1986273913449924.2	2025017129057560.5	1986273913449924.2	2025017129057560.5	2002419366045865.8	2043114356974178.0
4.05e-08	1994043393149152.5	2031992421000546.2	1994043393149152.5	2031992421000546.2	2009949059746781.5	2049740305526478.0
4.17e-08	2002147332963238.2	2039013603016205.0	2002147332963238.2	2039014429865123.5	2017718952865771.0	2056352197656569.0
4.3099999999999996e-08	2010109468305334.2	2045537849231453.5	2010109468305334.2	2045537849231453.5	2025221360575883.8	2062434493472780.2
4.46e-08	2017100056943912.0	2050782134336352.2	2017100056943912.0	2050782134336352.2	2031629021187649.0	2067288506203136.2
4.64e-08	2023712775918220.8	2055021385375344.8	2023712775918220.8	2055021385375344.8	2037409930812834.0	2071247455675019.0
4.85e-08	2029520971543611.0	2057675568302230.0	2029520971543611.0	2057675981726689.2	2042050203262308.2	2073962825374859.5
5.11e-08	2034558958003192.0	2058310587763893.0	2034558958003192.0	2058310587763893.0	2045362970821529.0	2074584615263232.5
5.4299999999999997e-08	2038484006707026.0	2056384031316424.8	2038484006707026.0	2056384031316424.8	2046836827852822.2	2065679459481799.8
5.8499999999999994e-08	2041261803443797.5	2051959979685191.0	2041261803443797.5	2051959979685191.0	2046279118699220.2	2056408423336015.5
6.440000000000001e-08	2042892348218208.0	2046412241266967.0	2042892348218208.0	2046412241266967.0	2044058617691591.2	2048178802580344.8
7.37e-08	2041526394886157.5	2043756818076108.8	2041526394886157.5	2043756818076108.8	2041381696442952.5	2042329264551339.0
9.28e-08	2040737581647885.8	2041768661431223.0	2040737581647885.8	2041768661431223.0	2038773817022590.8	2042163481474815.5
