4B1_10A1	4B1_11A1	11B1_4B1	4B2_10A1	4B2_11A1	11B2_4B2	4A2_11B1	4A2_11B2	11A2_4B1	11A2_4B2
2.67e-08	669023600319596.5	786153271468937.2	563840646283688.8	669023600319596.5	786153271468937.2	563840646283688.8	564176760094461.8	564176760094461.8	669031868797321.9	669031868797321.9
2.69e-08	669102564320497.8	787262074993224.0	566758593804451.0	669102564320497.8	787262074993224.0	566758593804451.0	567068661898141.4	567068661898141.4	669111246232471.0	669111246232471.0
2.71e-08	669054193700367.1	788158378494897.9	569338360380880.4	669054193700367.1	788158378494897.9	569338360380880.4	569625276721866.8	569625276721866.8	669062875593503.2	669062875593503.2
2.7400000000000004e-08	668742471907364.8	789147289026222.1	572600276774730.4	668742471907364.8	789147289026222.1	572600276774730.4	572857013150354.1	572857013150354.1	668751567234746.1	668751567234746.1
2.76e-08	668378245245949.1	789583864910125.6	574385855603093.9	668378245245949.1	789583864910125.6	574385855603093.9	574624814739363.1	574624814739363.1	668387340573330.5	668387340573330.5
2.7900000000000002e-08	667599767603678.0	789921219004802.6	576514989870299.8	667599767603678.0	789921219004802.6	576514989870299.8	576731210688110.2	576731210688110.2	667609276365307.2	667609276365307.2
2.81e-08	666928780247198.6	789944784191751.8	577588652350119.8	666928780247198.6	789944784191751.8	577588652350119.8	577791230158021.1	577791230158021.1	666938702424235.9	666938702424235.9
2.84e-08	665700910560768.0	789695075991115.0	578714406245270.9	665700910560768.0	789695075991115.0	578714406245270.9	578899620266897.1	578899620266897.1	665711246172053.2	665711246172053.2
2.8700000000000002e-08	664214650818238.8	789121243309139.4	579300641672088.8	664214650818238.8	789121243309139.4	579300641672088.8	579470558984494.0	579470558984494.0	664225399844934.8	664225399844934.8
2.89e-08	663085176090218.6	788568081812062.8	579413919867803.5	663085176090218.6	788568081812062.8	579413919867803.5	579574741852824.8	579574741852824.8	663096751966570.6	663096751966570.6
2.92e-08	661191280145247.2	787495659634981.0	579200179598961.0	661191280145247.2	787495659634981.0	579200179598961.0	579349425707630.2	579349425707630.2	661203269455844.5	661203269455844.5
2.96e-08	658310954236754.0	785641865832412.2	578267494768919.2	658310954236754.0	785641865832412.2	578267081353508.4	578403511301924.5	578403097886513.6	658323770378172.8	658323770378172.8
2.99e-08	655900278123074.0	783954268528214.1	577138433456307.1	655900278123074.0	783954268528214.1	577138433456307.1	577266181511584.4	577266181511584.4	655913921114148.8	655913921114148.8
3.02e-08	653289091297378.1	782029365749381.5	575688968457553.9	653289091297378.1	782029365749381.5	575688968457553.9	575809688319009.6	575809688319009.6	653303561138106.1	653303561138106.1
