5A1_4A1	6A1_4A1	5B1_5A1	5B1_6A1	6B1_5A1	6B1_6A1	7B1_4A1	7B1_5B1	7B1_6B1	5B2_5A1	5B2_6A1	6B2_5A1	6B2_6A1	7B2_4A1	7B2_5B2	7B2_6B2	5A2_7B1	5A2_7B2	6A2_7B1	6A2_7B2	7A2_5B1	7A2_6B1	7A2_5B2	7A2_6B2	7A2_5A2	7A2_6A2
Intensities	1.0000000000000001e-16	7.951272039999999e-06	2.5714026809999997e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	2.5713012640000004e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	3.8105928999999994e-09	3.8093584e-09	4.6063368999999995e-07	4.6063368999999995e-07	2.9785397759999993e-07	2.3106287609999998e-07	2.9785397759999993e-07	2.3106287609999998e-07	8.190757802499999e-06	1.0000000000000001e-16
2.29e-08	143568144342428.25	15266926323293.535	26503794202914.062	101797423816220.64	139029160811198.2	10727942792063.49	64697982559050.8	52366367580463.38	60158999027820.76	26503794202914.062	101797423816220.64	139029574226606.25	10728356207471.541	64696742293984.03	52367607845530.15	60158172178162.04	64412719898539.2	64411479633472.445	16554329053121.73	16553088788054.965	28192218356770.98	140717584965055.11	28192218356770.98	140717998380463.17	144971305835773.56	97112914990356.1
2.2999999999999998e-08	136477093651160.72	15989178264282.314	26643944984199.19	93843970402679.22	132215931133535.77	11728015746657.354	64053040919651.37	45780107747310.164	59791878402026.41	26643944984199.19	93843970402679.22	132216344567783.69	11728429180905.277	64052214069995.4	45780934596966.13	59791464986618.36	63747933905062.44	63747107055406.47	16971887432603.896	16971060582947.922	28312111349730.85	133884097499067.42	28312111349730.85	133884510933315.34	137840153002103.45	91064106529644.9
2.3100000000000002e-08	129722570204916.95	16721352419982.658	26796085076086.977	86205132708847.31	125711115850254.5	12709898065320.219	63531299671841.19	39395185456988.77	59519845317178.75	26796085076086.977	86205132708847.31	125711529284502.44	12710311499568.145	63530472822185.22	39396012306644.75	59519431901770.7	63204694603860.234	63203867754204.26	17336527509427.578	17335700659771.604	28439445989602.715	127354476763770.25	28439445989602.715	127354890198018.17	131039326050451.72	85171158956019.06
2.32e-08	123286796745496.95	17462621865392.8	26954013096726.707	78870161783377.44	119499831705210.19	13675656825106.045	63117462106393.71	33215321542376.527	59330497066106.96	26954013096726.707	78870161783377.44	119499831705210.19	13675656825106.045	63117462106393.71	33215321542376.527	59330497066106.96	62768118719956.7	62768118719956.7	17652383550712.52	17652383550712.52	28575049107197.184	121120867715680.67	28575049107197.184	121120867715680.67	124558489369530.42	79442754200286.23
2.33e-08	117161918248265.92	18212986675861.273	27121863294409.22	71827068277995.44	113575463901155.03	14626532328750.377	62799952384633.95	27240102569222.75	59213498037523.055	27121863294409.22	71827068277995.44	113575463901155.03	14626532328750.377	62799952384633.95	27240102569222.75	59213498037523.055	62426216961589.08	62426216961589.08	17927310599938.89	17927310599938.89	28718507287108.953	115172107893854.77	28718507287108.953	115172107893854.77	118384826817920.78	73885920456270.6
2.3500000000000002e-08	105804743922600.47	19740175410449.082	27488983901366.43	58575584610784.95	102552749705787.83	16488181193636.443	62411333686613.19	15904426334620.848	59159339469800.55	27488983901366.43	58575584610784.95	102552749705787.83	16488181193636.443	62411333686613.19	15904426334620.848	59159339469800.55	61983853148928.12	61983853148928.12	18368434147535.82	18368434147535.82	29033123025652.867	104096888830074.27	29033123025652.867	104096888830074.27	106921402509201.83	63305983507809.53
2.36e-08	100553430608584.55	20516999353408.297	27693628861662.035	52342802393514.22	97437866359022.36	17401435103846.1	62322447508669.11	10537354238253.404	59206883259106.914	27693628861662.035	52342802393514.22	97437866359022.36	17401435103846.1	62322447508669.11	10537354238253.404	59206883259106.914	61866027270688.25	61866027270688.25	18543312576711.31	18543312576711.31	29203867206551.223	98948104703911.55	29203867206551.223	98948104703911.55	101607248715492.88	58284534021515.94
2.37e-08	95573323529757.58	21301678358682.066	27907782545915.363	46363862625160.15	92573931459126.05	18302286288050.535	62291854127895.766	5373686855946.452	59292462057264.234	27907782545915.363	46363862625160.15	92573931459126.05	18302286288050.535	62291854127895.766	5373686855946.452	59292462057264.234	61805667358797.52	61805667358797.52	18689251286756.61	18689251286756.61	29382879846337.797	94049028759548.48	29382879846337.797	94049028759548.48	96562234061081.77	53445817989040.86
2.3799999999999998e-08	90865662932354.66	22091731877307.953	28639129833122.598	40134801221924.1	87961771836912.25	19187840781865.555	62822690703090.01	596157603857.9485	59918799607647.61	28639129833122.598	40134801221924.1	87961771836912.25	19187840781865.555	62822690703090.01	596157603857.9485	59918799607647.61	62306323968626.46	62306323968626.46	19320136500833.387	19320136500833.387	30069990761699.695	89392632765489.36	30069990761699.695	89392632765489.36	91780157126468.2	48793969658675.13
2.4e-08	82192438107957.98	23706153109362.29	28652359408786.535	29833925589809.16	79413401103416.78	20927116104821.086	62553138167213.016	9013059468041.566	59774101162671.81	28652359408786.535	29833925589809.16	79413401103416.78	20927116104821.086	62553138167213.016	9013059468041.566	59774101162671.81	61963595360602.86	61963595360602.86	19034046990668.562	19034046990668.562	30012524795350.55	80773566489980.8	30012524795350.55	80773566489980.8	82963060687911.84	40033512317977.55
2.41e-08	78220259046042.17	24527626839577.625	28924805927882.113	24767826278582.426	75470988572618.34	21778356366153.8	62728843427210.086	13433390309050.03	59979572953786.26	28924805927882.113	24767826278582.426	75470988572618.34	21778356366153.8	62728843427210.086	13433390309050.03	59979572953786.26	62099198478197.33	62099198478197.33	19108049931305.54	19108049931305.54	30246109437107.555	76792292081843.78	30246109437107.555	76792292081843.78	78911917606254.86	35920769059363.07
2.4300000000000003e-08	70972520599201.69	26199927472226.29	29525511176596.332	15247081950379.064	68214154798393.8	23441561671418.4	63209655701798.82	21762646279193.47	60451289900990.93	29525511176596.332	15247081950379.064	68214154798393.8	23441561671418.4	63209242267553.64	21762232844948.285	60450876466745.75	62492364839911.49	62491951405666.31	19223395260574.75	19222981826329.566	30759582207192.387	69448225828989.85	30759582207192.387	69448225828989.85	71489300767910.4	28220331188573.668
2.44e-08	67681251089639.68	27051994602054.85	29852529659982.598	10776726827602.23	64882369731021.14	24253113243436.312	63508974749958.8	25680253320301.715	60710093391340.26	29852529659982.598	10776726827602.23	64882369731021.14	24253113243436.312	63508974749958.8	25680253320301.715	60710093391340.26	62744140117596.76	62744140117596.76	19265151083454.906	19265151083454.906	31040710619421.367	66070550690459.91	31040710619421.367	66070550690459.91	68104597416716.41	24625608382574.555
2.46e-08	61737038931507.18	28790856509599.594	30566926557493.953	2379255864413.6333	58781056383062.266	25834873961154.684	64219237418021.93	33049125044008.707	61263254869577.02	30566926557493.953	2379255864413.6333	58781469817310.195	25835287395402.605	64219237418021.93	33049125044008.707	61263668303824.945	63351460163561.51	63351460163561.51	19324684164526.79	19324684164526.79	31655472312292.625	59869602137860.945	31655472312292.625	59870015572108.87	61957807431845.43	17931031432810.71
2.4700000000000003e-08	59063425079195.15	29678478099297.477	30946449909293.516	1561502929395.8489	55989203237105.055	26604256257207.387	64628113885528.086	36511138715626.45	61553892043437.99	30946449909293.516	1561502929395.8489	55989616671350.234	26604669691452.57	64627700470120.03	36510725300218.41	61553892062275.125	63704110948622.414	63703697533214.37	19344528518604.13	19344115103196.08	31990759254572.59	57033512582384.125	31990759254572.59	57033926016629.31	59183731487568.55	14824149057550.264
2.49e-08	54318556341442.61	31492169778303.52	31786941181607.227	8960554618468.14	50928478458064.83	28102091894925.746	65544261760119.195	43012646600283.81	62154183876741.42	31786941181607.227	8960554618468.14	50928478458064.83	28102091894925.746	65544261760119.195	43012646600283.81	62154183876741.42	64502432944973.65	64502432944973.65	19367680271308.1	19367680271308.1	32717558896926.297	51859096173383.9	32717558896926.297	51859096173383.9	54207345241616.13	9072592567950.586
2.5e-08	52227870479653.06	32418653245339.98	32239227171308.223	12430009936995.137	48639349036659.305	28830131802346.215	66051119732950.75	46062476424605.91	62462598289956.984	32239227171308.223	12430009936995.137	48639349036659.305	28830131802346.215	66050706317542.695	46062063009197.86	62462184874548.94	64947277306602.53	64946863891194.48	19373054784654.74	19372641369246.688	33109898390144.617	49510020255495.695	33109898390144.617	49510020255495.695	51994699272141.24	6420476750193.447
2.52e-08	48578989124765.836	34309655225932.63	33204159100272.465	18934825201439.26	44516270185596.734	30246936286763.53	67155375612384.02	51780545587890.66	63092656673214.92	33204159100272.465	18934825201439.26	44516683601004.78	30247349702171.582	67154962178138.836	51780132153645.47	63092656654377.79	65922131412606.81	65921717978361.625	19373468218902.664	19373054784657.48	33949976228210.402	45262087313534.67	33949976228210.402	45262500728942.72	48091562052926.56	1542898859222.4102
