R	1B1_3A1	3B1_1A1	3B1_1B1	1B2_3A1	3B2_1A1	3B2_1B2	1A2_3B1	1A2_3B2	2A2_3B1	2A2_3B2
2.31	2052.4016392042686	1965.6586812184833	2584.6802908859245	2052.4016392042686	1965.6520969743724	2584.6737066418136	2622.9654453482653	2622.9588611041545	1965.6586812184833	1965.6520969743724
2.33	2021.1989310812933	1972.3109572412359	2524.1074877571955	2021.201125829335	1972.3131519892777	2524.111877253279	2563.22225630538	2563.224451053422	1972.3109572412359	1972.3131519892777
2.35	1995.6784210954793	1978.8513012136973	2469.524147266813	1995.680615843521	1978.8556907097663	2469.530731510924	2509.152486457373	2509.156875953442	1978.8513012136973	1978.8556907097663
2.36	1984.9175799835502	1982.068799296845	2444.4250285804883	1984.919774731592	1982.070994044887	2444.429418076572	2484.1806630576175	2484.1828578056593	1982.068799296845	1982.070994044887
2.38	1966.683627730279	1988.40283710316	2398.050039251335	1966.685822478321	1988.407226599229	2398.056623495446	2437.7990894843388	2437.803478980408	1988.40283710316	1988.407226599229
2.4	1952.3585186441342	1994.5986059076386	2356.463986380084	1952.360713392176	1994.6008006556804	2356.4683758761676	2395.846513989658	2395.8487087377	1994.5986059076386	1994.6008006556804
2.42	1941.4923297010973	2000.6187950185413	2319.3464369523863	1941.4945244241826	2000.6231845146249	2319.353021171555	2358.0003087862133	2358.004698282297	2000.6187950185413	2000.6231845146249
2.44	1933.635137951962	2006.485351891315	2286.3176998815034	1933.6373327000038	2006.4875466393569	2286.322089377587	2323.896146023544	2323.898340771586	2006.485351891315	2006.4875466393569
2.46	1928.2514252739347	2012.169744776489	2257.0090577709634	1928.2514252739347	2012.171939524531	2257.011252519005	2293.182866289557	2293.1850610375986	2012.169744776489	2012.171939524531
2.48	1924.766168129383	2017.6697790258477	2231.0671565105877	1924.7683628774248	2017.6741685219313	2231.073740754713	2265.5400366447284	2265.544426140812	2017.6697790258477	2017.6741685219313
2.5	1923.3000776106783	2022.9810650684085	2208.173757858938	1923.30227235872	2022.9832598164503	2208.178147355022	2240.682340068277	2240.684534816319	2022.9810650684085	2022.9832598164503
2.52	1923.31983034304	2028.2857668668585	2188.203761277502	1923.3220250910817	2028.1036029291572	2188.0237920878426	2218.524181411558	2218.3420174738567	2028.2857668668585	2028.1036029291572
2.54	1924.559861988193	2033.2107775536133	2170.5031323490693	1924.5620567362348	2033.0242241198284	2170.3187736633263	2198.4598107392085	2198.2732573054236	2033.2107775536133	2033.0242241198284
2.56	1926.7875294783153	2037.9382611163019	2154.9906655208615	1926.789724226357	2037.93606636826	2154.9906655208615	2180.4475278634054	2180.4453331153636	2037.9382611163019	2037.93606636826
2.59	1931.5523237077869	2044.6673532456189	2135.3015964641236	1931.5545184558287	2044.665158497577	2135.3015964641236	2156.8474208914704	2156.8452261434286	2044.6673532456189	2044.665158497577
2.61	1935.4304404273134	2048.9097978655045	2124.2466593642166	1935.4326351753552	2048.9097978655045	2124.2488541122584	2143.13464600977	2143.13464600977	2048.9097978655045	2048.9097978655045
2.63	1939.7101956890401	2052.9634942536504	2114.6270863104437	1939.712390437082	2052.9612995056086	2114.6270863104437	2130.8594299471733	2130.8572351991315	2052.9634942536504	2052.9612995056086
2.66	1946.6170623098878	2058.696171595744	2102.514281478143	1946.6214518059714	2058.6939768477023	2102.5164762261847	2114.8311977285484	2114.8290029805066	2058.696171595744	2058.6939768477023
2.68	1951.675952552294	2062.2911660425307	2095.772020860575	1951.6781472753792	2062.288971294489	2095.7720208356186	2105.554005119673	2105.5518103716313	2062.2911660425307	2062.288971294489
2.71	1958.980068219258	2067.3544457560783	2087.3354160777235	1958.9844576903852	2067.3544457560783	2087.3398055488506	2093.4850951982808	2093.4850951982808	2067.3544457560783	2067.3544457560783
2.73	1963.8480155318102	2070.517075163152	2082.682553923485	1963.8524050029373	2070.517075163152	2082.686943394612	2086.5431126586773	2086.5431126586773	2070.517075163152	2070.517075163152
2.76	1971.005083204771	2074.96582594917	2076.9015921743994	1971.00947270084	2074.963631201128	2076.9037869224267	2077.5446528514003	2077.5424581033585	2074.96582594917	2074.963631201128
2.79	1977.918534044802	2079.061222525139	2072.3387146149907	1977.9229235408857	2079.061222525139	2072.3431041110744	2079.061222525139	2079.061222525139	2070.0408152374584	2070.0408152374584
2.82	1984.511551945281	2082.8361861615995	2068.778836111902	1984.5159414164082	2082.8339914135577	2068.781030834987	2082.8361861615995	2082.8339914135577	2063.8274884486455	2063.8252937006037
2.85	1990.7446314165572	2086.2973010776914	2066.041987475488	1990.7490209126408	2086.2951063296496	2066.04418222353	2086.2973010776914	2086.2951063296496	2058.7159243281203	2058.7137295800785
