R	10B1_10A1	10B1_11A1	11B1_10B1	10B2_10A1	10B2_11A1	11B2_10B2	10A2_11B1	10A2_11B2	11A2_10B1	11A2_10B2
2.96e-08	7970817237487.975	119360094358170.25	88014276705322.81	7970403822077.184	119360507773581.03	88014276705322.81	2237451402653.6855	2237037987242.894	7958001096069.222	7957587680658.431
2.99e-08	7841828917141.297	120212161487998.81	86603673583908.11	7841828917141.297	120212161487998.81	86603673583908.11	2308973756648.4756	2308973756648.4756	7828185926066.57	7828185926066.57
3.02e-08	7703331835165.372	121036942616838.05	85303454674989.64	7703331835165.372	121036942616838.05	85303454674989.64	2395792857541.34	2395792857541.34	7688861994437.412	7688861994437.412
3.06e-08	7500340593021.59	122101509769279.52	83689033442935.31	7500340593021.59	122101509769279.52	83689033442935.31	2540077868271.951	2540077868271.951	7484630468386.991	7484630468386.991
3.09e-08	7334557510061.819	122875439729020.14	82533099582421.72	7334557510061.819	122875439729020.14	82533099582421.72	2671960171834.475	2671960171834.475	7318020554608.379	7318020554608.379
3.13e-08	7093117824824.646	123875926117861.92	81010458511524.56	7093117824824.646	123875926117861.92	81010458511524.56	2885700440677.011	2885700440677.011	7074927170059.258	7074927170059.258
3.17e-08	6827286102982.342	124841684896482.14	79431591739345.03	6827699537227.524	124841271462236.95	79432005173590.22	3147811348484.628	3147811348484.628	6807028314657.08	6807441748902.263
3.2200000000000004e-08	6470087654228.035	125994311377206.23	77325609224843.08	6470501088473.218	125993897942961.05	77326022659088.27	3559168346124.3096	3559168346124.3096	6447349316934.852	6447762751180.034
3.26e-08	6142655755425.497	126879452436776.06	75461479829826.22	6143069170836.288	126879039021365.27	75461893245237.02	3959776335905.111	3959776335905.111	6117850303409.574	6118263718820.365
3.31e-08	5691196577708.951	127928309464582.94	72808537162413.11	5691610011956.875	127927896030335.0	72808950596661.03	4556760770584.642	4556760770584.642	5662670311655.599	5663083745903.523
3.3599999999999996e-08	5188472853157.269	128908951499341.9	69717778364869.586	5188886268565.318	128908538083933.84	69718191780277.63	5261235491055.956	5261235491055.956	5155812338824.045	5156225754232.095
3.42e-08	4512937832984.488	129980960261015.61	65355740377540.51	4513764663803.33	129980133430196.77	65356567208359.34	6229061365561.779	6229061365561.779	4474902805304.63	4475729636123.471
3.48e-08	3753064279726.6416	130920259888307.95	60263181914985.9	3753064279726.6416	130920259888307.95	60263595330393.95	7287427154997.8955	7287013739589.846	3707587605137.533	3707587605137.533
3.54e-08	2901410546471.7363	131704525478176.42	54497155546981.26	2902237396127.7104	131703698628520.44	54497982396637.23	8376386325207.361	8376386325207.361	2847251997583.6196	2848078847239.5938
3.61e-08	1786819093430.2466	132387915579498.14	47089421964775.56	1786819093430.2466	132387915579498.14	47089421964775.56	9607563391424.7	9607563391424.7	1719844384286.2444	1719844384286.2444
3.6800000000000005e-08	533730558410.0905	132780668488127.25	39195088179223.71	533730558410.0905	132780668488127.25	39195088179223.71	10735797835543.658	10735797835543.658	451045724634.23004	451045724634.23004
3.76e-08	1034800602484.2169	132778187939159.33	29964981024875.836	1034800602484.2169	132778187939159.33	29964981024875.836	11866512847467.67	11866512847467.67	1139396905060.154	1139396905060.154
3.85e-08	3010967946986.2593	132170867893194.58	19714129693366.395	3010967946986.2593	132170867893194.58	19714129693366.395	12935214229351.877	12935214229351.877	3144503931020.8574	3144503931020.8574
3.95e-08	5344333740239.867	130578771564188.25	9080861045675.936	5344747155647.917	130579184979596.3	9080447630267.885	13904693803169.646	13904693803169.646	5516318186204.989	5516731601613.039
4.05e-08	8105180108852.8125	128359510835139.83	1225389137462.6523	8105180108852.8125	128359510835139.83	1225389137462.6523	15137937984112.467	15137937984112.467	8319333793106.14	8319333793106.14
4.17e-08	10384387334383.912	123496816200307.53	10064397044816.357	10376945706314.537	123489374572238.16	10057368850994.906	15649757054882.605	15650170489130.53	10648565356914.268	10641123728844.893
4.3099999999999996e-08	12885603325320.03	116599247989560.03	18499903035684.812	12885603325320.03	116599247989560.03	18499903035684.812	16501824203545.56	16501824203545.56	13202286216260.945	13202286216260.945
4.46e-08	14884509007115.256	107980181714048.73	24897228033177.027	14884509007115.256	107980181714048.73	24897228033177.027	17340248342299.398	17340248342299.398	15246668534971.016	15246668534971.016
4.64e-08	16554329053121.73	97055035608596.16	29921984918094.523	16554329053121.73	97055035608596.16	29921984918094.523	18294017810322.445	18294017810322.445	16957417591873.195	16957417591873.195
4.85e-08	17902505166757.36	84734996525197.86	33400535564002.844	17902505166757.36	84734996525197.86	33400535564002.844	19384217245595.934	19384217245595.934	18339907900319.6	18339907900319.6
5.11e-08	19140297011390.84	71220988515931.84	35507344928160.77	19140297011390.84	71220988515931.84	35507344928160.77	20702626790442.664	20702626790442.664	19604985727099.797	19604985727099.797
5.4299999999999997e-08	20375194891645.605	57779743144567.25	36004280742794.9	20375194891645.605	57779743144567.25	36004280742794.9	22179377790182.527	22179377790182.527	20848152085079.914	20848152085079.914
5.8499999999999994e-08	21682028560140.348	45163278939716.164	34471304041775.4	21682028560140.348	45163278939716.164	34471304041775.4	23486211458677.266	23486211458677.266	22197568444947.914	22197568444947.914
6.440000000000001e-08	23144723134557.56	34871085200740.098	30872860421741.598	23144723134557.56	34871085200740.098	30872860421741.598	24170014975412.527	24170014975412.527	23673079179618.273	23673079179618.273
7.37e-08	24656201763350.645	28398103582133.35	27132198886860.05	24656201763350.645	28398103582133.35	27132198886860.05	24456931316398.938	24456931316398.938	25187451772790.074	25187451772790.074
9.28e-08	25538035424291.1	26844869111625.72	26202408002357.08	25538035424291.1	26844869111625.72	26202408002357.08	24264275685537.637	24264275685537.637	25796012083818.848	25796012083818.848
1e-06	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14	25470702419287.14
