R	4A1_2A1	2B1_4A1	5B1_2A1	5B1_2B1	6B1_2A1	6B1_2B1	2B2_4A1	5B2_2A1	5B2_2B2	6B2_2A1	6B2_2B2	5A2_2B1	5A2_2B2	6A2_2B1	6A2_2B2
2.11	9200.088977799998	8133.819772399991	10893.484991000005	9827.215785599998	9293.010146700006	8226.740941299999	8133.824161899989	10893.484991000005	9827.220175099996	9293.003562400001	8226.738746499992	8134.254332199998	8134.258721699996	8730.051136499998	8730.055525999996
2.12	9219.273255299995	8224.912717600004	10829.692495099996	9835.331957400005	9307.585456899993	8313.224919200002	8224.917107100002	10829.692495099996	9835.336346900003	9307.578872700004	8313.22272450001	8225.380198600003	8225.384588100002	8798.768643200005	8798.773032700003
2.13	9238.938182099999	8312.805722599995	10766.1940951	9840.061635599995	9322.327567800006	8396.195108300002	8312.810112099993	10766.1940951	9840.066025099994	9322.320983500002	8396.192913499995	8313.308319500007	8313.312709000005	8861.972947000002	8861.9773365
2.14	9258.712846199996	8397.606330199997	10712.929797199991	9851.823281199991	9336.9050727	8475.7985567	8397.610719599994	10712.929797199991	9851.827670599989	9336.898488399995	8475.796361799992	8398.144043099994	8398.148432499991	8920.480494000003	8920.4848834
2.15	9276.1303529	8476.2001952	10660.111032700006	9860.180875000005	9352.173922699993	8552.243764999992	8476.206779400003	10660.111032700006	9860.18745920001	9352.162949000005	8552.239375500008	8479.997106299998	8480.003690500002	8975.213077199995	8975.219661399999
2.16	9300.454726099997	8558.336380699999	10610.722656699989	9868.60431129999	9367.86635869999	8625.748013299992	8558.340770199997	10610.722656699989	9868.608700799989	9367.8597745	8625.7458186	8558.955299199995	8558.959688699993	9027.0068951	9027.011284599997
2.17	9322.000550600002	8634.432624399997	10530.7153751	9843.147448899996	9381.662534000003	8694.094607799998	8634.43701390001	10530.7153751	9843.151838400008	9381.658144500005	8694.094607800012	8632.066687899991	8632.071077400004	9077.343401499995	9077.347791000007
2.18	9343.985324299996	8707.811772200002	10521.793731400001	9885.620179300007	9401.026780600005	8764.853228500011	8707.8161617	10521.793731400001	9885.624568800005	9401.022391099992	8764.853228499996	8708.52287	8708.527259499999	9124.5875103	9124.591899799998
2.19	9366.393683999995	8778.56600349999	10482.020538900004	9894.192858399998	9418.683514600008	8830.855834100003	8778.570392999987	10482.020538900004	9894.197247899996	9418.679125099996	8830.855834099988	8779.3275804	8779.331969899999	9171.482654599997	9171.487044099995
2.2	9389.197098100005	8846.778718500005	10445.221227800008	9902.802848200008	9437.119383500001	8894.701003900002	8846.783108000003	10445.221227800008	9902.807237700006	9437.114994000003	8894.701003900002	8847.5951641	8847.599553599997	9217.640364000006	9217.644753500004
2.21	9412.375813699997	8912.533317599999	10411.281671000004	9911.439174900006	9456.336582100004	8956.494086000006	8912.539901800003	10411.281671000004	9911.44575910001	9456.332192600006	8956.496280700012	8913.406826699997	8913.4134109	9263.299866100002	9263.306450300006
2.22	9435.896909799994	8975.911006499999	10380.083352300004	9920.097449000008	9476.297799699998	9016.311896400002	8975.917590699988	10380.083352300004	9920.104033199998	9476.2934102	9016.314091099994	8976.848163200004	8976.854747399993	9308.606013900004	9308.612598099993
