10B1_4B1	10B2_4B2	4A2_10B1	4A2_10B2	10A2_4B1	10A2_4B2	10A2_4A2
Intensities	6.346512225e-07	6.346512225e-07	1.338023241e-07	1.338023241e-07	1.355491489e-07	1.355491489e-07	2.6392926681e-06
3.48e-08	541858471799590.1	541858058375130.8	541945290865511.5	541944877441052.2	534571044639038.7	534571044639038.7	534657863704960.06
3.54e-08	539071579734115.94	539071579734115.94	539158812224496.56	539158812224496.56	530695193408245.2	530695193408245.2	530782425898625.9
3.61e-08	536672892920890.75	536672892920890.75	536760952260190.06	536760952260190.06	527065329533251.56	527065329533251.56	527153388872550.9
3.6800000000000005e-08	535084103988649.8	535084103988649.8	535173403601327.0	535173403601327.0	524348306149674.25	524348306149674.25	524437605762351.44
3.76e-08	534074935682851.4	534074935682851.4	534165888988664.75	534165888988664.75	522208422845780.9	522208422845780.9	522299376151594.2
3.85e-08	533728486258676.94	533728486258676.94	533821506686786.8	533821506686786.8	520793272040687.06	520793272040687.06	520886292468796.94
3.95e-08	534046822838425.75	534046822838425.75	534141083539913.5	534141083539913.5	520142129034516.0	520142129034516.0	520236389736003.75
4.05e-08	534088992100361.75	534088992100361.75	534184493075227.44	534184493075227.44	520176443241124.6	520176443241124.6	520271944215990.3
4.17e-08	526409638862729.2	526417080498295.6	526505139837594.9	526512581473161.3	520824278851624.06	520824278851624.06	520919779826489.75
4.3099999999999996e-08	520090864443880.1	520090864443880.1	520183884871990.0	520183884871990.0	522088943271085.3	522088943271085.3	522181963699195.2
4.46e-08	516191861462175.4	516191861462175.4	516278680528099.5	516278680528099.5	523748841153897.25	523748841153897.25	523835660219821.4
4.64e-08	514205358510428.56	514205358510428.56	514280188281136.06	514280188281136.06	525833325622564.5	525833325622564.5	525908155393272.0
4.85e-08	514022625045182.2	514022625045182.2	514078850724625.9	514078850724625.9	528038943363764.56	528038943363764.56	528095169043208.25
5.11e-08	515268271953621.44	515268271953621.44	515298865340096.4	515298865340096.4	530072990090714.56	530072990090714.56	530103583477189.5
5.4299999999999997e-08	517423038528642.1	517423038528642.1	517426759344074.8	517426759344074.8	531247941473036.56	531247941473036.56	531251662288469.25
5.8499999999999994e-08	519930042456169.9	519930042456169.9	519914332336121.2	519914332336121.2	530915135046617.0	530915135046617.0	530899424926568.4
6.440000000000001e-08	522025275956072.5	522025275956072.5	522005845020593.9	522005845020593.9	528728121391977.0	528728121391977.0	528708690456498.4
7.37e-08	522965815848656.4	522965815848656.4	522953413124282.1	522953413124282.1	525641083404156.3	525641083404156.3	525628680679782.06
9.28e-08	522415961759775.7	522415961759775.7	522408933548671.3	522408933548671.3	524354094082702.4	524354094082702.4	524347065871598.06
