12B1_4A1	12B1_5B1	12B1_6B1	12B2_4A1	12B2_5B2	12B2_6B2	5A2_12B1	5A2_12B2	6A2_12B1	6A2_12B2	12A2_5B1	12A2_6B1	12A2_5B2	12A2_6B2	12A2_5A2	12A2_6A2
2.52e-08	722545488338046.6	718482769402114.9	707170658322974.6	722545901762506.0	718483596251033.5	707171071747433.9	721312244153984.4	721312657578443.8	674763580952073.2	674763994376532.6	707585736155668.0	696273625076527.8	707586149580127.4	696273625076527.8	710415210907537.6	663866547705626.5
2.5400000000000002e-08	720663168270109.9	716044807302869.9	709290283847171.9	720663168270109.9	716044807302869.9	709290283847171.9	719295561244920.2	719295561244920.2	674446898070161.8	674446898070161.8	705201932613573.0	698447409157875.0	705201932613573.0	698447409157875.0	708452686555623.4	663604023380864.9
2.55e-08	719840454249686.0	714940964871121.6	710226276080100.0	719840867674148.0	714941378295583.6	710226689504562.1	718405459089352.6	718405872513814.6	674943007026346.2	674943420450808.2	704122068781657.2	699407379990635.8	704122068781657.2	699407379990635.8	707586562999888.4	664124110936882.0
2.57e-08	718397190609571.4	713383182745119.2	711409495942206.0	718397604029332.4	713383596164880.2	711410322786426.2	716827419183654.1	716827832603415.1	675709908791780.2	675710322211541.2	702613484123994.4	700639797321081.1	702613484123994.4	700640210745540.4	706057720562529.2	664940210170655.4
2.59e-08	717186684751961.1	714163314079150.5	710176251758143.8	717187098176420.4	714163727503609.9	710176665182603.1	715487511573729.9	715487924998189.2	676183692845977.6	676184106270437.0	703439505540089.9	699452443219083.1	703439505540089.9	699452443219083.1	704763703034669.2	665459884306917.0
2.61e-08	716161392906353.0	715447822853848.6	708331553283087.9	716161392906353.0	715447822853848.6	708331553283087.9	714341086455586.4	714341086455586.4	676380482728734.4	676380482728734.4	704766183576721.4	697649914005960.6	704766183576721.4	697649914005960.6	703659447178459.0	665698843451607.0
2.63e-08	715272944448625.2	716593421123070.9	706490989052622.4	715273357873084.6	716593834547530.2	706491402477081.6	713342253756563.9	713342667181023.2	676318055687102.2	676318469111561.5	705951883985583.1	695849451915134.5	705951883985583.1	695849451915134.5	702700716619076.1	665676518549614.4
2.65e-08	714478343267928.8	717547604018105.2	704688046415043.2	714478343267928.8	717547604018105.2	704688459839502.5	712450084478705.1	712450084478705.1	676019150038133.6	676019150038133.6	706942448204821.6	694082890601759.5	706942448204821.6	694083304026218.9	701844928665421.5	665413994224850.0
2.67e-08	713735833526783.9	718300035936871.2	702913216621881.5	713735833526783.9	718300035936871.2	702913216621881.5	711622822793932.8	711622822793932.8	675503610146465.0	675503610146465.0	707728780901038.6	692341961586048.9	707728780901038.6	692341961586048.9	701051567758100.1	664932355110632.4
2.69e-08	713009447330144.4	718851130303825.4	701152029821776.4	713009447330144.4	718851130303825.4	701152029821776.4	710824914222262.9	710824914222262.9	674793347489635.1	674793347489635.1	708311295503389.0	690612195021340.0	708311295503389.0	690612195021340.0	700285079421826.5	664253512689198.8
