R	7A1_5A1	7A1_6A1	8A1_5A1	8A1_6A1	7B1_7A1	7B1_8A1	9B1_5A1	9B1_6A1	9B1_7B1	7B2_7A1	7B2_8A1	9B2_5A1	9B2_6A1	9B2_7B2	7A2_9B1	7A2_9B2	9A2_7B1	9A2_7B2	9A2_7A2
Intensities	2.5838520728498914e-15	6.301936032319211e-05	7.306604943937536e-05	2.5838520728498914e-15	4.1241440483832084e-06	1.704285071961794e-06	1.333193319247148e-06	3.5179127943023436e-06	1.0078643223960556e-05	4.1241440483832084e-06	1.704285071961794e-06	1.333193319247148e-06	3.518008135214016e-06	1.0078643223960556e-05	3.5349038282910017e-06	3.5349038282910017e-06	4.244653898128803e-06	4.244653898128803e-06	6.541195643301374e-05
2.71	987.651198237887	911.3596220898617	1235.55657180048	1159.2649956524547	763.0671988456306	1010.9725724082236	1375.3597163587838	1299.0681402107584	1150.7757169665274	763.0693935936724	1010.9747671562654	1375.3597163587838	1299.0681402107584	1150.7779117145692	1252.644866474584	1252.644866474584	1076.5164759076142	1076.518670655656	1178.3856254156708
2.73	980.6477627780841	896.819427870345	1233.2147774870682	1149.386442579329	750.2059855301486	1002.7730002391327	1373.3251865216153	1289.496851613876	1142.8834092736797	750.2081802781904	1002.7751949871745	1373.3251865216153	1289.496851613876	1142.8856040217215	1244.6669636830047	1244.6669636830047	1067.770411900492	1067.7726066485338	1169.553966309817
2.76	970.4004923085449	876.8757682155119	1229.6614832530613	1136.1367591600283	732.4987723575905	991.7597633021069	1369.8574873863545	1276.3327632933215	1131.9557674354	732.5009671056323	991.7619580501487	1369.8574873863545	1276.3327632933215	1131.9579621834419	1233.6405582577281	1233.6405582577281	1055.6905282638618	1055.6927230119036	1157.3753190861898
2.79	960.5548604061478	858.9315224790771	1226.1630576452153	1124.5397197181446	716.4793191311328	982.0875163702003	1366.0627710424742	1264.4394331154035	1121.9872297674592	716.4815138542181	982.0897110932856	1366.0627710424742	1264.4394331154035	1121.9894244905445	1223.603983450419	1223.603983450419	1044.710212547434	1044.7124072705192	1146.3269662303937
2.82	951.1767094622337	842.7408790301706	1222.7875378029275	1114.3517073708645	701.934735415547	973.5455637562409	1362.0683327516308	1253.6325023195677	1112.8263587049441	701.9369301635888	973.5477585042827	1362.0683327516308	1253.6325023195677	1112.828553452986	1214.4123859402753	1214.4123859402753	1034.6582744789048	1034.6604692269466	1136.244301714236
2.85	942.2835974611226	828.0909474585205	1219.572234492778	1105.379584490176	688.6740782560228	965.9627152876783	1357.9378202319494	1243.7451702293474	1104.3283010268497	688.6762730040646	965.9649100357201	1357.9378202319494	1243.7451702293474	1104.3304957748915	1205.9209125063062	1205.9209125063062	1025.381081870015	1025.3832766180567	1126.9736933494714
2.88	933.8689401337178	814.7907848841569	1216.525926607108	1097.447771357547	676.5327417241351	959.1897281975253	1353.693180864022	1234.615025614461	1096.3569824544393	676.5349364721769	959.1919229455671	1353.6909861159802	1234.6128308664192	1096.3569824544393	1197.9890993736772	1197.9869046256354	1016.7359761979314	1016.7381709459733	1118.3680931171693
2.91	925.9042058054329	802.6692010596744	1213.6464194727741	1090.4114147270157	665.3614830528968	953.1036967202381	1349.3322199746908	1226.0972152289323	1088.7894972221548	665.3636778009386	953.1058914682799	1349.3322199746908	1226.0972152289323	1088.7916919701966	1190.4962354999443	1190.4962354999443	1008.5978569240979	1008.6000516721397	1110.3045952018874
2.94	918.363057524708	791.5835375121533	1210.9183498285274	1084.1388298159727	655.0373964518367	947.5926887556561	1344.8329900585813	1218.0534700460266	1081.50732898571	655.0395911998785	947.5948835036979	1344.8329900585813	1218.0534700460266	1081.5095237337518	1183.3216098426492	1183.3216098426492	1000.8482077291701	1000.8504024772119	1102.6624885861092
2.97	911.2016003556491	781.3999146858987	1208.328549186088	1078.5268635163375	645.4463551475346	942.5733039779734	1340.1581804488815	1210.356494779131	1074.402935240767	645.4485498955764	942.5754987260152	1340.1559857008542	1210.3543000311038	1074.4029352407815	1176.3532903515006	1176.3510956034734	993.3729018397571	993.3750965877989	1095.3232569504908
3.01	902.1768035718851	769.0369087765284	1205.0430139885284	1071.9031191931717	633.6298410512682	936.4960514679115	1333.5673573213862	1200.4274625260296	1065.0203948007693	633.6298410512682	936.4960514679115	1333.5673573213862	1200.4274625260296	1065.0203948007693	1167.2033930291946	1167.2033930291946	983.6567599719856	983.6567599719856	1085.8397582004109
3.04	895.7505863977567	760.5432405945176	1202.6792722196697	1067.4719264164305	625.3863739463268	932.3150597682397	1328.2867977264395	1193.0794519232004	1057.9225852750096	625.3885686943686	932.3172545162815	1328.2867977264395	1193.0794519232004	1057.9247800230514	1160.3140843926667	1160.3140843926667	976.4338498827419	976.4360446307837	1078.825349000399
3.08	887.5707669361	750.1050271951099	1199.6197958707198	1062.1540561297297	615.0886242967972	927.1376532314171	1320.6776122813899	1183.2118725403998	1048.1954696420871	615.090819044839	927.1398479794589	1320.6776122813899	1183.2118725403998	1048.197664390129	1150.9074017491803	1150.9074017491803	966.7220974860975	966.7242922341393	1069.4340295931906
3.12	879.7552753747877	740.5117911178386	1196.6217724419548	1057.3782881850057	605.4427143164357	922.3092113836028	1312.269539223067	1173.026054966118	1037.956978164715	605.4427143164357	922.3092113836028	1312.269539223067	1173.026054966118	1037.956978164715	1141.035432895238	1141.035432895238	956.7184438744589	956.7184438744589	1059.7968986049818
3.16	872.233879801468	731.6252633608383	1193.6347227035149	1053.0261062628852	596.3257381897711	917.7265810918179	1302.8869987830694	1162.2783823424397	1026.9788571713725	596.3257381897711	917.7265810918179	1302.8869987830694	1162.2783823424397	1026.9788571713725	1130.469924209261	1130.469924209261	946.216582831752	946.216582831752	1049.7076498696406
3.2	864.9385431017436	723.3137591165432	1190.608167575192	1048.9833835899917	587.634542858752	913.3041673322004	1292.3829429923499	1150.7581590071495	1015.0789427493582	587.6323481106956	913.3019725841441	1292.3851377403917	1150.7603537551913	1015.0789427493437	1119.0265170055063	1119.0287117535481	935.0387399413739	935.0365451933176	1038.986314197522
3.24	857.8187861205079	715.476320074813	1187.5026015672775	1045.1601355215826	579.2813384266046	908.9651538733742	1280.520339262046	1138.1778732163511	1001.9828915681428	579.2791436785628	908.9629591253324	1280.5225340101024	1138.1800679644075	1001.9828915681574	1106.43086797843	1106.4330627264862	922.9303245802002	922.9281298321584	1027.3783009904873
3.28	850.8372981161519	708.0207668928197	1184.2741297439206	1041.4575985205884	571.1915035597631	904.6283351875318	1267.1916449631535	1124.3751137398212	987.5458504067647	571.1893088117213	904.62614043949	1267.1916449631535	1124.3751137398212	987.5436556587229	1092.5359291590285	1092.5359291590285	909.7245360967354	909.7223413486936	1014.7146148489992
3.33	842.2075556803611	699.1408233799593	1179.9987639533356	1036.9320316529338	561.3722086338676	899.163416906842	1248.2400106743298	1105.173278373928	967.4046636278363	561.3700138858258	899.1612221588002	1248.2400106743298	1105.173278373928	967.4024688797945	1073.1277876269742	1073.1277876269742	901.7466333051561	901.7444385571143	1007.469757304294
3.37	835.3555577355874	692.3107728656905	1176.3313428960391	1033.2865580261423	553.6884018302808	894.6641869907326	1231.2285321068048	1088.183747236908	949.5613762014982	553.686207082239	894.6619922426908	1231.2285321068048	1088.183747236908	949.5591814534564	1055.9187818854698	1055.9187818854698	897.2583771292557	897.2561823812139	1003.6157828132273
3.42	826.8026313814189	684.0299950690096	1171.3690215175302	1028.596385205121	544.2356295028585	888.8020196389698	1207.8303417799907	1065.0577054675814	925.2633399014303	544.2334347548167	888.799824890928	1207.8303417799907	1065.0577054675814	925.2611451533885	1032.4635281594965	1032.4635281594965	891.4027939966618	891.40059924862	998.602982254728
3.47	818.2299523447873	675.9686919267115	1165.9041032118985	1023.6428427938226	534.9035682428512	882.5777191099623	1182.713665109346	1040.4524046912702	899.3872810074099	534.9035682428512	882.5777191099623	1182.713665109346	1040.4524046912702	899.3872810074099	1007.4895100117137	1007.4895100117137	885.1806882156816	885.1806882156816	993.2829172199854
3.53	807.8729445480567	666.5005563879677	1158.5517031129857	1017.1793149528967	523.8135151742899	874.492273739219	1152.4788400990074	1011.1064519389183	868.4194107252406	523.8135151742899	874.492273739219	1152.4788400990074	1011.1064519389183	868.4194107252406	977.6826605450042	977.6826605450042	877.0864638527855	877.0864638527855	986.3497136725491
3.58	799.1663859807159	658.7399334777729	1151.655810232347	1011.229357729404	514.6416703965224	867.1310946481535	1130.296539238785	989.870086735842	845.7718236545916	514.6416703965224	867.1310946481535	1130.2943444907432	989.8678919878002	845.7696289065498	956.0622147341637	956.0600199861219	869.7121162984113	869.7121162984113	980.0025073779834
3.64	788.6096562869061	649.539556975491	1142.3127752570726	1003.2426759456575	503.7228075504099	857.4259265205765	1110.3770218373247	971.3069225259096	825.4901731008285	503.7228075504099	857.4259265205765	1110.3770218373247	971.3069225259096	825.4901731008285	937.082048720782	937.082048720782	859.9784164712619	859.9784164712619	971.5702920912154
3.7	777.9322155256814	640.4401388082042	1131.6594766993658	994.1673999818886	492.9114872834325	846.6387484571169	1096.234076663939	958.7419999464619	811.2133484216902	492.9136820314743	846.6409432051587	1096.234076663939	958.7419999464619	811.215543169732	924.1747457214078	924.1747457214078	849.1451487238955	849.1473434719373	962.1065460236132
3.77	765.3519297598541	629.9536410018045	1117.3892362643528	981.9909475063032	480.51336543034995	832.5506719348487	1082.6727392972534	947.2744505392038	797.8341749677493	480.51336543034995	832.5506719348487	1082.6727392972534	947.2744505392038	797.8341749677493	912.4657742292475	912.4657742292475	834.989035087201	834.989035087201	949.6206343486992
3.83	754.4835460438335	621.0956449194491	1103.4591814762825	970.0712803518982	470.16074712970294	819.136382562152	1071.3500431110006	937.9621419866162	787.02724419687	470.16074712970294	819.136382562152	1071.3500431110006	937.9621419866162	787.02724419687	903.1337129442836	903.1337129442836	821.4847611196747	821.4847611196747	937.5912298670883
3.9	741.780354462564	610.9427485408232	1085.1659710757958	954.3283651540551	458.5373707113322	801.922987324564	1057.319030012848	926.4814240911073	774.0760462616163	458.5373707113322	801.922987324564	1057.319030012848	926.4814240911073	774.0760462616163	891.9251436062623	891.9251436062623	804.1660180509789	804.1660180509789	922.0151153956249
3.98	727.3147816265555	599.66175256735	1061.6602382197161	934.0072091605107	446.1216909238283	780.4671475169889	1039.3813685205532	911.7283394613478	758.188277817826	446.1216909238283	780.4671475169889	1039.3813685205532	911.7283394613478	758.188277817826	877.9950888431486	877.9950888431486	782.5697144685837	782.5697144685837	902.3765254939062
4.06	713.0203989630681	588.8219005758292	1035.6261575914978	911.4276592042588	434.9833534233039	757.5891120517335	1018.9724226802064	894.7739242929674	740.9353771404421	434.9833534233039	757.5891120517335	1018.9724226802064	894.7739242929674	740.9353771404421	862.5616328446195	862.5616328446195	759.5402415132558	759.5402415132558	881.1664972174331
4.14	699.0420597680059	578.5460984067176	1007.6124158021994	887.1164544409112	425.5613075684669	734.1316636026604	996.0461028079444	875.5501414466562	722.5653506084054	425.5613075684669	734.1316636026604	996.0461028079444	875.5501414466562	722.5653506084054	845.727928743654	845.727928743654	735.9313555740955	735.9313555740955	859.0939337093441
4.23	683.8522206273774	567.7830625717033	974.577094512133	858.507936456459	417.58559952491487	708.3104734096705	967.5780485484138	851.5088904927397	701.3114274459513	417.58559952491487	708.3104734096705	967.5780485484138	851.5088904927397	701.3114274459513	825.6218578834814	825.6218578834814	709.9477541508386	709.9477541508386	834.2581845883687
4.32	669.417374214041	558.0296100121923	940.9031020161929	829.5153378143441	412.9898007698648	684.4755285720166	937.0074273373029	825.6196631354542	680.5798538931267	412.9898007698648	684.4755285720166	937.0074273373029	825.6196631354542	680.5798538931267	805.1712118553405	805.1712118553405	685.967956067223	685.967956067223	810.5593140294368
4.42	654.4404254836845	548.5022163262329	903.8799267043651	797.9417175469134	412.318208393277	661.7577096139576	901.7224911016528	795.7842819442012	659.6002740112453	412.318208393277	661.7577096139576	901.7224911016528	795.7842819442012	659.6002740112453	783.2566700565076	783.2566700565076	663.1074785862875	663.1074785862875	786.7638746315497
4.53	639.4371397518844	539.7232311234402	864.7958845788671	765.0819759504229	416.9030334081326	642.2617782351153	862.7898864662275	763.0759778377833	640.2557801224757	416.9030334081326	642.2617782351153	862.7898864662275	763.0759778377833	640.2557801224757	761.4452813407552	761.4452813407552	643.484251920876	643.484251920876	764.6737531391555
4.64	626.0996665107232	532.7768590877531	828.3345643164066	735.0117568934365	426.06170974754787	628.2966075532313	825.1126767371752	731.7898693142051	625.0747199739999	426.06170974754787	628.2966075532313	825.1126767371752	731.7898693142051	625.0747199739999	742.895285594117	742.895285594117	629.4137334078841	629.4137334078841	747.2342990280013
4.76	613.523770191081	527.2658511231566	792.1607557728712	705.9028367049468	439.35089858171705	617.9878841635073	786.6168266375607	700.3589075696364	612.4439550281968	439.35089858171705	617.9878841635073	786.6168266375607	700.3589075696364	612.4439550281968	726.6168522984226	726.6168522984226	619.0216096674412	619.0216096674412	733.194506937667
4.89	602.0803629873262	523.4886927386688	757.4727905303153	678.8811202816578	455.2233038141858	610.6157313571748	748.7837899223523	670.1921196736948	601.9267307492119	455.2233038141858	610.6157313571748	748.7837899223523	670.1921196736948	601.9267307492119	713.2025629007694	713.2025629007694	611.5748354776151	611.5748354776151	722.8506676291727
5.03	592.1776676857844	521.7065587515681	725.2473305937165	654.7762216595002	471.9823865565995	605.0520494645316	712.985283019385	642.5141740851686	592.7900018902001	471.9845813046413	605.0542442125734	712.985283019385	642.5141740851686	592.7921966382419	702.7928812009632	702.7928812009632	605.9475059666438	605.9497007146856	715.9503852774069
5.19	583.3218663514563	521.9216438599833	694.3848081176984	632.9845856262255	488.91046477342024	599.9734065396624	678.3148757112504	616.9146532197774	583.9034741332143	488.91265952146205	599.9756012877042	678.3148757112504	616.9146532197774	583.9056688812561	677.0375333743577	677.0375333743577	600.809604869617	600.8117996176588	693.9436641107604
5.35	576.6476428732567	523.9451999569428	669.0354883543187	616.3330454380048	502.92611466023664	595.3139601412986	649.8314582403837	597.1290153240698	576.1099300273636	502.92611466023664	595.3139601412986	649.8314582403837	597.1290153240698	576.1099300273636	647.9308079339098	647.9308079339098	596.1018740642612	596.1018740642612	667.9227519708074
5.54	570.778891252412	527.860627368209	644.7857364861993	601.8674726019963	515.9914393688523	589.9982846026396	622.9743477455049	580.0560838613019	568.1868958619452	515.9914393688523	589.9982846026396	622.9743477455049	580.0560838613019	568.1868958619452	620.307730996501	620.307730996501	590.7313298495283	590.7313298495283	642.8521649840841
