R	7A1_4A1	8A1_4A1	5B1_7A1	5B1_8A1	6B1_7A1	6B1_8A1	9B1_4A1	9B1_5B1	9B1_6B1	5B2_7A1	5B2_8A1	6B2_7A1	6B2_8A1	9B2_4A1	9B2_5B2	9B2_6B2	5A2_9B1	5A2_9B2	6A2_9B1	6A2_9B2	9A2_5B1	9A2_6B1	9A2_5B2	9A2_6B2	9A2_5A2	9A2_6A2
3.2200000000000004e-08	208813087037595.22	270541857489414.38	222912917031131.03	284641687482950.2	182997644012385.12	244726414464204.28	288920213817359.1	303020043810894.94	263104770792149.03	222912917031131.03	284641687482950.2	182997644012385.12	244726414464204.28	288920213817359.1	303020043810894.94	263104770792149.03	286410729338380.0	286410729338380.0	242731643027975.22	242731643027975.22	288030525086256.2	248115252067510.28	288030525086256.2	248115252067510.28	271421210613741.25	227742124303336.47
3.26e-08	207601754331069.06	270063525770871.2	221773933548553.8	284235704988355.94	181546938732005.84	244008710171807.97	286665812032279.06	300837991249763.8	260610996433215.8	221773933548553.8	284235704988355.94	181546938732005.84	244008710171807.97	286665812032279.06	300837991249763.8	260610996433215.8	284159634948971.6	284159634948971.6	240350733461790.8	240350733461790.8	286058491981177.4	245831497164629.4	286058491981177.4	245831497164629.4	269380135680385.22	225571234193204.4
3.31e-08	206036943993959.7	269346234898233.12	220272377106696.3	283581668010969.7	179760946487847.8	243070237392121.22	283358005552466.94	297593438665203.5	257082008046355.03	220272377106696.3	283581668010969.7	179760533063388.5	243069823967661.9	283358005552466.94	297593438665203.5	257081594621895.72	280855549289293.22	280855549289293.22	236961069004867.9	236961069004867.9	284067441365079.3	243556010746230.8	284067441365079.3	243555597321771.5	267329551989169.0	223435071704743.7
3.3599999999999996e-08	204414667699330.4	268498302004604.2	218690202951703.78	282773837256977.56	177992318052176.28	242075952357450.1	279491249655077.03	293766784907450.44	253068900007922.9	218690202951703.78	282773837256977.56	177992318052176.28	242075952357450.1	279491663079536.34	293767198331909.75	253069313432382.22	276993341056251.88	276993754480711.16	233088111745289.53	233088525169748.84	283262091157843.0	242564206258315.5	283262091157843.0	242564206258315.5	266488647306644.44	222583417995682.1
3.42e-08	202390956579159.2	267295651211717.94	216687989884609.38	281592684517168.1	175875999923653.44	240780694556212.22	274162626031009.88	288459659336460.06	247647669375504.12	216687989884609.38	281592684517168.1	175875999923653.44	240780694556212.22	274163039455469.16	288460072760919.4	247648082799963.44	271670918789672.12	271671332214131.44	227837211858443.9	227837625282903.22	282083005535629.0	241271015574673.1	282083005535629.0	241271015574673.1	265294264988841.06	221460558057612.84
3.48e-08	200281253237281.4	265876779591191.5	214576219420435.06	280171745774345.16	173750173041971.5	239345699395881.6	268295724184118.28	282590690367271.94	241764643988808.38	214576219420435.06	280171745774345.16	173750173041971.5	239345699395881.6	268295724184118.28	282590690367271.94	241764643988808.38	265810631729428.3	265810631729428.3	222128651452509.5	222128651452509.5	280661653368346.72	239835606989883.16	280661653368346.72	239835606989883.16	263881594730503.12	220199614453584.28
3.54e-08	198088865069374.22	264223083065867.0	212361092926075.94	278495310922568.7	171604915224808.2	237739133221300.97	262426755214930.16	276698983071631.88	235942805370364.16	212361092926075.94	278495310922568.7	171604915224808.2	237739133221300.97	262426755214930.16	276698983071631.88	235942805370364.16	259948277546888.0	259948277546888.0	216486652332800.28	216486652332800.28	278983978247890.66	238227800546622.94	278983978247890.66	238227800546622.94	262233272723146.8	218771647509059.06
3.61e-08	195430961331757.4	261969508129705.53	209654818564337.3	276193365362285.44	169069798452860.3	235608345250808.44	256741759989070.12	270965617221650.03	230380597110173.0	209654818564337.3	276193365362285.44	169069798452860.3	235608345250808.44	256741346564610.8	270965203797190.72	230380183685713.72	254271550805510.22	254271137381050.94	211140664890847.22	211140251466387.94	276676658169639.22	236091638058162.2	276676658169639.22	236091638058162.2	259982591753499.4	216851705838836.4
3.6800000000000005e-08	192675076072519.1	259331035322869.0	206829478052359.72	273485437302709.62	166498300356705.53	233154259607055.44	252767100392440.3	266921502372280.94	226590324676626.78	206829478052359.72	273485437302709.62	166498300356705.53	233154259607055.44	252767100392440.3	266921502372280.94	226590324676626.78	250305159693362.7	250305159693362.7	207574468340263.1	207574468340263.1	273960875050037.7	233629697354383.5	273960875050037.7	233629697354383.5	257344532371119.44	214613841018019.8
3.76e-08	189419774466122.84	255800806667331.34	203471233835534.12	269852266036742.66	163517512374988.66	229898544576197.16	249203797803669.2	263255257173080.47	223301535712535.0	203471233835534.12	269852266036742.66	163517512374988.66	229898544576197.16	249203384379209.88	263254843748621.2	223301122288075.7	246751365857753.44	246750952433294.12	204549857394071.88	204549443969612.56	270313233942101.0	230359512481555.53	270313233942101.0	230359512481555.53	253809342626773.97	211607834163092.4
3.85e-08	185651000085650.66	251127460289324.53	199560241553911.7	265036701757585.56	160128674766981.6	225605134970655.44	245288257857698.22	259197499325959.25	219765932539029.16	199560241553911.7	265036701757585.56	160128674766981.6	225605134970655.44	245288257857698.22	259197499325959.25	219765932539029.16	242847815211697.38	242847815211697.38	201321014929560.25	201321014929560.25	265473691063114.03	226042124276183.94	265473691063114.03	226042124276183.94	249124006948852.2	207597206666715.06
3.95e-08	181374954293293.78	245056740343870.78	195092780392067.97	258774566442644.97	156349564784431.7	220031350835008.7	240456156609576.6	254173982708350.78	215430767100714.5	195092780392067.97	258774566442644.97	156349564784431.7	220031350835008.7	240456156609576.6	254173982708350.78	215430767100714.5	238028530112409.3	238028530112409.3	197333539184096.94	197333539184096.94	259180962361695.78	220437746754059.5	259180962361695.78	220437746754059.5	243035509765754.3	202340518837441.94
4.05e-08	177062940605893.16	238132712991515.5	190555037128566.34	251624809514188.7	152606009277172.78	213675781662795.12	234865835509660.88	248357932032334.06	210408904180940.5	190555037128566.34	251624809514188.7	152606009277172.78	213675781662795.12	234865835509660.88	248357932032334.06	210408904180940.5	232452265434705.03	232452265434705.03	192661019655008.7	192661019655008.7	251996477811570.94	214047449960177.38	251996477811570.94	214047449960177.38	236090811213941.9	196299565434245.56
4.17e-08	171930280015666.84	228970820823050.2	185106107080885.0	242146647888268.34	148239837027918.4	205280377835301.75	227106691412512.97	240282518477731.12	203416248424764.53	185106107080885.0	242146647888268.34	148239010178999.8	205279550986383.16	227109585383728.1	240285412448946.25	203418315547061.06	224710898575198.53	224713792546413.66	186077653784400.38	186080547755615.5	242475320070097.6	205609050017131.03	242475320070097.6	205608223168212.4	226903700167565.0	188270455376766.84
