10A1_7A1	10A1_8A1	11A1_7A1	11A1_8A1	9B1_10A1	9B1_11A1	11B1_7A1	11B1_8A1	11B1_9B1	9B2_10A1	9B2_11A1	11B2_7A1	11B2_8A1	11B2_9B2	9A2_11B1	9A2_11B2	11A2_9B1	11A2_9B2	11A2_9A2
2.57e-08	267624736818225.8	227811166132096.16	378251246383597.25	338437675697467.6	203906156028872.7	314532665594244.1	144865882683538.9	105052311997409.25	81147301894185.8	203906156028872.7	314532665594244.1	144865882683538.9	105052311997409.25	81147301894185.8	93401193136933.2	93401193136933.2	203913597656942.06	203913597656942.06	216167488899689.47
2.59e-08	268494994602817.03	227638354836475.06	380649933186682.94	339793293420340.94	203024322349089.62	315179260932955.5	149702945016702.03	108846305250360.08	84232272762974.64	203024322349089.62	315179260932955.5	149702945016702.03	108846305250360.08	84232272762974.64	96833026862028.27	96833026862028.27	203031763995996.12	203031763995996.12	215632518095049.75
2.61e-08	269236677501309.5	227349371380765.9	382793950747701.9	340906644627158.3	202196647237031.8	315753920483424.2	154191077397670.62	112303771277127.05	87151047133392.94	202196647237031.8	315753920483424.2	154191077397670.62	112303771277127.05	87151047133392.94	100053600848411.58	100053600848411.58	202204502299349.1	202204502299349.1	215107056014367.75
2.63e-08	269846891511652.94	226946696276262.38	384693221206019.9	341793025970629.3	201387989629398.1	316234319323765.0	158318703912421.1	115418508677030.52	89859802030166.23	201387989629398.1	316234319323765.0	158318703912421.1	115418508677030.52	89859802030166.23	103028600882437.98	103028600882437.98	201395844691715.38	201395844691715.38	214564643543987.12
2.65e-08	270326050086929.75	226436530904804.2	386359733872239.56	342470214690114.0	200573130677596.16	316606814462906.0	162084170899318.56	118194651717193.02	92331251489984.97	200573130677596.16	316606814462906.0	162084170899318.56	118194651717193.02	92331251489984.97	105736942363803.23	105736942363803.23	200581399174158.62	200581399174158.62	213987090047976.9
2.67e-08	270673326358644.0	225820115531455.38	387802997507984.75	342949786680796.1	199733879689189.06	316863550838529.8	165490372322736.25	120637161495547.61	94550925653281.33	199733879689189.06	316863550838529.8	165490372322736.25	120637161495547.61	94550925653281.33	108169943380531.33	108169943380531.33	199742148166914.44	199742148166914.44	213361165894164.44
2.69e-08	270880038414825.22	225089181659656.2	389039549087551.5	343248692332382.44	198856180257688.62	317015690930414.9	168536067898778.47	122745211143609.44	96512209741641.88	198856593673096.66	317016104345822.94	168536067898778.47	122745211143609.44	96512623157049.92	110324709968246.28	110324709968246.28	198864862169661.9	198865275585069.94	212677362396266.3
2.71e-08	270965203797569.0	224266881060947.72	390069388592099.9	343371065855478.56	197931350489961.38	317035535284492.2	171249370478082.3	124551047741461.05	98215517170474.67	197931350489961.38	317035535284492.2	171249370478082.3	124551047741461.05	98215517170474.67	112203722638241.77	112203722638241.77	197940032383097.5	197940032383097.5	211928237850864.6
2.7400000000000004e-08	270851925583022.53	222848009442970.53	391256742701879.9	343252826561827.94	196440129630659.16	316844946749516.5	174709730450388.12	126705814310336.12	100297934498024.73	196440543064907.06	316845360183764.44	174709730450388.12	126705814310336.12	100298347932272.66	114522205156516.75	114522205156516.75	196449224958040.47	196449638392288.4	210673495616532.5
2.76e-08	270617927525854.75	221780548326153.1	391823547190031.25	342986167990329.6	195371014833364.16	316576634497540.7	176625537882999.44	127788158683297.8	101378625190508.84	195371014833364.16	316576634497540.7	176625537882999.44	127788158683297.8	101378625190508.84	115744286895355.5	115744286895355.5	195380110160745.47	195380110160745.47	209745771865592.12
