4B1_1A1	4B1_1B1	4B2_1A1	4B2_1B2	1A2_4B1	1A2_4B2	2A2_4B1	2A2_4B2	4A2_1B1	4A2_1B2	4A2_1A2	4A2_2A2
2.4e-08	1800225612773922.5	1868397184888338.8	1800225612773922.5	1868397184888338.8	1875817321196878.5	1875817321196878.5	1800225612773922.5	1800225612773922.5	1866987822025675.2	1866987822025675.2	1874407958334215.0	1798816249911259.0
2.41e-08	1803346964968357.2	1867351635263031.8	1803346964968357.2	1867351635263031.8	1874711825071996.8	1874711825071996.8	1803346964968357.2	1803346964968357.2	1866036119677394.0	1866036119677394.0	1873396309486359.0	1802031449382719.5
2.4300000000000003e-08	1809422232573458.5	1865707860915325.5	1809422232573458.5	1865707860915325.5	1872897719983416.0	1872897719983416.0	1809422232573458.5	1809422232573458.5	1864556061283917.5	1864556061283917.5	1871745920352008.0	1808270432942050.5
2.44e-08	1812383589624398.0	1865101781137601.8	1812383589624398.0	1865101781137601.8	1872182082808615.0	1872182082808615.0	1812383589624398.0	1812383589624398.0	1864021503885928.0	1864021503885928.0	1871101805556941.2	1811303312372724.0
2.46e-08	1818175661700582.0	1864301392019176.2	1818175661700582.0	1864301805443635.5	1871117102247829.5	1871117102247829.5	1818175661700582.0	1818175661700582.0	1863347209124141.8	1863347622548601.0	1870162919352795.0	1817221478805547.8
2.4700000000000003e-08	1821012578092716.2	1864097160500853.0	1821012578092716.2	1864097160500853.0	1870759076952900.5	1870759076952900.5	1821012578092716.2	1821012578092716.2	1863198376436346.5	1863198376436346.5	1869860292888394.0	1820113794028209.8
2.49e-08	1826581814564011.8	1864055818087835.5	1826581814564011.8	1864056231512294.8	1870371698540170.5	1870371698540170.5	1826581814564011.8	1826581814564011.8	1863255842393869.2	1863256255818328.5	1869571722846204.2	1825781838870045.5
2.5e-08	1829319095736687.5	1864208785015525.5	1829319095736687.5	1864209198439985.0	1870333663518129.2	1870333663518129.2	1829319095736687.5	1829319095736687.5	1863452632276628.5	1863453045701088.0	1869577510779232.2	1828562942997790.5
2.52e-08	1834708079284791.2	1864836362846323.5	1834708079284791.2	1864837189695242.0	1870549470916606.2	1870549470916606.2	1834708079284791.2	1834708079284791.2	1864158760693566.5	1864159587542485.2	1869871868763849.5	1834030477132034.5
2.5400000000000002e-08	1839994120227167.0	1865860000998795.2	1839994120227167.0	1865860827843013.0	1871127851279067.5	1871127851279067.5	1839994120227167.0	1839994120227167.0	1865249786981179.8	1865250613825397.2	1870517637261451.8	1839383906209551.2
2.55e-08	1842600759374148.0	1866507423184835.5	1842600759374148.0	1866507836609294.8	1871542102253443.0	1871542102253443.0	1842600759374148.0	1842600759374148.0	1865927389129238.0	1865927802553697.5	1870962068197845.8	1842020725318550.5
2.57e-08	1847749956928643.2	1868050322044406.0	1847749956928643.2	1868051148893324.5	1872604602272173.8	1872604602272173.8	1847749956928643.2	1847749956928643.2	1867525273394877.2	1867526100243795.8	1872079553622645.0	1847224908279114.2
2.59e-08	1852816883076864.5	1869893780241385.8	1852816883076864.5	1869894193665845.0	1873953191786341.2	1873953191786341.2	1852816883076864.5	1852816883076864.5	1869416688796220.2	1869417102220679.8	1873476100341176.0	1852339791631699.2
2.61e-08	1857807325765943.2	1872002243309882.8	1857807325765943.2	1872002656734342.0	1875561411654060.8	1875561411654060.8	1857807325765943.2	1857807325765943.2	1871567321126650.8	1871567734551110.0	1875126489470829.0	1857372403582711.2
2.63e-08	1862725832655529.8	1874344291014506.5	1862725832655529.8	1874345117863425.2	1877403216162605.5	1877403216162605.5	1862725832655529.8	1862725832655529.8	1873946576999699.0	1873947403848617.8	1877005502147797.8	1862328118640722.2
2.65e-08	1867574884292374.2	1876890570237448.0	1867574884292374.2	1876890983661907.5	1879454626698039.2	1879454626698039.2	1867574884292374.2	1867574884292374.2	1876525930155874.0	1876526343580333.2	1879089986616465.0	1867210244210800.0
2.67e-08	1872358614911675.8	1879614621841532.0	1872358614911675.8	1879615448690450.5	1881694972070307.2	1881694972070307.2	1872358614911675.8	1872358614911675.8	1879278508024139.0	1879279334873057.5	1881358858252914.2	1872022501094282.8
2.69e-08	1877077851371746.8	1882492053793061.2	1877077851371746.8	1882492880641979.8	1884102754207533.8	1884102754207533.8	1877077851371746.8	1877077851371746.8	1882181985693093.5	1882182812542012.2	1883792686107566.2	1876767783271779.2
