R	5A1_3A1	6A1_3A1	3B1_5A1	3B1_6A1	7B1_3A1	7B1_3B1	3B2_5A1	3B2_6A1	7B2_3A1	7B2_3B2	7A2_3B1	7A2_3B2
2.13	9173.0650666	7538.049305000008	8413.131965499997	6778.116203900005	8078.753587700005	7318.8204866000015	8413.138549700001	6778.122788100009	8078.751392999999	7318.8248760999995	8423.214630000002	8423.221214200006
2.14	9170.7825305	7614.6042507999955	8420.166127400007	6863.987847700002	8129.805581499997	7379.189178400004	8420.172711600011	6863.994431900006	8129.805581499997	7379.195762600008	8430.174170600003	8430.180754800007
2.15	9121.198822099992	7689.111498099999	8380.316118899995	6948.228794900002	8177.181375100001	7436.298671900004	8380.322703099999	6948.235379100006	8177.176985600003	7436.30086660001	8437.2697854	8437.276369600004
2.16	9165.253964499992	7757.949715800001	8434.590000099997	7027.285751400006	8221.620598099995	7490.9566337	8434.594389599995	7027.290140900004	8221.618403300003	7490.958828400006	8444.499279700001	8444.5036692
2.17	9161.968429300003	7824.845583000002	8442.003853100003	7104.881006800002	8264.718831200007	7544.754255000007	8442.010437299992	7104.8875909999915	8264.716636500001	7544.758644499991	8408.283771000002	8408.290355199992
2.18	9158.344903200006	7888.703921399996	8449.551585599998	7179.910603799988	8304.309859800007	7595.516542199999	8449.558169800002	7179.917187999992	8304.305470300009	7595.518736900005	8459.355517299991	8459.362101499995
2.19	9154.396554699997	7949.630078700007	8457.2331977	7252.46672170001	8343.497055	7646.333698000002	8457.23978199999	7252.473306	8343.492665500002	7646.335892799994	8466.977871199997	8466.984455499987
2.2	9150.138746800003	8007.733792200001	8465.042105	7322.637150399998	8381.635161400001	7696.538519599999	8465.048689300005	7322.643734700003	8381.630771900003	7696.5407144000055	8474.729715199996	8474.7362995
2.21	9145.593427200001	8063.116020300004	8472.984891899992	7390.507484999995	8418.8624481	7746.253912799992	8472.98928139999	7390.511874499993	8418.860253300008	7746.256107499998	8482.608854399994	8482.613243899992
2.22	9140.7891275	8115.895279399992	8481.054973999999	7456.161125899991	8455.242562799991	7795.50840929999	8481.061558200003	7456.167710099995	8455.238173299993	7795.5106039999955	8490.610899399995	8490.6174836
2.23	9135.754379499995	8166.174722299998	8489.256740900004	7519.677083700008	8490.773310599994	7844.275672000003	8489.263325199994	7519.683667999998	8490.768921099996	7844.2778667999955	8498.740239700011	8498.746824000002
2.24	9130.524299099998	8214.070670799993	8497.585803199996	7581.132174899991	8525.426159900002	7892.487664	8497.5923874	7581.138759099995	8525.421770500005	7892.489858800007	8506.994680599993	8507.001264799997
2.25	9125.134002299994	8259.69505699999	8506.044355399994	7640.60541009999	8559.1550212	7940.0653743	8506.048744900007	7640.609799600003	8559.150631699988	7940.0653743	8515.374221899998	8515.37861140001
2.26	9119.622994200006	8303.157617899997	8514.630202900007	7698.1648265999975	8591.913804299998	7986.921012999999	8514.636787099997	7698.171410799987	8591.9094148	7986.923207699991	8523.874474299999	8523.881058499988
2.27	9114.037364899996	8344.572480599993	8523.345540499999	7753.880656199995	8623.673978099992	8032.982153699995	8523.352124700003	7753.887240399999	8623.669588599994	8032.984348400001	8532.502022100001	8532.508606300005
2.29	9102.806848100008	8421.6936709	8541.171269900005	7860.058092699997	8684.108512200008	8122.472934000005	8541.17785410001	7860.064676900001	8684.101928000004	8122.472934000005	8550.134613800008	8550.141198000012
2.3	9097.251945199998	8457.617278200007	8550.281661899993	7910.646994900002	8712.774093600005	8165.8038103	8550.288246099997	7910.653579100006	8712.769704100006	8165.806005000006	8559.137463199993	8559.144047399997
2.31	9091.808974400003	8491.9189682	8559.545685999998	7959.655679799995	8740.419118000005	8208.1558296	8559.552270200002	7959.662263999999	8740.414728500007	8208.158024300006	8568.269802499999	8568.276386700003
2.32	9086.484519899997	8524.695309400005	8568.926031699986	8007.136821199994	8767.063338100008	8249.504849899997	8568.921642199988	8007.132431699996	8767.063338100008	8249.500460399999	8577.531631899998	8577.5272424
2.33	9081.337839799991	8556.047260299994	8578.4424516	8053.151872100003	8792.746259299995	8289.850871100003	8578.438062100002	8053.147482600005	8792.746259299995	8289.846481600005	8586.918561800005	8586.914172300007
2.35	9071.731435199996	8614.840124199996	8597.8922933	8141.0009823	8841.368668800002	8367.529526900005	8597.890098600008	8140.998787600009	8841.368668800002	8367.527332200014	8606.089670699992	8606.087476
2.36	9067.339747899998	8642.450032699999	8607.8410783	8182.951363100001	8864.38277859999	8404.884108999991	8607.836688800002	8182.946973600003	8864.38277859999	8404.879719499993	8615.858486500001	8615.854097000003
2.37	9063.259714500004	8668.973541700005	8617.93032700001	8223.64415420001	8886.578247900004	8441.24886040001	8617.928132300003	8223.641959500004	8886.578247900004	8441.246665700004	8625.7611818	8625.758987099995
2.38	9059.590098600005	8694.489662200009	8628.228076600004	8263.127640200008	8910.718262399998	8479.356240399997	8628.223687100006	8263.12325070001	8910.718262399998	8479.351850899999	8635.824093600007	8635.81970410001
2.4	9053.251671400008	8742.765301800013	8649.1505932	8338.664223600004	8948.99244310001	8544.891364900002	8649.146203700002	8338.659834100006	8948.99244310001	8544.886975400004	8656.371308500005	8656.366919000007
2.41	9050.690402499997	8765.652116199999	8659.847786600003	8374.809500300005	8968.451063899993	8577.608447999999	8659.845591899997	8374.8073056	8968.451063899993	8577.606253299993	8666.8621957	8666.860000999994
2.43	9046.843012199999	8809.158572199987	8681.744770400008	8444.060330399996	9005.632260999992	8640.5340192	8681.74038090001	8444.055940899998	9005.6300662	8640.52743490001	8688.296088100004	8688.291698600005
2.44	9045.618343799986	8829.9296512	8692.933587099993	8477.244894500007	9023.4689641	8670.784207400007	8692.931392299986	8477.2426997	9023.4689641	8670.7820126	8699.241288000005	8699.239093199998
2.46	9044.591202399999	8869.689675100002	8715.831375199996	8540.929847899999	9057.7684592	8729.008631999997	8715.829180400004	8540.927653100007	9057.7684592	8729.006437200005	8721.610142299993	8721.6079475
2.47	9044.979672599991	8888.983689799992	8727.492062299993	8571.496079499993	9074.520957799992	8757.033347499993	8727.489867600001	8571.493884800002	9074.5187631	8757.02895810001	8733.0359914	8733.033796700009
2.49	9046.875933400006	8925.697405900006	8751.441134000008	8630.262606500008	9106.469879600001	8811.035080200003	8751.438939200001	8630.260411700001	9106.469879600001	8811.032885399996	8756.381507900005	8756.379313099998
2.5	9048.563693300006	8943.402424400003	8763.68342880001	8658.522159900007	9121.947230599995	8837.0669661	8763.681234000003	8658.5199651	9121.945035900004	8837.062576600001	8768.305564499999	8768.303369699992
2.52	9053.396524700001	8977.6448561	8788.506009499994	8712.754340899992	9152.013060199999	8887.122544999991	8788.688173400005	8712.936504800004	9152.010865400007	8887.30251410001	8792.465331799991	8792.647495700003
2.54	9060.140980000011	9010.506792500004	8814.1911253	8764.556937799993	9181.038580000008	8935.088725299996	8814.375484000004	8764.741296499997	9181.036385300002	8935.270889299994	8817.46129729999	8817.645655999993
2.55	9064.194676400002	9026.447234799998	8827.263034400006	8789.515592800002	9195.196888299994	8958.265246299998	8827.263034400006	8789.515592800002	9195.194693500001	8958.263051500006	8830.188631199999	8830.188631199999
2.57	9073.6342803	9057.555568899988	8853.85677530001	8837.778063899998	9222.920923599988	9003.143418599997	8853.858970000001	8837.780258599989	9222.920923599988	9003.145613299988	8856.0954165	8856.097611199992
2.59	9087.665293400001	9084.713359599991	8883.909436400005	8880.957502599995	9249.922887299996	9046.1670303	8883.909436400005	8880.957502599995	9249.920692600004	9046.164835600008	8882.5355252	8882.5355252
2.61	9097.2782822	9116.894924599997	8908.453284300005	8928.069926700002	9276.297153599997	9087.472155700001	8908.453284300005	8928.069926700002	9276.297153599997	9087.472155700001	8909.416777899998	8909.416777899998
2.63	9111.160052399995	9145.3388366	8936.236577599993	8970.415361799998	9302.116148999994	9127.192674199992	8936.236577599993	8970.415361799998	9302.113954300003	9127.190479500001	8936.636021500002	8936.636021500002
2.65	9126.1787014	9173.087014100005	8964.169113800002	9011.077426500007	9327.458884599997	9165.449297	8964.169113800002	9011.077426500007	9327.456689900006	9165.447102300008	8964.079129300007	8964.079129300007
2.67	9142.169622999994	9200.207494199989	8992.1433502	9050.181221399995	9352.373644599997	9202.347371800002	8992.145544900006	9050.1834161	9352.37144989999	9202.347371800002	8991.634169099998	8991.636363800004
2.69	9158.772878700009	9226.502749499996	9020.119781200003	9087.84965199999	9376.645343900003	9237.992246399997	9020.12197600001	9087.851846799997	9376.643149199997	9237.992246499998	9019.1935983	9019.195793100007
2.71	9176.243059300003	9252.5324407	9047.876737700004	9124.166119100002	9400.833642900005	9272.467321300006	9047.878932399995	9124.168313799993	9400.831448199999	9272.467321299991	9046.660848300002	9046.663042999993
2.74	9203.435966000005	9290.694689400014	9089.076515299996	9176.335238700005	9436.533386200012	9322.173935500003	9089.078710000002	9176.337433400011	9436.531191500006	9322.173935500003	9087.527024399998	9087.529219100004
2.76	9222.0715567	9315.591891299991	9116.168463500013	9209.688798100004	9459.977666199993	9354.074573000005	9116.168463500013	9209.688798100004	9459.975471400001	9354.072378200013	9114.449977200013	9114.449977200013
2.79	9250.574727	9352.195870199997	9156.145767399998	9257.766910599996	9494.656852500004	9400.227892900002	9156.147962200004	9257.769105400002	9494.652462999991	9400.225698199996	9154.238532899995	9154.240727700002
2.81	9269.8424047	9376.133967999995	9182.32031180001	9288.611875100003	9517.466850800003	9429.944757900012	9182.3225065	9288.614069799994	9517.464655999996	9429.944757799996	9180.325287400003	9180.327482099994
2.84	9299.006193599998	9411.381593700004	9220.8359146	9333.211314700005	9551.243996399993	9473.073717399995	9220.838109299992	9333.213509399997	9551.241801600001	9473.073717299994	9218.744321400009	9218.7465161
2.87	9328.343367399997	9445.876421299996	9258.423139799997	9375.956193699996	9584.50537649999	9514.58514889999	9258.425334500003	9375.958388400002	9584.503181799999	9514.585148900005	9256.272288399996	9256.274483100002
2.89	9347.938062300003	9468.47352910001	9282.962598099999	9403.498064900006	9606.40236030001	9541.426896100005	9282.962598099999	9403.498064900006	9606.400165600004	9541.4247014	9280.787604500001	9280.787604500001
2.92	9377.310352100001	9501.785388500008	9318.995942900001	9443.470979300007	9638.829737000007	9580.515327800007	9318.998137599992	9443.473173999999	9638.8275422	9580.515327699992	9316.803391299996	9316.805585999988
2.96	9416.341720299999	9545.184301800007	9365.625522799994	9494.468104300002	9681.3266095	9630.610411999995	9365.625522799994	9494.468104300002	9681.3266095	9630.610411999995	9363.435165999996	9363.435165999996
2.99	9445.3496821	9576.90497009999	9399.516795100004	9531.072083099993	9712.562238899991	9666.729351899994	9399.51898980001	9531.074277799999	9712.562238899991	9666.7315466	9397.337412099994	9397.3396068
