10A1_6A1	11A1_5A1	7B1_10A1	7B1_11A1	11B1_5A1	11B1_6A1	11B1_7B1	7B2_10A1	7B2_11A1	11B2_5A1	11B2_6A1	11B2_7B2	7A2_11B1	7A2_11B2	11A2_7B1	11A2_7B2	11A2_7A2
2.2599999999999997e-08	430070653840860.75	658261343329882.4	456201952903767.6	530595144769031.0	594003657468301.1	440206159844542.8	466337458907449.7	456201952903767.6	530595144769031.0	594002417194923.1	440204919571164.9	466336218634071.75	438464817404375.56	438463577130997.7	456207327417037.5	456207327417037.5	428334685913963.4
2.27e-08	432101806601299.44	652121168136390.4	458350104692146.0	533425446374514.75	587135442375636.8	442191422522914.44	468439720613761.06	458350104692146.0	533425446374514.75	587134202102258.9	442190182249536.56	468438480340383.1	440466617047013.44	440465376773635.5	458355892629872.44	458355892629872.44	430382789063124.8
2.29e-08	435981378647520.06	641104241890786.0	462485172852026.75	539306818063373.3	574281672714999.4	445980454683080.06	472484248887586.7	462485172852026.75	539306818063373.3	574280019017162.2	445978800985242.8	472482595189749.5	444292030531385.9	444290376833548.7	462490960789755.94	462490960789755.94	434298742433555.1
2.2999999999999998e-08	437828144240174.1	636178706785394.1	464472089223534.56	542334736395836.8	568271312693579.6	447783397320661.9	474427342304022.3	464472089223534.56	542334736395836.8	568270072420204.5	447782157047286.75	474426102030647.1	446115230953364.94	446113990679989.75	464477877161263.75	464477877161263.75	436165765810606.4
2.3100000000000002e-08	439609588819980.94	631645924615404.2	466405673886811.06	545440791899380.56	562523063572470.5	449521845789616.75	476317930856446.9	466405673886811.06	545440791899380.56	562521409879334.4	449520192096480.56	476316277163310.75	447878484871068.25	447876831177932.1	466411461824537.5	466411461824537.5	437972015839158.9
2.32e-08	441331500324666.8	627407913840390.4	468285513407994.8	548537752060124.06	557023695778368.1	451199520914773.9	478153533998101.9	468285513407994.8	548537752060124.06	557024522627286.75	451200347763692.5	478154360847020.5	449578484898220.8	449579311747139.44	468291301345724.0	468291301345724.0	439716252245842.94
2.33e-08	442990157943502.94	623476250354612.4	470112021220950.0	551649182072236.7	551766181104874.7	452817249545051.9	479939112822498.94	470112021220950.0	551649182072236.7	551766594524635.7	452817662964812.9	479939526242259.94	451220605548089.7	451221018967850.7	470117809158676.44	470117809158676.44	441399301884267.2
2.3500000000000002e-08	446115644373128.7	616441011916744.9	473604628278902.9	557865427309811.3	541927513627867.4	455862945115159.56	483351929020933.75	473604628278902.9	557865427309811.3	541928340476786.0	455863771964078.1	483352755869852.4	454318805986909.44	454319632835828.0	473610829641088.6	473610829641088.6	444577706607064.3
2.36e-08	447580819495474.94	613291960307050.4	475274448348735.4	560949157906661.3	537326516469116.6	457290085215467.2	484983714068727.6	475274448348735.4	560949157906661.3	537326929893575.94	457290498639926.5	484984127493186.94	455779846864670.9	455780260289130.2	475280649710923.8	475280649710923.8	446076782506867.06
2.37e-08	448981500453900.7	610360783218129.4	476889283003102.7	563996920599062.8	532924376324818.56	458652731156549.94	486560513705751.94	476889283003102.7	563996920599062.8	532925203173734.4	458653558005465.8	486561340554667.8	457177633856577.06	457178460705492.94	476895484365288.44	476895484365288.44	447512604516113.56
2.3799999999999998e-08	450304044250640.1	607627636285345.8	478347016494586.3	566896677457285.8	528712411276629.4	459938480204623.25	487981452448569.44	478347016494586.3	566896677457285.8	528713238125548.0	459939307053541.8	487982279297488.06	458507619284181.8	458508446133100.44	478353217856774.8	478353217856774.8	448879384692387.2
2.4e-08	452771359462987.6	602682256829415.4	472410659394958.2	563835271767132.2	520821384885110.0	462335099890856.25	481974399822826.9	472410659394958.2	563835271767132.2	520822211729327.56	462335926735073.8	481975226667044.4	460974934501230.4	460975761345447.94	472416860757146.7	472416860757146.7	451417395435550.25
2.41e-08	453903314734457.75	600436950373035.1	469394730353012.94	562235733798954.9	517125373153051.5	463432740960416.06	478924156578971.3	469394730353012.94	562235733798954.9	517125786577508.06	463433154384872.6	478924570003427.9	462111437437051.8	462111850861508.4	469400931715198.7	469400931715198.7	452588212573279.25
2.4300000000000003e-08	455956792396886.3	596334542721925.9	463719657304768.56	559324814494433.8	510193077320915.06	465420484185540.8	473183349093423.06	463720070729227.9	559325227918893.1	510193490745371.6	465420897609997.4	473184175942338.9	464186413152559.94	464186826577016.5	463726272091416.4	463726685515875.7	454729336150553.25
2.44e-08	456880381905443.0	594449328678070.1	461052658233750.9	557992348515372.2	506941496525247.7	466312240034241.9	470484516362549.75	461052658233750.9	557992348515372.2	506941909949706.94	466312653458701.2	470484929787009.06	465124059078624.25	465124472503083.56	461058859595939.4	461058859595939.4	455698402312013.9
2.46e-08	458513407221911.0	590958788742413.8	456031208738436.2	555530407820995.6	500829847595936.9	467883665157993.56	465401466674518.75	456031208738436.2	555530407820995.6	500830261020396.1	467884078582452.9	465401880098978.06	466795119417133.6	466795532841592.94	456037823525084.0	456037823525084.0	457431476267698.9
2.4700000000000003e-08	459231111509609.06	589316254668085.5	453666422702662.06	554366618884971.6	497956963308758.8	468572016332591.8	463007327525644.9	453666836127121.4	554367032309430.9	497957376733215.4	468572429757048.4	463008154374560.75	467527706980662.75	467528120405119.3	453673450913766.44	453673864338225.75	458193830368784.3
2.49e-08	460432935462973.3	586275106762329.1	449207230029998.94	552223014770343.8	492542760887444.4	469716374328433.44	458490668895459.06	449207230029998.94	552223014770343.8	492543174311903.7	469716787752892.75	458491082319918.4	468785756608772.44	468786170033231.7	449213844816646.75	449213844816646.75	459508932529960.06
2.5e-08	460924496754812.1	584843832417431.2	447101247508254.9	551211365922487.9	489989453448694.75	470180236200308.6	456356986953751.4	447101660928015.9	551211779342248.9	489989866873154.06	470180649624767.94	456357813797971.7	469309564980225.0	469309978404684.3	447108275714660.94	447108689134421.9	460060853741134.5
2.52e-08	461692225364466.4	582132596966882.0	443115838880387.0	549286876592615.0	485163140143000.6	470893806252813.0	452317419768733.6	443116252304846.3	549287290017074.3	485163553567459.94	470894219677272.25	452318246617652.2	470147989120694.8	470148402545154.1	443122867091491.4	443123280515950.7	460953436443452.56
2.5400000000000002e-08	462175104752061.9	579592105681664.2	439401636481524.06	547469050683903.06	480674594352536.6	471325007625313.3	448551539354775.5	439402049905983.3	547469464108362.4	480674594352536.6	471325007625313.3	448551952779234.8	467915085388688.8	467915085388688.8	439408664692628.4	439409078117087.7	458772210726541.7
2.55e-08	462309881017648.5	578379946126216.8	437633008050553.56	546592591526090.25	478546700348558.2	471436218715526.6	446759345748431.7	437633421475012.9	546593004950549.56	478547113773017.5	471436632139985.94	446760172597350.3	466118344113295.44	466118757537754.7	437640449686117.25	437640863110576.56	456999448050980.94
2.57e-08	462385537637271.9	576040792388109.8	434264428231647.5	544890937801103.25	474491009619035.1	471462264437653.0	443341155032028.7	434264428231647.5	544890937801103.25	474491423043494.44	471462677862112.3	443341568456488.0	462680309041650.06	462680722466109.4	434271869862510.1	434271869862510.1	453611023872131.5
2.59e-08	461652536649288.9	574363530687411.9	431088090631146.94	543243029213505.2	471236534856853.7	470680479401088.94	440116033382947.0	431088504055606.25	543243442637964.5	471236948281313.0	470680892825548.25	440116860231865.6	459432449066116.44	459432862490575.75	431095532266710.56	431095945691169.9	450411947949880.0
2.61e-08	458103703907185.75	575356162028946.9	428077122682707.9	541634395921326.4	470779287766928.0	467084102883785.4	437057521659307.5	428077122682707.9	541634395921326.4	470779701191387.3	467084516308244.7	437057935083766.8	456349545318187.75	456349958742647.06	428084977742733.56	428084977742733.56	447377001401613.8
2.63e-08	454738431479253.06	576023015155166.6	425206305517826.3	540052635195494.2	470110367527811.06	463672113529565.4	434139987568138.6	425206718942285.6	540053048619953.5	470110367527811.06	463672113529565.4	434140400992597.94	453407619202727.0	453407619202727.0	425214160573151.0	425214573997610.3	444481792207739.3
2.65e-08	451532327341193.44	576402125083414.2	422453314225102.1	538486998009469.0	469255406423075.06	460419292465221.2	431340279349129.8	422453727649561.4	538487411433928.25	469255406423075.06	460419292465221.2	431340692773589.1	450583932383888.25	450583932383888.25	422461582709584.4	422461996134043.7	441705235744342.8
2.67e-08	448461826317639.0	576524085200164.5	419798304453999.3	536927975610088.8	468234662241818.25	457302074515382.1	428638552651742.5	419798717878458.6	536928389034548.06	468234662241818.25	457302074515382.1	428638966076201.8	447859053935589.7	447859053935589.7	419806572938481.6	419806986362940.94	439027074222328.8
2.69e-08	445504190086833.4	576421969443354.9	417221845269036.75	535381355935085.56	467055576624305.3	454297307933832.6	426014963116036.0	417222258693496.06	535381769359544.9	467055576624305.3	454297307933832.6	426015376540495.3	445214793195725.0	445214793195725.0	417230527173277.25	417230940597736.56	436430357252966.25
2.71e-08	442643295099570.25	576118102700872.0	414707813130404.7	533811997933624.94	465759078544988.5	451388455746907.06	423452973777741.44	414708226554863.94	533812411358084.25	465759078544988.5	451388455746907.06	423453387202200.75	442634199766166.6	442634199766166.6	414716495034647.94	414716908459107.2	433897721023073.1
2.7400000000000004e-08	438493343668556.75	575335077400329.4	411021723575964.6	531426540698390.94	463601831427910.25	447164914818563.94	419693294725971.8	411022137000423.94	531426954122850.25	463601831427910.25	447164914818563.94	419693708150431.1	438851368963485.75	438851368963485.75	411030818904667.2	411031232329126.5	430188893142181.1
2.76e-08	435799885450950.6	574621920772284.4	408601952134122.0	529807571799436.06	462037021090803.6	444420605434784.0	417222672117955.4	408602365558581.25	529807985223895.4	462037021090803.6	444420605434784.0	417223085542414.7	436368757055551.6	436368757055551.6	408611047467525.56	408611460891984.9	427757132405121.9
2.7900000000000002e-08	431836801734480.25	573300617248920.1	405001441376929.2	527322892769205.44	459520094980956.4	440377730858792.8	413542370501241.75	405002268225847.8	527323719618124.0	459520094980956.4	440377730858792.8	413543197350160.4	432676466143624.1	432676466143624.1	405010950130088.3	405011776979006.9	424145045772470.7
2.81e-08	429229749163037.25	572267883767748.2	402606888808294.3	525622892742055.6	457737410127774.5	437715279456824.7	411092419102081.8	402607302232750.9	525623306166512.2	457736996703315.2	437714866032365.44	411092419102079.06	430221967075411.9	430221553650952.56	402616810985915.5	402617224410372.06	421746358959245.5
2.84e-08	425349763687650.7	570512071485608.6	399003897504342.94	522998062932968.5	454914963587012.0	433746821217679.6	407400955034371.9	399004310928802.25	522998476357427.8	454914550162552.7	433746407793220.3	407400955034371.9	426529262739025.06	426528849314565.75	399014233106423.44	399014646530882.75	418142540811076.6
2.8700000000000002e-08	421481767516882.94	568528049080617.6	395368245696321.25	520274838182504.4	451923426574057.0	429783737496505.44	403670215675943.75	395368659120780.5	520275251606963.7	451923426574057.0	429783737496505.44	403670629100403.06	422803897889165.8	422803897889165.8	395378994722861.0	395379408147320.3	414512676936083.0
2.89e-08	418898693545275.25	567086852558098.5	392917054019082.3	518399959745430.1	449838942100688.7	427133688814213.3	401152049288020.3	392917467443541.6	518400373169889.44	449838942100688.7	427133688814213.3	401152462712479.6	420293173136808.75	420293173136808.75	392928629894537.94	392929043318997.25	412069753743326.4
2.92e-08	415005065076837.7	564756794153392.4	389190035476086.9	515494414949477.94	446579919674158.75	423132570070995.06	397317540470244.25	389190448900546.2	515494828373937.25	446579506249699.44	423132156646535.75	397317540470244.25	416474787863540.7	416474374439081.4	389202024776001.8	389202438200461.1	408359272169298.2
