7A1_2A1	8A1_2A1	2B1_7A1	2B1_8A1	9B1_2A1	9B1_2B1	2B2_7A1	2B2_8A1	9B2_2A1	9B2_2B2	9A2_2B1	9A2_2B2
2.52e-08	2150969684598208.2	2188170001346271.2	2145989164086750.8	2183189480834813.8	2209171533785466.0	2204191013274008.2	2145998259420151.5	2183198576168214.5	2209171533785466.0	2204200108607409.2	2193087267962479.8	2193096363295880.8
2.5400000000000002e-08	2153858692425193.2	2192100011138913.0	2149444562976279.0	2187685881689999.0	2214504291654123.5	2210090162205209.2	2149453658304981.8	2187694977018701.5	2214504291654123.5	2210099257533911.8	2198467569606340.5	2198476664935043.0
2.55e-08	2155362315989347.2	2194126202805840.0	2151151177785381.2	2189915064601874.0	2217101422047945.2	2212890283843979.0	2151152004634297.0	2189915891450789.8	2217101422047945.2	2212891110692895.0	2201039481122256.2	2201040307971172.0
2.57e-08	2158473332577000.5	2198286903258689.5	2154533400606740.5	2194346971288429.5	2222191913371540.0	2218251981401279.8	2154534227455656.2	2194347798137345.2	2222191913371540.0	2218252808250195.5	2205998090151479.5	2205998917000395.2
2.59e-08	2161704655588268.0	2202561295353212.0	2157884616617162.8	2198741256382106.8	2227175327849511.5	2223355288878406.2	2157885443466081.2	2198742083231025.2	2227175327849511.5	2223356115727325.0	2210754534784676.0	2210755361633594.5
2.61e-08	2165037267507426.5	2206924573631248.5	2161215161414024.8	2203102467537846.8	2232077297774829.0	2228255191681427.2	2161215988262943.2	2203103294386765.2	2232077297774829.0	2228256018530345.8	2215352637972211.5	2215353464821130.2
2.63e-08	2168453804525997.8	2211353999775752.0	2164535784033271.0	2207435979283025.2	2236912706413926.8	2232994685921200.0	2164536610882189.5	2207436806131943.8	2236912706413926.8	2232995512770118.5	2219825887071787.2	2219826713920705.8
2.65e-08	2171939796802006.8	2215829315992923.0	2167851858992867.0	2211741378183783.5	2241692716217795.5	2237604778408656.0	2167852685841785.8	2211742205032702.0	2241692716217795.5	2237605605257574.8	2224199087527445.0	2224199914376363.5
2.67e-08	2175482014757459.2	2220335225601267.5	2171169174221137.2	2216022385064945.5	2246421461431025.8	2242108620894704.0	2171170001070055.8	2216023211913864.0	2246421461431025.8	2242109447743622.5	2228489603166469.8	2228490430015388.5
2.69e-08	2179059373763740.8	2224850230533618.8	2174500545871621.5	2220291402641499.8	2251083231933577.0	2246524404041458.0	2174501372720537.5	2220292229490415.5	2251082818509117.8	2246524817465914.5	2232711903816736.8	2232712730665652.5
2.71e-08	2182678488607496.2	2229376811350822.5	2177829850395108.5	2224528173138434.5	2255712341932052.5	2250863703719664.5	2177830677244027.0	2224528999987353.2	2255712341932052.5	2250864530568583.2	2236875498240801.2	2236876325089720.0
2.7400000000000004e-08	2188148503288496.2	2236152419435137.8	2182840550868587.2	2230844467015228.8	2262560299240319.5	2257252346820410.5	2182841377717505.8	2230845293864147.5	2262559885815860.0	2257252760244870.0	2243028076163371.2	2243028903012290.0
2.76e-08	2191810200818644.2	2240647580016945.2	2186189699756713.0	2235027078955013.8	2267057113515266.0	2261436612453334.5	2186190526600930.5	2235027905799231.5	2267057113515266.0	2261437439297552.0	2247070950744060.8	2247071777588278.2
2.7900000000000002e-08	2197308328339368.8	2247340503275231.2	2191226032523157.8	2241258207459020.2	2273694637943024.0	2267612342126813.0	2191226445947617.0	2241258620883479.5	2273694224518564.5	2267612342126813.0	2253055678467810.5	2253056091892270.0
2.81e-08	2200967131898304.5	2251760007232714.2	2194587997555418.8	2245380872889828.5	2278042619525474.0	2271663485182588.0	2194588824404337.2	2245381699738747.0	2278042619525474.0	2271664312031506.5	2256992716466858.5	2256993543315777.0
2.84e-08	2206431772066034.5	2258314019985521.5	2199633012230805.0	2251515260150292.2	2284442425077213.5	2277643665241984.0	2199633839079723.8	2251516086999210.8	2284442425077213.5	2277644492090902.5	2262819516169409.5	2262820343018328.0
2.8700000000000002e-08	2211853829552073.0	2264765916981519.5	2204671825544005.5	2257583912973452.0	2290686369734757.0	2283504365726690.0	2204672652392924.2	2257584739822371.0	2290686369734757.0	2283505192575608.5	2268547094086366.0	2268547920935284.5
2.89e-08	2215436976496081.0	2269005581449669.5	2208021801276349.0	2261590406229937.5	2294757770579630.5	2287342595359898.5	2208022628125267.5	2261591233078856.0	2294757770579630.5	2287343422208817.0	2272307186557894.0	2272308013406812.5
2.92e-08	2220755677942529.8	2275264409368938.5	2213026713812098.5	2267535445238507.5	2300719759972224.5	2292990795841793.5	2213027540656318.8	2267536272082727.5	2300719346547765.5	2292991209261554.5	2277854098127196.5	2277854924971417.0
2.96e-08	2227756188758728.5	2283442765533976.0	2219657623448510.5	2275344200223758.0	2308413996480987.5	2300315431170769.5	2219658450297429.2	2275345027072677.0	2308413996480987.5	2300316258019688.0	2285073723728147.5	2285074550577066.5
2.99e-08	2232876860044341.8	2289394832748952.0	2224563314189260.8	2281081286893871.0	2313932381786109.0	2305618835931028.0	2224563727613720.0	2281081700318330.5	2313932381786109.0	2305619249355487.5	2290320075955343.0	2290320489379802.5
3.02e-08	2237897482695438.8	2295206335760614.5	2229409058435137.2	2286717911500313.0	2319242401323616.0	2310753977063314.5	2229409471859596.5	2286718324924772.5	2319242401323616.0	2310754390487774.0	2295418008919202.5	2295418422343662.0
3.06e-08	2244423796028282.8	2302729414679586.5	2235759253084678.8	2294064871735982.5	2325981214663966.5	2317316671720362.5	2235759666509138.0	2294065285160442.0	2325981214663966.5	2317317085144822.0	2301963753182826.5	2301964166607286.0
3.09e-08	2249185615174746.5	2308197362238290.0	2240430945769549.5	2299442692833093.0	2330763291590129.0	2322008622184932.5	2240431359194008.8	2299443106257552.5	2330762878165670.0	2322008622184932.5	2306668933220689.0	2306669346645148.5
3.13e-08	2255346874996856.0	2315252031611636.0	2246519442947946.2	2306424599562726.5	2336754634095826.0	2327927202046916.5	2246519856372405.5	2306425012987186.0	2336754634095826.0	2327927615471375.5	2312643325342358.5	2312643738766818.0
3.17e-08	2261283645525641.5	2322030120242707.5	2252423139543501.5	2313169614260567.0	2342283768427484.5	2333423262445344.0	2252423552967960.5	2313170027685026.5	2342283768427484.5	2333423675869803.5	2318239847804463.0	2318240261228922.0
3.2200000000000004e-08	2268376763340793.0	2330105533792612.0	2259546023900910.0	2321274794352729.0	2348483890120556.5	2339653150680673.5	2259546437325369.0	2321275207777188.5	2348483890120556.5	2339653564105133.0	2324663631956035.0	2324664045380494.5
3.26e-08	2273781043584489.0	2336242815024291.0	2265014384884075.5	2327476156323877.5	2352845101285699.0	2344078442585285.0	2265025960759531.0	2327487732199333.0	2352845101285699.0	2344090018460741.0	2329298943316699.0	2329310519192154.5
3.31e-08	2280191598167469.0	2343500889071742.5	2271555581488046.5	2334864872392320.0	2357512659725976.5	2348876643046553.5	2271555994912506.0	2334865285816779.0	2357512659725976.5	2348877056471013.0	2335350645746429.5	2335351059170889.0
3.3599999999999996e-08	2286212707210725.0	2350296341515999.0	2277734205128042.0	2341817839433315.5	2361289289166471.5	2352810787083788.5	2277734618552501.0	2341818252857775.0	2361289702590931.0	2352811613932707.0	2342306093334181.0	2342306506758640.5
3.42e-08	2292923407706652.5	2357828102339211.0	2284668981502233.0	2349573676134792.0	2364695077158503.0	2356440650954084.0	2284669394926692.5	2349574089559251.0	2364695490582962.5	2356441477803002.5	2350063997153252.5	2350064410577712.0
3.48e-08	2299071851384626.5	2364667377738537.0	2291058451451897.5	2356653977805808.0	2367086322331463.5	2359072922398734.5	2291059278300813.5	2356654804654723.5	2367086322331463.5	2359073749247650.5	2357143885399809.5	2357144712248725.0
3.54e-08	2304670027544565.5	2370804245541058.0	2296925766718547.5	2363059984715040.5	2369007917690121.5	2361263656864103.5	2296922459327574.0	2363056677324067.0	2369007917690121.5	2361260349473130.0	2363548652040362.0	2363545344649389.0
3.61e-08	2310513777640543.0	2377052324438491.0	2303091987638864.0	2369630534436812.5	2371824576297855.5	2364402786296177.0	2303092401063323.5	2369630947861271.5	2371824162873396.5	2364402786296177.0	2370113827244166.0	2370114240668625.5
3.6800000000000005e-08	2315639410019665.0	2382295369270015.0	2308558694924192.5	2375214654174542.5	2375731434339586.0	2368650719244113.5	2308558694924192.5	2375214654174542.5	2375731434339586.0	2368650719244113.5	2375690091921870.5	2375690091921870.5
3.76e-08	2320663753490895.5	2387044785692104.5	2313944784510483.5	2380325816711692.0	2380447776828442.0	2373728807848029.5	2313945197934942.5	2380326230136151.0	2380447363403983.0	2373728807848029.5	2380786784617050.0	2380787198041509.5
3.85e-08	2325325937413202.5	2390802397616876.5	2319009643536411.0	2384486103740084.5	2384963195185250.0	2378646901308458.5	2319010056960870.0	2384486517164544.0	2384963195185250.0	2378647314732917.5	2384923093045613.0	2384923506470072.5
3.95e-08	2329380387869350.5	2393062173919927.5	2323486200031655.5	2387167986082232.5	2388461590185633.0	2382567402347938.5	2323486200031655.5	2387167986082232.5	2388461590185633.0	2382567402347938.5	2387574382001283.5	2387574382001283.5
4.05e-08	2332388461851275.5	2393458234236897.5	2326881652421612.0	2387951424807234.5	2390191356755043.0	2384684547325379.5	2326881652421612.0	2387951424807234.5	2390191356755043.0	2384684547325379.5	2388323093104616.5	2388323093104616.5
4.17e-08	2334819395739416.0	2391859936546799.5	2329730558108960.0	2386771098916343.5	2389995807136262.0	2384906969505806.5	2329730558108960.0	2386771098916343.5	2389998701107477.0	2384909863477021.5	2387099771098173.0	2387099771098173.0
4.3099999999999996e-08	2336350305299071.5	2387900160216598.5	2331681920009878.0	2383231774927405.0	2387114654369300.0	2382446269080106.5	2331681920009878.0	2383231774927405.0	2387114654369300.0	2382446269080106.5	2383515383885485.0	2383515383885485.0
4.46e-08	2336826569895318.0	2382150670822108.5	2332531506596643.0	2377855607523433.5	2381790164980424.0	2377495101681748.5	2332531920021102.5	2377856020947893.0	2381790164980424.0	2377495515106208.0	2378100768035013.0	2378101181459472.5
4.64e-08	2336317231365841.0	2374411371089599.5	2332391769237547.5	2370485908961306.5	2373803637614039.0	2369878175485745.5	2332392182662007.0	2370486322385766.0	2373803637614039.0	2369878588910205.0	2370696341841818.0	2370696755266277.5
4.85e-08	2334960786791647.5	2365528540205461.5	2331321000739033.0	2361888754152846.5	2364081555745215.5	2360441769692601.0	2331321000739033.0	2361888754152846.5	2364081555745215.5	2360441769692601.0	2362073554740389.5	2362073554740389.5
5.11e-08	2332856457967741.0	2355766769621458.0	2329469274057571.0	2352379585711288.0	2353086127552685.5	2349698943642515.5	2329469274057571.0	2352379585711288.0	2353086127552685.5	2349698943642515.5	2352542474816594.0	2352542474816594.0
5.4299999999999997e-08	2330328782826658.0	2346187732498002.5	2327131774021999.5	2342990723693344.0	2342326351113880.0	2339129342309221.0	2327132187446458.5	2342991137117803.0	2342326351113880.0	2339129755733680.5	2343124259690251.0	2343124673114710.0
5.8499999999999994e-08	2327629123246866.5	2337251156476475.0	2324575572616735.5	2334197605846344.5	2332918058160454.5	2329864507530323.5	2324575572616735.5	2334197605846344.5	2332918058160454.5	2329864507530323.5	2334338170054356.0	2334338170054356.0
6.440000000000001e-08	2325211832356478.0	2329769006555458.0	2322231871218978.5	2326789045417958.5	2326265237041808.0	2323285275904308.5	2322231871218978.5	2326789045417958.5	2326265237041808.0	2323285275904308.5	2326916380047979.0	2326916380047979.0
7.37e-08	2323431628045348.0	2324435835262338.5	2320477712629975.0	2321481919846965.5	2322677129004288.0	2319723213588915.0	2320477712629975.0	2321481919846965.5	2322677542428744.5	2319723627013372.0	2321593957786097.5	2321593957786097.5
9.28e-08	2321388899414157.5	2323195149442712.5	2318432916876488.0	2320239166905043.0	2321573286577241.0	2318617304039571.5	2318432916876488.0	2320239166905043.0	2321573700001700.5	2318617717464031.0	2318793836142632.0	2318793836142632.0
