R	10A1_4A1	5B1_10A1	5B1_11A1	6B1_10A1	6B1_11A1	11B1_4A1	11B1_5B1	11B1_6B1	5B2_10A1	5B2_11A1	6B2_10A1	6B2_11A1	11B2_4A1	11B2_5B2	11B2_6B2	5A2_11B1	5A2_11B2	6A2_11B1	6A2_11B2	11A2_5B1	11A2_6B1	11A2_5B2	11A2_6B2	11A2_5A2
2.3799999999999998e-08	541169707192224.2	478943174092992.1	567492835056037.0	538265816096781.8	626815477059826.6	382742272728947.25	320515739629715.25	379838381633504.9	478943174092992.1	567492835056037.0	538265816096781.8	626815477059826.6	382742272728947.25	320515739629715.25	379838381633504.9	382225905994483.75	382225905994483.75	339239718526690.7	339239718526690.7	478949375455997.5	538272017459787.1	478949375455997.5	538272017459787.1	540659541820766.0
2.4e-08	534963797560529.25	481423718861357.8	572848331238380.9	532184760555988.06	623609372933011.1	378463746387375.75	324923667688204.3	375684709382834.56	481423718861357.8	572848331238380.9	532184760555988.06	623609372933011.1	378463746387375.75	324923667688204.3	375684709382834.56	377874203580765.6	377874203580765.6	334944655210831.3	334944655210831.3	481429920224360.44	532190961918990.7	481429920224360.44	532190961918990.7	534380456116921.7
2.41e-08	532123573775604.2	482828120657444.2	575669124103476.5	529374303302180.4	622215306748212.8	376876197722057.4	327580744603897.3	374126927248633.56	482828120657444.2	575669124103476.5	529374303302180.4	622215306748212.8	376876197722057.4	327580744603897.3	374126927248633.56	376246552773044.6	376246552773044.6	333255404226152.8	333255404226152.8	482834322020446.75	529380504665183.0	482834322020446.75	529380504665183.0	531500130189594.06
2.4300000000000003e-08	526929312993689.5	485482303571084.2	581087460765519.0	524170947192881.6	619776104387316.5	374721431153182.25	333274421730576.94	371963065352374.4	485482303571084.2	581087460765519.0	524170947192881.6	619776104387316.5	374721431153182.25	333274421730576.94	371963065352374.4	374004140291294.94	374004140291294.94	330735170711958.2	330735170711958.2	485488918368334.7	524177561990132.2	485488918368334.7	524177561990132.2	526218636929052.75
2.44e-08	524561632986788.0	486732911557130.94	583672601836457.9	521762751628169.44	618702441907496.4	374109563443524.1	336280842013867.06	371310682084905.56	486732911557130.94	583672601836457.9	521762751628169.44	618702441907496.4	374109563443524.1	336280842013867.06	371310682084905.56	373344728811162.06	373344728811162.06	329865739777020.25	329865739777020.25	486739112920136.25	521768952991174.8	486739112920136.25	521768952991174.8	523802999717431.3
2.46e-08	520250446168560.25	489080333794547.06	588579532861975.4	517294463620115.4	616793662687543.6	373681256056185.8	342511143682172.56	370725273507740.9	489080333794547.06	588579532861975.4	517294877054363.3	616794076121791.6	373681256056185.8	342511143682172.56	370725686941988.8	372813478801725.4	372813478801725.4	328786702802690.7	328786702802690.7	489086948572960.44	517301078398528.75	489086948572960.44	517301491832776.7	519389283692513.25
2.4700000000000003e-08	518294536593543.6	490177561423642.0	590877757610765.0	515220314751453.5	615920510938576.5	373809830942281.8	345692855772380.2	370735609100191.75	490177561423642.0	590877757610765.0	515220728185698.7	615920924372821.6	373809830942281.8	345692855772380.2	370736022534436.94	372885828005376.1	372885828005376.1	328526245575357.9	328526245575357.9	490184589636303.3	515227342964114.9	490184589636303.3	515227756398360.06	517377561869299.25
2.49e-08	514751491787464.7	492219876627629.3	595235661368648.5	511361413904086.94	614377198645106.1	374609393222536.94	352077778062701.56	371219315339159.2	492219876627629.3	595235661368648.5	511361413904086.94	614377198645106.1	374609393222536.94	352077778062701.56	371219315339159.2	373567564407391.44	373567564407391.44	328432811733725.9	328432811733725.9	492226491424879.9	511368028701337.44	492226491424879.9	511368028701337.44	513716277769569.7
2.5e-08	513152367245794.3	493163723937449.44	597273842343190.4	509563845802800.56	613673964208541.5	375230356259573.7	355241712951228.9	371641834816579.94	493163723937449.44	597273842343190.4	509563845802800.56	613673964208541.5	375230356259573.7	355241712951228.9	371641834816579.94	374126513833225.5	374126513833225.5	328552291311277.7	328552291311277.7	493170752131273.6	509570873996624.75	493170752131273.6	509570873996624.75	512055553013270.25
2.52e-08	510271214487647.8	494896384463154.44	601067422180727.8	506208495548478.75	612379533266052.0	376803848518403.9	361429018493910.5	372741129579234.75	494896384463154.44	601067422180727.8	506208908963886.75	612379946681460.0	376803848518403.9	361429018493910.5	372741542994642.8	375570604318626.6	375570604318626.6	329021941124922.5	329021941124922.5	494903412675815.8	506215523761140.06	494903412675815.8	506215937176548.1	509044998500531.94
2.5400000000000002e-08	507775372991221.2	496402488559761.0	604469902771276.2	503157012024841.94	611224426236357.2	378698571294196.8	367325686862736.6	374080210327817.56	496402488559761.0	604469902771276.2	503157012024841.94	611224426236357.2	378698571294196.8	367325686862736.6	374080210327817.56	377330964260726.25	377330964260726.25	329688380817711.2	329688380817711.2	496409516772422.4	503164040237503.25	496409516772422.4	503164040237503.25	506414794170412.0
2.55e-08	506656233874489.06	497042055704648.2	606001639169554.8	501756744495878.06	610716327960784.6	379730891347713.1	370116713177872.25	374831401969102.1	497042055704648.2	606001639169554.8	501756744495878.06	610716327960784.6	379730891347713.1	370116713177872.25	374831401969102.1	378295896189690.5	378295896189690.5	330066663885609.6	330066663885609.6	497049497332717.56	501764186123947.44	497049497332717.56	501764186123947.44	505228680344535.9
2.57e-08	504651126848528.4	497663432175935.6	608289941741307.0	499637118971467.0	610263628536838.5	381892272713841.44	374904578041248.75	376878264836780.1	499637118971467.0	610263628536838.5	497663845610180.8	608290355175552.2	381892272713841.44	376878264836780.1	374904991475493.9	380322501287880.4	380322501287880.4	330844728112470.0	330844728112470.0	497670873804005.0	499644560599536.4	499644560599536.4	497671287238250.2	503088797050636.7
2.59e-08	502914332055703.6	499890961382709.4	612045899966575.2	495903899064652.06	608058837648518.0	384122282469588.6	381098911796594.44	377111849478537.1	499890961382709.4	612045899966575.2	495903899064652.06	608058837648518.0	384122282469588.6	381098911796594.44	377111849478537.1	382423109289035.7	382423109289035.7	331612456728047.9	331612456728047.9	499898403029615.9	495911340711558.6	499898403029615.9	495911340711558.6	501222600522057.2
2.61e-08	501398305763219.9	500684735715367.25	614242008961759.6	493568466156675.75	607125739403068.1	386352705659581.0	385639135611728.4	378522866053036.9	500684735715367.25	614242008961759.6	493568466156675.75	607125739403068.1	386352705659581.0	385639135611728.4	378522866053036.9	384532399220998.7	384532399220998.7	332323546226932.56	332323546226932.56	500692590777684.5	493576321218993.06	500692590777684.5	493576321218993.06	499585854386954.9
2.63e-08	500056331031424.0	501376807709830.56	616223137404197.5	491274375637331.6	606120705331698.5	388528143432192.1	389848620110598.75	379746188038099.75	501376807709830.56	616223137404197.5	491274375637331.6	606120705331698.5	388528143432192.1	389848620110598.75	379746188038099.75	386597452743442.06	386597452743442.06	332945749547873.25	332945749547873.25	501384662772147.9	491282230699648.94	501384662772147.9	491282230699648.94	498133495404991.2
2.65e-08	498844584922710.3	501913845666864.56	617947529452174.4	489054288058627.25	605087971843937.0	390602705735099.1	393671966479253.4	380812408871016.06	501913845666864.56	617947529452174.4	489054701492872.44	605088385278182.2	390602705735099.1	393671966479253.4	380812822305261.25	388574446937597.3	388574446937597.3	333455088069675.44	333455088069675.44	501922114163427.06	489062556555189.7	501922114163427.06	489062969989434.9	496824594621771.0
2.67e-08	497722551822759.56	502286754240253.5	619416425389594.2	486899934923997.3	604029606073338.1	392539597786851.8	397103800204345.7	381716980888089.56	502286754240253.5	619416425389594.2	486899934923997.3	604029606073338.1	392539597786851.8	397103800204345.7	381716980888089.56	390426587059688.56	390426587059688.56	333835851705378.94	333835851705378.94	502295022717978.8	486908203401722.7	502295022717978.8	486908203401722.7	495617809573321.6
2.69e-08	496653023591216.7	502494706561498.7	620654217234225.0	484795606089970.2	602955116762696.5	394309053075169.94	400150736045451.94	382451635573923.44	502494706561498.7	620654217234225.0	484795606089970.2	602955116762696.5	394309053075169.94	400150736045451.94	382451635573923.44	392124519975174.7	392124519975174.7	334077704824861.25	334077704824861.25	502503388473472.0	484804288001943.44	502503388473472.0	484804288001943.44	494477172403194.75
2.71e-08	495606647131217.56	502539769801839.9	621643954596370.8	482726418319244.2	601830603113775.0	395890813811730.9	402823936482353.2	383010584999757.5	502539769801839.9	621643954596370.8	482726418319244.2	601830603113775.0	395890813811730.9	402823936482353.2	383010584999757.5	393645507346759.94	393645507346759.94	334173205800055.9	334173205800055.9	502548451694976.06	482735100212380.3	502548451694976.06	482735100212380.3	493370022559382.75
2.7400000000000004e-08	494022405845691.44	502307838859397.56	622712655978255.0	479658811255567.5	600063628374424.9	397880210713057.0	406165643726763.1	383516616122933.06	502307838859397.56	622712655978255.0	479658811255567.5	600063628374424.9	397880210713057.0	406165643726763.1	383516616122933.06	395563381894091.25	395563381894091.25	334037602682458.7	334037602682458.7	502316934186778.9	479667906582948.8	502316934186778.9	479667906582948.8	491714672354107.0
2.76e-08	492926831897068.56	501958495472957.8	623164115137134.4	477620216865617.6	598825836529794.1	398934442254213.25	407966105830102.5	383627827222762.3	501958495472957.8	623164115137134.4	477620216865617.6	598825836529794.1	398934442254213.25	407966105830102.5	383627827222762.3	396580405257223.56	396580405257223.56	333755647420573.7	333755647420573.7	501967590800339.1	477629312192998.94	501967590800339.1	477629312192998.94	490581890227460.25
2.7900000000000002e-08	491186316309046.25	501152318414292.0	623473769815416.6	474547235288591.56	596868686689716.2	400101538575668.06	410067540680913.8	383462457555213.3	501152318414292.0	623473769815416.6	474547235288591.56	596868686689716.2	400101538575668.06	410067540680913.8	383462457555213.3	397704092037649.1	397704092037649.1	333050759284694.4	333050759284694.4	501161827175921.25	474556744050220.8	501161827175921.25	474556744050220.8	488798378532656.6
2.81e-08	489944390216132.94	500431720153780.8	623447724098334.0	472475980403145.56	595491984347698.8	400604262319054.1	411091592256702.0	383135852506066.75	500431720153780.8	623447724098334.0	472475980403145.56	595491984347698.8	400604262319054.1	411091592256702.0	383135852506066.75	398184077462581.94	398184077462581.94	332396308883665.7	332396308883665.7	500441642330818.1	472485902580182.9	500441642330818.1	472485902580182.9	487534127536698.0
2.84e-08	487939283171335.06	499087264873011.5	623081430303358.5	469318246877620.9	593312412307967.9	400952778855837.9	412100760557514.3	382331742562123.7	499087264873011.5	623081430303358.5	469318246877620.9	593312412307967.9	400952778855837.9	412100760557514.3	382331742562123.7	398506961697691.06	398506961697691.06	331145700878779.06	331145700878779.06	499097600484296.75	469328582488906.1	499097600484296.75	469328582488906.1	485503801624473.44
2.8700000000000002e-08	485748135274089.3	497438116011903.94	622344708502804.6	466082789635098.8	590989382125999.5	400834126127939.3	412524106865753.94	381168780488948.75	497438116011903.94	622344708502804.6	466083203050509.6	590989795541410.2	400834126127939.3	412524106865753.94	381169193904359.56	398368878049963.06	398368878049963.06	329587918763417.9	329587918763417.9	497448865038600.0	466093538661794.8	497448865038600.0	466093952077205.6	483293636222809.06
2.89e-08	484178363866965.4	496176345583747.7	621659251305591.8	463875931632058.4	589358837353902.5	400507107644550.3	412505089361332.56	380204675409643.25	496176345583747.7	621659251305591.8	463875931632058.4	589358837353902.5	400507107644550.3	412505089361332.56	380204675409643.25	398032350786107.6	398032350786107.6	328386921643728.7	328386921643728.7	496187921460099.6	463887507508410.3	496187921460099.6	463887507508410.3	481715182884874.75
2.92e-08	481656890087706.75	494051345527150.06	620355725016883.9	460482546350053.94	586786925839787.6	399665789541420.5	412060244980863.8	378491445803767.7	494051345527150.06	620355725016883.9	460482546350053.94	586786925839787.6	399665789541420.5	412060244980863.8	378491445803767.7	397180283656279.06	397180283656279.06	326356182316093.4	326356182316093.4	494063334837747.25	460494535660651.1	494063334837747.25	460494535660651.1	479183373513162.56
2.96e-08	477983616677374.5	490806792957243.94	618137704552902.1	455792663010840.0	583123574606498.2	397940157209539.7	410763333489409.1	375749203543005.2	490806792957243.94	618137704552902.1	455793076445087.94	583123988040746.1	397939743794128.9	410762920073998.3	375749203561842.3	395445556015854.1	395445142600443.3	323255087907264.6	323254674491853.8	490819609098662.7	455805479152258.75	490819609098662.7	455805892586506.7	475501831625107.7
2.99e-08	475000348146785.6	488085221900217.5	616139212305357.6	452147089016907.9	580201079422048.0	396238503480018.8	409323377233450.7	373385244350141.06	488085221900217.5	616139212305357.6	452147089016907.9	580201079422048.0	396238503480018.8	409323377233450.7	373385244350141.06	393738941188394.6	393738941188394.6	320665812569203.25	320665812569203.25	488098864891292.25	452160732007982.6	488098864891292.25	452160732007982.6	472514428846236.2
3.02e-08	471828558214778.2	485132960184647.2	613873234636650.6	448390303941983.7	577130578393987.1	394228435374953.94	407532837344822.9	370790181102159.44	485132960184647.2	613873234636650.6	448390303941983.7	577130578393987.1	394228435374953.94	407532837344822.9	370790181102159.44	391725152269295.06	391725152269295.06	317880160786248.7	317880160786248.7	485147430025375.1	448404773782711.6	485147430025375.1	448404773782711.6	469339744949847.3
3.06e-08	467320581479729.56	480865596285177.0	610467446647478.1	443211339850455.7	572813190212756.8	391131888629815.8	404676903435263.25	367022647000541.94	480865596285177.0	610467446647478.1	443211339850455.7	572813190212756.8	391131888629815.8	404676903435263.25	367022647000541.94	388625298125533.06	388625298125533.06	313907981743170.0	313907981743170.0	480881306409811.56	443227049975090.25	480881306409811.56	443227049975090.25	464829701100081.4
3.09e-08	463743635913087.75	477436656562137.6	607646653801219.6	439204846593731.8	569414843832813.8	388545093840727.9	402238114489777.75	364006304521371.94	477436656562137.6	607646653801219.6	439204846593731.8	569414843832813.8	388545093840727.9	402238114489777.75	364006304521371.94	386037676486786.44	386037676486786.44	310770919421381.4	310770919421381.4	477453193517591.06	439221383549185.25	477453193517591.06	439221383549185.25	461252755514599.75
3.13e-08	458734589133962.25	472589258617692.0	603558302560378.6	433710439895166.8	564679483837853.4	384817248447262.4	398671917930992.1	359793099208466.9	472589258617692.0	603558302560378.6	433710439895166.8	564679483837853.4	384817248447262.4	398671917930992.1	359793099208466.9	382310244508734.44	382310244508734.44	306437407681268.5	306437407681268.5	472607449272457.4	433728630549932.2	472607449272457.4	433728630549932.2	456245775850199.7
3.17e-08	453479141571663.75	467457011446982.75	599125982446447.2	428054384343084.7	559723355342549.2	380874835935301.06	394852705810620.06	355450078706722.0	467457011446982.75	599125982446447.2	428054384343084.7	559723355342549.2	380874835935301.06	394852705810620.06	355450078706722.0	378361630633767.75	378361630633767.75	302018317142998.3	302018317142998.3	467477269235308.0	428074642131410.0	467477269235308.0	428074642131410.0	450986194058455.7
