3A1_2A1	2B1_3A1	3B1_2A1	3B1_2B1	2B2_3A1	3B2_2A1	3B2_2B2
3.61e-08	288309586388151.0	280887796380622.66	292130452207837.75	284708662200309.44	280888209814870.6	292130038773592.56	284708662200312.2
3.6800000000000005e-08	288130573729527.3	281049858630710.62	292030403568955.25	284949688470138.56	281049858630710.62	292029990134707.3	284949275035890.6
3.76e-08	287863088308370.3	281144119340838.47	291972524168358.1	285253555200826.3	281144532756246.53	291971697318699.44	285253141766575.6
3.85e-08	287502582460992.1	281186288597963.8	291834853936038.2	285518560073009.9	281186702013374.6	291834027086382.25	285518146638764.7
3.95e-08	287062699197299.06	281168511358606.47	291651707047971.75	285757519209279.1	281168511358606.47	291650880198315.8	285756692359623.2
4.05e-08	286599664162067.7	281092854737491.94	291447888956169.25	285941079531593.5	281092854737491.94	291447062106513.3	285940252681937.56
4.17e-08	286038647621508.1	280949809991825.34	291184951198702.94	286096113569020.1	280949809991825.34	291184124349046.94	286095286719364.2
4.3099999999999996e-08	285403628159148.75	280735242873329.56	290870748875567.06	286202363589747.9	280735242873329.56	290870335441319.1	286201950155500.0
4.46e-08	284771916095416.0	280476852798393.78	290541249843207.4	286246186546185.2	280477266213801.84	290540836408962.2	286246186527348.06
4.64e-08	284077776967395.5	280152314826295.7	290147256650677.1	286221794509577.3	280152728260543.62	290146843216429.2	286221794509577.3
4.85e-08	283421672867054.9	279781886820714.6	289773934643040.3	286134148596700.0	279781886820714.6	289773521227632.25	286133735181291.94
5.11e-08	282786653404698.25	279399469485699.16	289390690477206.06	286003506558207.0	279399469485699.16	289390277061798.0	286003093142798.94
5.4299999999999997e-08	282229771093584.2	279032762294152.75	289030184629825.1	285833175830393.7	279033175728397.94	289029771195579.94	285833175830393.7
5.8499999999999994e-08	281715884908091.3	278662334288571.62	288685802322489.56	285632251702969.9	278662334288571.62	288685388907081.5	285631838287561.9
6.440000000000001e-08	281366128087406.34	278386166955441.38	288441468672873.7	285461507540908.7	278386166955441.38	288441055238628.5	285461094106663.5
7.37e-08	281166857659294.53	278212942244412.22	288296770227895.1	285342854813012.8	278212942244412.22	288296356793649.94	285342441378767.6
9.28e-08	281106497747403.78	278150515198961.62	288255841254673.7	285299858706231.5	278150515198961.62	288255427820425.75	285299445271983.6
