R	10B1_4A1	10B1_5B1	10B1_6B1	10B2_4A1	10B2_5B2	10B2_6B2	5A2_10B1	5A2_10B2	6A2_10B1	6A2_10B2	10A2_5B1	10A2_6B1	10A2_5B2	10A2_6B2	10A2_6A2
2.5e-08	375230356261407.5	371641834804126.94	355241712943446.75	375230356261407.5	371641834804126.94	355241712943446.75	374126513834357.56	374126513834357.56	328552291307179.7	328552291307179.7	367584490381465.0	351184368520784.8	367584490381465.0	351184368520784.8	324494946884517.75
2.52e-08	376803848507455.75	372741129571523.94	361429018492383.7	376803848507455.75	372741542995983.25	361429018492383.7	375570604323393.5	375570604323393.5	329021941121482.4	329021941121482.4	369141859083008.0	357829748003867.75	369142272507467.25	357829748003867.75	325422670632966.44
2.5400000000000002e-08	378698571299772.3	374080210332532.3	367325686876834.3	378698571299772.3	374080210332532.3	367325686876834.3	377330964274582.75	377330964274582.75	332482301099824.1	332482301099824.1	370838138294727.8	364083614839029.9	370838138294727.8	364083614839029.9	329240229062019.7
2.55e-08	379730891356484.75	374831401977920.4	370116713186898.8	379730891356484.75	374831401977920.4	370116713186898.8	378295896196151.4	378295896196151.4	334833444133145.06	334833444133145.06	371736095505617.44	367021406714595.94	371736095505617.44	367021406714595.94	331738137660842.1
2.57e-08	381892272713457.7	376878264849005.6	374904578046092.3	381892272713457.7	376878264849005.6	374904991470551.6	380322501287540.5	380322501287540.5	339204990895666.56	339204990895666.56	374027292039360.94	372053605236447.6	374027292039360.94	372054018660906.94	336354018086021.9
2.59e-08	384122282478944.1	381098911806133.56	377111849485126.8	384122282478944.1	381098911806133.56	377111849485126.8	382423109300712.94	382423109300712.94	343119290572960.7	343119290572960.7	378437700672845.06	374450638351838.3	378437700672845.06	374450638351838.3	340458079439672.2
2.61e-08	386352705668895.4	385639135616391.06	378522866045630.3	386352705668895.4	385639135616391.06	378522866045630.3	384532399218128.7	384532399218128.7	346571795491276.75	346571795491276.75	383125930321979.25	376009660751218.5	383125930321979.25	376009660751218.5	344058590196865.0
2.63e-08	388528143443378.75	389848620117824.4	379746188047375.8	388528143443378.75	389848620117824.4	379746188047375.8	386597452751317.4	386597452751317.4	349573254681855.7	349573254681855.7	387451173582675.44	377348741512226.9	387451173582675.44	377348741512226.9	347175808146706.75
2.65e-08	390602705734424.8	393671966484601.4	380812408881539.3	390602705734424.8	393671966484601.4	380812822305998.6	388574446945201.25	388574446945201.25	352143512504629.75	352143512504629.75	391364646411048.25	378505088807986.2	391364646411048.25	378505502232445.5	349836192431076.6
2.67e-08	392539597788674.7	397103800198762.0	381716980883772.25	392539597788674.7	397103800198762.0	381716980883772.25	390426587055823.56	390426587055823.56	354307374408355.8	354307374408355.8	394866348797706.44	379479529482716.7	394866348797706.44	379479529482716.7	352069923007300.2
