R	8B1_4A1	8B1_5B1	8B1_6B1	8B2_4A1	8B2_5B2	8B2_6B2	5A2_8B1	5A2_8B2	6A2_8B1	6A2_8B2	8A2_5B1	8A2_6B1	8A2_5B2	8A2_6B2	8A2_5A2	8A2_6A2
3.08	1355.2646192388056	1427.6912471306132	1225.71971889025	1355.2646192388056	1427.6912471306132	1225.71971889025	1341.953482924233	1341.953482924233	1115.2010741890554	1115.2010741890554	1516.6640673795046	1314.6925391391414	1516.6640673795046	1314.6925391391414	1430.9263031731243	1204.1738944379467
3.12	1355.6794262941985	1429.0168738994544	1223.4305984799284	1355.6794262941985	1429.0168738994544	1223.4305984799284	1342.3704847276822	1342.3704847276822	1113.634025335312	1113.634025335312	1516.5367721178773	1310.9504966983513	1516.5367721178773	1310.9504966983513	1429.890382946105	1201.1539235537348
3.16	1355.5455467635038	1429.6050659253233	1221.0756357032224	1355.5455467635038	1429.6050659253233	1221.0756357032224	1342.2453841891402	1342.2453841891402	1111.9440706910827	1111.9440706910827	1515.799337349963	1307.269907127862	1515.799337349963	1307.269907127862	1428.43965561378	1198.1383421157225
3.2	1354.8805386310269	1429.482160134823	1218.5955723879888	1354.8827333790832	1429.4843548828794	1218.5955723880033	1341.5518443570909	1341.5540391051472	1110.1070680278935	1110.10926277595	1514.4737106060784	1303.5871228592441	1514.4737106060784	1303.5849281112023	1426.5433948283462	1195.0986184991489
3.24	1353.655870197239	1428.6964409349748	1215.9333451350685	1353.655870197239	1428.6964409349748	1215.9333451350685	1340.3425391346245	1340.3425391346245	1108.0527854833053	1108.0527854833053	1512.601591974235	1299.8384961743286	1512.601591974235	1299.8384961743286	1424.2476901738846	1191.9579365225654
3.28	1351.8605677218875	1427.2303504162555	1213.0187220320659	1351.8605677218875	1427.2303504162555	1213.0187220320659	1338.5604051475239	1338.5604051475239	1105.7351333983534	1105.7351333983534	1510.191760571368	1295.9801321871782	1510.191760571368	1295.9801321871782	1421.5218153026362	1188.6965435534657
3.33	1348.7330542335694	1424.3881539487193	1208.8860147643427	1348.7330542335694	1424.3881539487193	1208.883820016301	1335.457033887651	1335.457033887651	1102.3420556216297	1102.3420556216297	1496.0597891132347	1280.5576499288582	1496.0597891132347	1280.5554551808164	1407.1286690521665	1174.0136907861452
3.37	1345.4167925883667	1421.2145508014364	1205.0342349963466	1345.4167925883667	1421.2145508014364	1205.0320402483194	1332.1627196729678	1332.1627196729678	1099.0872468467423	1099.0872468467423	1480.5956066920335	1264.4152908869437	1480.5956066920335	1264.4130961389164	1391.5437755635649	1158.4683027373394
3.42	1339.9716270150966	1415.8549803269125	1199.2115730594378	1339.9716270150966	1415.8549803269125	1199.209378311396	1326.7438910512428	1326.7438910512428	1094.019577637111	1094.019577637111	1458.4659797598433	1241.8225724923686	1458.4659797598433	1241.8203777443268	1369.3548904841737	1136.630577070042
3.47	1332.472178897253	1408.3555322340108	1191.6155561275955	1332.472178897253	1408.3555322340108	1191.6155561275955	1319.2751694059698	1319.2751694059698	1087.1961113919388	1087.1961113919388	1433.1934761030425	1216.4534999966272	1433.1934761030425	1216.4534999966272	1344.1131132750015	1112.0340552609705
3.53	1318.8954782942747	1394.67567852301	1178.2363826736546	1318.8954782942747	1394.67567852301	1178.2363826736546	1305.7313899737055	1305.7313899737055	1074.7650683431857	1074.7650683431857	1398.847891255471	1182.4085954061156	1398.847891255471	1182.4085954061156	1309.9036027061666	1078.9372810756468
3.58	1301.1004752998851	1376.7204590713227	1160.83423925424	1301.1004752998851	1376.7204590713227	1160.8320445061981	1287.9671134269302	1287.9671134269302	1058.174981075179	1058.174981075179	1367.164533685791	1151.2783138687082	1367.164533685791	1151.2761191206664	1278.4111880413984	1048.6190556896472
3.64	1269.5597762281104	1344.9098061901168	1130.0002485027508	1269.5597762281104	1344.9098061901168	1129.998053754709	1256.4637250469095	1256.4637250469095	1028.3417946319678	1028.3417946319678	1326.0437669750827	1111.1342092877167	1326.0437669750827	1111.1320145396749	1237.5976858318754	1009.4757554169337
3.7	1229.2422867015994	1304.247741495623	1090.608941901024	1229.2422867015994	1304.247741495623	1090.608941901024	1216.1857409601798	1216.1857409601798	989.9842135591316	989.9842135591316	1282.3310049237916	1068.6922053291928	1282.3310049237916	1068.6922053291928	1194.2690043883485	968.0674769873003
3.77	1176.5222858259076	1251.029533213834	1039.218957290257	1176.5222858259076	1251.029533213834	1039.218957290257	1163.509634995411	1163.509634995411	939.8320658454613	939.8320658454613	1229.180833806342	1017.3702578827651	1229.180833806342	1017.3702578827651	1141.660935587919	917.9833664379694
3.83	1129.398888013573	1203.410122743444	993.4299652389163	1129.398888013573	1203.410122743444	993.4299652389163	1116.4301321189414	1116.4301321189414	895.1250837050757	895.1250837050757	1182.7487810780149	972.7686235734873	1182.7487810780149	972.7686235734873	1095.7687904535123	874.4637420396466
3.9	1074.2163817820401	1147.5604136314214	939.9966717988427	1074.2163817820401	1147.5604136314214	939.9944770508009	1061.2937155713298	1061.2937155713298	842.9757168709475	842.9757168709475	1128.6153635867086	921.0516217541299	1128.6153635867086	921.0494270060881	1042.348665526617	824.0306668262347
3.98	1012.6186321415298	1085.0913497172442	880.6331738925801	1012.6186321415298	1085.0913497172442	880.6331738925801	999.7530293299787	999.7530293299787	785.0980622157658	785.0980622157658	1068.0184182544763	863.5602424298122	1068.0184182544763	863.5602424298122	982.6800978672109	768.0251307529979
4.06	953.9991532223648	1025.4864297011372	824.4849792964815	953.9991532223648	1025.4864297011372	824.4849792964815	941.1928085580148	941.1928085580148	730.4335161227064	730.4335161227064	1009.9015362125356	808.9000858078798	1009.9015362125356	808.9000858078798	925.6079150694131	714.8486226341047
4.14	899.4706813830853	969.8518057224574	772.6450716866239	899.4706813830853	969.8518057224574	772.6450716866239	886.7279843620199	886.7279843620199	680.0509200394008	680.0509200394008	955.193095183582	757.9863611477485	955.193095183582	757.9863611477485	872.0692738231446	665.3922095005255
4.23	844.0665057740553	913.0605504742998	720.5066785926902	844.0665057740553	913.0605504742998	720.5044838446629	831.4006248845399	831.4006248845399	629.486160018394	629.486160018394	898.5642511657061	706.0103792840964	898.5642511657061	706.0081845360692	816.9043255759461	614.9898607098003
4.32	795.7864766922285	863.2332252461492	675.7470225492143	795.7864766922285	863.2332252461492	675.7448278011725	783.208385649501	783.208385649501	586.186010299396	586.186010299396	847.7383163523773	660.2521136554424	847.7383163523773	660.2499189074006	767.7134767557291	570.6911014056241
4.42	751.0509628522705	816.5838926114666	635.2012794010952	751.0509628522705	816.5838926114666	635.2012794010952	738.5848038598197	738.5848038598197	547.0646574821585	547.0646574821585	798.4421197010524	617.0595064906811	798.4421197010524	617.0595064906811	720.4430309494055	528.9228845717444
4.53	712.4761018730642	775.662847847736	601.57118184102	712.4761018730642	775.662847847736	601.57118184102	700.161380395657	700.161380395657	514.6614231039275	514.6614231039275	752.8879654905031	578.7962994837872	752.8879654905031	578.7962994837872	677.3864980384242	491.88654074669466
4.64	683.764430780604	744.3372339093185	578.140070343492	683.764430780604	744.3372339093185	578.1378755954502	671.6296784678852	671.6296784678852	491.9831095856498	491.9831095856498	715.7770003069163	549.5798367410898	715.7770003069163	549.577641993048	643.0694448654831	463.42287598324765
4.76	661.3165656319761	718.7223498575477	561.8418843403924	661.3165656319761	718.7223498575477	561.8418843403924	649.4276249251998	649.4276249251998	475.8253873324138	475.8253873324138	683.6239670307259	526.7435015135707	683.6239670307259	526.7435015135707	614.329242098378	440.72700450559205
4.89	644.4960299693485	698.1180715663213	552.0774580157013	644.4960299693485	698.1180715663213	552.0774580157013	632.9143537388154	632.9143537388154	465.2269574507809	465.2269574507809	656.7953882354486	510.7547746848286	656.7953882354486	510.7547746848286	591.5916704079427	423.9042741199082
5.03	632.1988664762612	681.3414308645297	547.7955080059473	632.1988664762612	681.3414308645297	547.7933132579055	621.010049820703	621.010049820703	458.76562435789674	458.76562435789674	634.9818047716399	501.43588191305753	634.9818047716399	501.4336871650157	574.6504237278132	412.40599826500693
5.19	622.831689247585	666.4017928009707	547.9645034803398	622.831689247585	666.4017928009707	547.9645034803398	612.163027503484	612.163027503484	472.5530205981486	472.5530205981486	616.57666229592	498.139372975289	616.57666229592	498.139372975289	562.3378969984333	422.7278900930978
5.35	616.5678833037528	654.190224381673	551.3509970129526	616.5678833037528	654.190224381673	551.3488022649108	606.4764398203697	606.4764398203697	494.42147273801675	494.42147273801675	603.1075042471493	500.2682768784289	603.1075042471493	500.2660821303871	555.393719685846	443.33875260349305
5.54	611.5089930862887	641.8030762687995	557.3755755949824	611.5089930862887	641.8030762687995	557.3755755949824	602.1505948747363	602.1505948747363	516.8451956831414	516.8451956831414	591.6443443359749	507.21684366215777	591.6443443359749	507.21684366215777	551.9918629419117	466.68646375031676
5.74	607.7647558974568	630.3135793811234	564.2100155803782	607.7647558974568	630.3135793811234	564.2078208323364	599.1503766729875	599.1503766729875	535.7112348732189	535.7112348732189	583.1001969739737	516.9966331732285	583.1001969739737	516.9944384251867	551.9369942658377	488.49785246606916
5.96	604.5823737580213	618.9952727158961	570.8579021319892	604.5823737580213	618.9952727158961	570.8579021319892	596.7164030416752	596.7164030416752	551.1907805307128	551.1907805307128	576.6169164006715	528.4795458167646	576.6169164006715	528.4795458167646	554.3380467264506	508.81242421548814
6.21	601.5711818410346	607.6572133183072	576.5554635054286	601.5711818410346	607.6572133183072	576.5554635054286	594.42289313527	594.42289313527	563.3123643302242	563.3123643302242	571.7577481052431	540.6559982923645	571.7577481052431	540.6559982923645	558.5234279222059	527.4128991171601
6.5	598.5907163716474	596.6681186097267	580.7123130015971	598.5885216236056	596.6659238616849	580.7101182535553	592.0898778140399	592.0876830659981	572.1418286880507	572.1396339400089	568.3866178089374	552.4308122008078	568.3866178089374	552.4308122008078	563.8083770132507	543.8603278872615
6.82	595.8867889308895	588.0427656450483	582.2727776361717	595.8867889308895	588.0427656450483	582.2727776361717	589.901715763699	589.901715763699	577.7428212724335	577.7428212724335	567.2497391969519	561.4797511880752	567.2497391969519	561.4797511880752	569.1086893156025	556.949794824337
7.19	593.4901259663748	586.2211262181663	577.3280142170406	593.4901259663748	586.2211262181663	577.3280142170406	587.9044966182701	587.9044966182701	581.142483268326	581.142483268326	572.3130189354561	563.4199069343304	572.3130189354561	563.4199069343304	573.9963893355598	567.2343759856158
7.62	590.7423035897373	582.5120049730322	575.2847054126614	590.7423035897373	582.5120049730322	575.2847054126614	588.1810346718412	588.1810346718412	576.6937325322069	576.6937325322069	577.0975658473908	569.8702662870201	577.0975658473908	569.8702662870201	582.7665955461998	571.2792934065656
8.14	588.5278045878513	579.6061608871532	573.537687344302	588.5278045878513	579.6061608871532	573.537687344302	588.0339866778377	588.0339866778377	572.9363268800807	572.9363268800807	580.6157441875985	574.5472706447472	580.6157441875985	574.5472706447472	589.0435699782829	573.945910180526
8.76	587.0770772804826	577.8042741676763	572.2010868602083	587.0770772804826	577.8042741676763	572.2010868602083	587.698190502022	587.698190502022	570.5045479718538	570.5045479718538	582.8434116527642	577.2402243452962	582.8434116527642	577.2402243452962	592.7373279871099	575.5436854569416
9.55	586.2386842025007	576.8100541035383	571.3692780263518	586.2386842025007	576.8100541035383	571.3692780263518	587.3887312528095	587.3887312528095	569.1591684955929	569.1591684955929	584.0680801115377	578.6273040343513	584.0680801115377	578.6273040343513	594.646757260809	576.4171945035923
10.56	585.8721615540999	576.3842732829798	570.9983658818674	585.869966831	576.38207855988	570.9961711587675	587.1999830709829	587.197788347883	568.6017029173381	568.5995081942383	584.5662874926638	579.1803800915513	584.5662874926638	579.1803800915513	595.3819972806668	576.7837171270221
11.96	585.7536452596833	576.2503937772271	570.8798495874653	585.7536452596833	576.2503937772271	570.8798495874653	587.1143879722367	587.1143879722367	568.4392917120131	568.4392917120131	584.7045565194567	579.3340123296948	584.7045565194567	579.3340123296948	595.5685507144663	576.8934544542426
14.03	585.7316977792798	576.2284463217802	570.8622916031309	585.7316977792798	576.2284463217802	570.8622916031309	587.0924404918187	587.0924404918187	568.4195389796369	568.4195389796369	584.7243092518329	579.3581545331836	584.7243092518329	579.3581545331836	595.5883034218714	576.9154019096895
17.58	585.7338925522636	576.2284463217657	570.8644863761147	585.7338925522636	576.2306410698075	570.8644863761147	587.0880510206916	587.0880510206916	568.4239284757205	568.4239284757205	584.7199197557347	579.3559598100837	584.7221145037765	579.3559598100837	595.5795244546607	576.9154019096895
25.83	585.7316977792652	576.2284463217657	570.8644863511581	585.733892527307	576.2306410698075	570.8666810991999	587.0858562476933	587.0880509957351	568.4239284757205	568.4261232237623	584.7221145037765	579.358154533169	584.7221145037765	579.358154533169	595.5795244297042	576.9175966577313
