R	10A1_1A1	11A1_1A1	1B1_10A1	1B1_11A1	11B1_1A1	11B1_1B1	1B2_10A1	1B2_11A1	11B2_1A1	11B2_1B2	1A2_11B1	1A2_11B2	2A2_11B1	2A2_11B2	11A2_1B1	11A2_1B2	11A2_1A2	11A2_2A2
2.25	12723.269123575592	13115.439560920859	13585.422533608944	13977.59297095421	12777.39156732669	13639.544977360041	13585.422533608944	13977.59297095421	12777.384983082564	13639.538393115916	13673.767656417112	13673.761072172987	12777.39156732669	12777.384983082564	13585.45106530853	13585.45106530853	13619.673744365602	12723.297655275179
2.26	12746.412723304296	13141.449499320603	13563.34558057983	13958.382356596136	12800.282771230282	13617.215628505815	13563.34558057983	13958.382356596136	12800.276186986172	13617.209044261705	13652.25255843738	13652.245974193269	12800.282771230282	12800.276186986172	13563.374112279416	13563.374112279416	13598.41104221098	12746.441255003883
2.28	12792.074420069068	13195.049593462129	13524.410781221319	13927.38595461438	12845.452844833082	13577.789205985333	13524.410781221319	13927.38595461438	12845.446260588957	13577.782621741208	13614.301005427784	13614.294421183658	12845.452844833082	12845.446260588957	13524.439312920891	13524.439312920891	13560.951112363342	12792.10295176864
2.3	12836.88894473869	13250.348421215065	13491.954872915056	13905.41434939143	12889.797693796194	13544.86362197256	13491.957067663097	13905.416544139473	12889.791109552069	13544.859232476476	13582.624232052316	13582.61764780819	12889.797693796194	12889.791109552069	13491.985599362684	13491.987794110726	13529.74620944244	12836.919671186319
2.31	12858.97028728883	13278.656259017313	13477.991896956271	13897.677868684754	12911.648587976684	13530.670197644125	13477.991896956271	13897.677868684754	12911.642003732559	13530.6636134	13568.955352106466	13568.94876786234	12911.648587976684	12911.642003732559	13478.0226234039	13478.0226234039	13516.307777866241	12859.001013736459
2.33	12902.46357471068	13335.43434577722	13454.26010522664	13887.230876293179	12954.689757651387	13506.486288167347	13454.262299974682	13887.23307104122	12954.694147147471	13506.492872411472	13545.601056715532	13545.605446211615	12954.689757651387	12954.694147147471	13454.290831674254	13454.293026422296	13493.405600222439	12902.494301158295
2.35	12945.046042419053	13392.475802127388	13435.718888472169	13883.148648180504	12996.848639337171	13487.521485390287	13435.72108322021	13883.150842928546	12996.850834085199	13487.525874886356	13527.149824580847	13527.152019328874	12996.848639337171	12996.850834085199	13435.75180966784	13435.754004415881	13475.3801488584	12945.078963614724
2.36	12965.988311634152	13420.924103679514	13428.344540917795	13883.280332963157	13017.584602386109	13479.940831669752	13428.346735665837	13883.282527711199	13017.588991882192	13479.947415913877	13519.696466146881	13519.700855642965	13017.584602386109	13017.588991882192	13428.377462088509	13428.37965683655	13468.133096565638	12966.021232804866
2.38	13007.161752198037	13477.364199515578	13416.808954346212	13887.011401663753	13058.362988626977	13468.010190775152	13416.811149094254	13887.013596411794	13058.367378123061	13468.016775019278	13507.759241008156	13507.76363050424	13058.362988626977	13058.367378123061	13416.841875541882	13416.844070289924	13456.590925774886	13007.194673393707
2.4	13047.378283389524	13532.840801735103	13409.24366386197	13894.706182207548	13098.202023454825	13460.06740392727	13409.245858610011	13894.70837695559	13098.204218202853	13460.07179342334	13499.449931536845	13499.452126284872	13098.202023454825	13098.204218202853	13409.27658505764	13409.278779805682	13448.659112667214	13047.411204585194
2.42	13086.604984037898	13586.993971958771	13405.332625971743	13905.721613892616	13137.06878569891	13455.796427632755	13405.334820694829	13905.723808615701	13137.070980446952	13455.800817103882	13494.450299466582	13494.452494214624	13137.06878569891	13137.070980446952	13405.367741890499	13405.369936613584	13444.021613724326	13086.640099956654
2.44	13124.857217279612	13639.6020407592	13404.6895652698	13919.434388749389	13174.976443797597	13454.808791787786	13404.691760017842	13919.43658349743	13174.97863854564	13454.81318128387	13492.387237929826	13492.389432677868	13174.976443797597	13174.97863854564	13404.724681213498	13404.72687596154	13442.303127355539	13124.89233322331
2.46	13162.106451489963	13690.438949287782	13406.945764484437	13935.278262282256	13211.898660799357	13456.737973793832	13406.945764484437	13935.278262282256	13211.9008555474	13456.740168541874	13492.911782312425	13492.913977060467	13211.898660799357	13211.9008555474	13406.98088042815	13406.98088042815	13443.154688946743	13162.141567433675
2.48	13198.346102399883	13739.309365168476	13411.743479884623	13952.706742653216	13247.826657736965	13461.224035221705	13411.745674632664	13952.708937401258	13247.828852485007	13461.228424717789	13495.696915355846	13495.699110103888	13247.826657736965	13247.828852485007	13411.780790576377	13411.782985324418	13446.253670710517	13198.383413091637
2.5	13233.569585765232	13786.373504833595	13418.762278555761	13971.566197624124	13282.74946084524	13467.94215363577	13418.764473303803	13971.568392372166	13282.751655593282	13467.946543131853	13500.450735845108	13500.45293059315	13282.74946084524	13282.751655593282	13418.797394499474	13418.799589247516	13451.305976708813	13233.604701708944
2.52	13267.768122618814	13831.51285196381	13427.686117029458	13991.430846374453	13316.66268067804	13476.580675088684	13427.6883117775	13991.433041122495	13316.66268067804	13476.582869836726	13506.90109522274	13506.90109522274	13316.66268067804	13316.66268067804	13427.725622444283	13427.727817192324	13458.046042578339	13267.807628033639
2.54	13300.939518187617	13874.749354089392	13438.231872983073	14012.041708884848	13349.555343470201	13486.847698265658	13438.234067731115	14012.04390363289	13349.557538218243	13486.852087761741	13514.804376655797	13514.806571403838	13349.555343470201	13349.557538218243	13438.271378397912	13438.273573145954	13466.228056788052	13300.979023602456
2.56	13333.059630293108	13916.120321852242	13450.112034697668	14033.172726256802	13381.41428078337	13498.46668518793	13450.11422944571	14033.174921004844	13381.416475531412	13498.471074684014	13523.923547530474	13523.925742278516	13381.41428078337	13381.416475531412	13450.149345389422	13450.151540137464	13475.606207731966	13333.096940984862
2.59	13379.338050758364	13974.838564333448	13469.972293976869	14065.472807551952	13427.30642589282	13517.940669111325	13469.97448872491	14065.475002299994	13427.30642589282	13517.942863859367	13539.486493538672	13539.486493538672	13427.30642589282	13427.30642589282	13470.013994164692	13470.016188912734	13491.559818592039	13379.379750946187
2.61	13408.901283442028	14011.844181710854	13484.23814494074	14087.181043209566	13456.615068003332	13531.951929502044	13484.240339688782	14087.183237957608	13456.615068003332	13531.954124250085	13550.839916147597	13550.839916147597	13456.615068003332	13456.615068003332	13484.279845103621	13484.282039851663	13503.167831749175	13408.94298360491
2.63	13437.435180067943	14047.214713070207	13499.098772124737	14108.878305127	13484.896568804135	13546.560160860929	13499.100966872778	14108.880499875042	13484.898763552177	13546.564550357012	13562.792504497658	13562.7946992457	13484.896568804135	13484.898763552177	13499.140472312574	13499.142667060616	13515.372815949304	13437.476880255781
2.66	13478.314524668807	14097.360276539752	13522.132634551206	14141.17838642215	13525.40500126053	13569.223111142928	13522.13702404729	14141.182775918234	13525.40500126053	13569.227500639012	13581.540027393334	13581.540027393334	13525.40500126053	13525.40500126053	13522.17652946213	13522.180918958213	13534.493445712535	13478.35841957973
2.68	13504.295931368964	14129.010712938718	13537.776786187009	14162.491567756762	13551.134012160532	13584.614866978576	13537.778980910094	14162.493762479848	13551.134012160532	13584.617061701661	13594.396851237674	13594.396851237674	13551.134012160532	13551.134012160532	13537.820681097932	13537.822875821017	13547.60266535703	13504.339826279887
2.71	13541.36739111277	14173.737447786523	13561.348361434415	14193.718418108168	13587.825780792642	13607.806751114287	13561.352750905542	14193.722807579295	13587.825780792642	13607.811140585414	13613.956430234844	13613.956430234844	13587.825780792642	13587.825780792642	13561.394451118322	13561.398840589449	13567.544130238879	13541.413480796677
2.73	13564.829229057927	14201.87409534138	13576.99470781826	14214.039574101713	13611.02644392052	13623.191922680853	13576.999097289387	14214.04396357284	13611.02644392052	13623.19631215198	13627.052481416045	13627.052481416045	13611.02644392052	13611.02644392052	13577.042992225266	13577.047381696393	13580.903550960458	13564.877513464933
2.76	13598.167425378037	14241.684598494583	13600.103191603266	14243.620364719813	13643.960806925446	13645.896573150676	13600.107581099335	14243.624754215882	13643.960806925446	13645.900962646745	13646.539633827677	13646.539633827677	13643.960806925446	13643.960806925446	13600.153670758315	13600.158060254384	13600.796731435315	13598.217904533085
2.79	13629.30429110967	14278.738500254025	13622.581783199523	14272.015992343877	13674.674086634477	13667.951578724329	13622.586172695606	14272.02038183996	13674.674086634477	13667.955968220413	13674.674086634477	13674.674086634477	13665.653679346797	13665.653679346797	13622.632262354557	13622.63665185064	13629.354770264705	13620.334362977024
2.82	13658.285916011591	14313.174069721383	13644.228565961894	14299.116719671685	13703.205788537307	13689.14843848761	13644.23295543302	14299.121109142812	13703.203593789265	13689.150633210695	13703.205788537307	13703.203593789265	13684.197090824353	13684.194896076311	13644.281239889926	13644.285629361053	13658.338589939623	13639.32989222667
2.85	13685.147415977583	14345.103238897005	13664.89210237538	14324.847925294802	13729.586639056579	13709.331325454375	13664.896491871463	14324.852314790885	13729.586639056579	13709.335714950459	13729.586639056579	13729.586639056579	13702.005262307008	13702.005262307008	13664.949165774538	13664.953555270622	13685.204479376742	13657.62310262717
2.88	13709.939270187664	14374.629160863973	13684.451681397506	14349.141572073815	13753.862727876229	13728.37513908607	13684.45607089359	14349.145961569899	13753.862727876229	13728.379528582154	13753.862727876229	13753.862727876229	13718.950898483192	13718.950898483192	13684.510939544707	13684.51532904079	13709.998528334865	13675.086698941828
2.91	13732.714152519955	14401.850599209298	13702.823902677585	14371.960349366927	13776.080144680163	13746.189894837793	13702.828292173654	14371.964738862996	13776.077949932122	13746.19208958582	13776.080144680163	13776.077949932122	13734.928651571725	13734.926456823683	13702.885355572827	13702.889745068896	13732.775605415198	13691.62411230676
2.94	13753.524736952371	14426.857538552737	13719.94292382426	14393.275725424624	13796.28936859846	13762.707555470348	13719.947313320343	14393.280114920708	13796.28936859846	13762.711944966431	13796.28936859846	13796.28936859846	13749.855121122091	13749.855121122091	13720.008766215586	13720.01315571167	13753.590579343698	13707.156331867329
2.97	13772.645366715617	14449.950659126407	13735.896534684347	14413.201827095138	13814.76035346552	13778.011521434251	13735.90092418043	14413.206216591221	13814.75815871748	13778.013716182293	13814.76035346552	13814.75815871748	13763.75225471449	13763.750059966449	13735.9667665468	13735.971156042884	13772.71559857807	13721.70749982704
3.01	13794.990078781164	14477.275250554798	13754.960101023462	14437.245272797096	13836.154740402795	13796.124762645093	13754.964490519546	14437.24966229318	13836.154740402795	13796.129152141177	13836.154740402795	13836.154740402795	13780.368678959	13780.368678959	13755.034722406956	13755.03911190304	13795.064700164658	13739.278638720862
3.04	13809.683905263737	14495.487255352637	13767.707187540596	14453.510537629496	13850.0738214257	13808.09710370256	13767.71157703668	14453.51492712558	13850.0738214257	13808.101493198643	13850.0738214257	13850.0738214257	13791.436784547142	13791.436784547142	13767.7883931682	13767.792782664284	13809.765110891341	13751.128074012784
3.08	13826.662462660548	14516.879447566811	13782.690720540035	14472.907705446298	13865.917694983538	13821.945952863025	13782.695110036104	14472.912094942367	13865.917694983538	13821.950342359094	13865.917694983538	13865.917694983538	13804.34189279849	13804.34189279849	13782.776315638781	13782.78070513485	13826.748057759294	13765.172255574245
3.12	13840.798823564866	14535.119984064222	13795.402691088515	14489.72385158787	13878.80524525055	13833.4091127742	13795.407080584599	14489.728241083954	13878.80524525055	13833.413502270283	13878.80524525055	13878.80524525055	13815.122486592882	13815.122486592882	13795.497065179414	13795.501454675497	13840.893197655765	13777.210438998096
3.16	13852.270762493165	14550.384444588344	13805.928694359653	14504.042376454832	13888.89668875889	13842.554620625378	13805.933083855736	14504.046765950916	13888.89668875889	13842.559010121462	13888.89668875889	13888.89668875889	13823.807097729717	13823.807097729717	13806.031847442719	13806.036236938802	13852.37391557623	13787.284324547058
3.2	13861.185821949723	14562.786955912554	13814.24897759613	14515.85011155896	13896.29078902067	13849.353944667077	13814.253367092198	14515.85450105503	13896.367605127249	13849.435150269725	13896.29078902067	13896.367605127249	13830.318910002577	13830.395726109156	13814.363104394462	13814.367493890531	13861.299948748056	13795.328069729963
3.24	13867.798592557636	14572.553576960316	13820.648857793756	14525.403842196436	13901.312368571336	13854.162633807457	13820.655442012925	14525.410426415605	13901.314563319378	13854.171412774667	13901.312368571336	13901.314563319378	13835.024446059891	13835.026640807933	13820.773958332298	13820.780542551467	13867.923693096178	13801.635770584733
3.28	13872.365859613128	14579.890613822936	13825.284161988617	14532.808916198424	13904.062385671059	13856.980688046548	13825.2885514847	14532.813305694508	13904.0645804191	13856.987272290673	13904.062385671059	13904.0645804191	13837.875421494653	13837.877616242695	13825.422430990438	13825.426820486522	13872.50412861495	13806.317164438544
3.33	13875.388025270324	14585.836181575301	13828.712355709053	14539.16051201403	13904.580345809518	13857.904676248247	13828.71674518018	14539.164901485157	13904.58254055756	13857.911260467416	13904.580345809518	13904.58254055756	13838.999131618373	13839.001326366415	13828.87037744325	13828.874766914378	13875.546047004522	13809.964832813377
3.37	13875.88403792838	14588.202118067245	13829.748275961028	14542.066356099895	13902.87502790404	13856.739265936689	13829.752665457112	14542.070745595978	13902.877222652081	13856.745850180814	13902.87502790404	13902.877222652081	13838.094896124094	13838.097090872136	13829.926050402646	13829.93043989873	13876.061812369997	13811.281680590051
3.42	13874.426726401827	14588.4215926967	13829.173252423396	14543.16811871827	13898.399940216375	13853.146466237944	13829.179836667521	14543.174702962395	13898.404329712459	13853.157439978153	13898.399940216375	13898.404329712459	13834.932266692078	13834.936656188162	13829.377363816558	13829.383948060684	13874.63083779499	13811.163164270693
3.47	13871.009506396658	14585.880076486224	13826.824873890815	14541.695443980381	13891.651095354682	13847.466462848839	13826.831458109984	14541.70202819955	13891.651095354682	13847.473047068008	13891.651095354682	13891.651095354682	13829.765833920406	13829.765833920406	13827.059711731607	13827.066295950775	13871.24434423745	13809.359082803174
3.53	13864.84007454371	14579.581154598665	13822.123727304628	14536.864807359583	13881.043886480868	13838.327539241785	13822.130311548754	14536.871391603709	13881.043886480868	13838.33412348591	13881.043886480868	13881.043886480868	13821.324839641471	13821.324839641471	13822.404654829326	13822.411239073452	13865.121002068408	13805.401955229012
3.58	13858.466531297629	14572.002695626186	13817.060447591095	14530.596611919653	13870.58811509714	13829.182031390606	13817.060447591095	14530.596611919653	13870.58811509714	13829.182031390606	13870.58811509714	13870.58811509714	13812.789471271637	13812.789471271637	13817.385270026702	13817.385270026702	13858.791353733235	13800.992709907732
3.64	13849.724856761648	14560.350787508229	13810.0087277243	14520.63465847088	13856.456143663963	13816.740014626615	13810.01750669151	14520.643437438091	13856.456143663963	13816.748793593826	13856.456143663963	13856.456143663963	13801.137563178636	13801.137563178636	13810.397197828148	13810.405976795359	13850.113326865496	13794.794746380168
3.7	13840.44107993359	14546.400980037695	13802.47855318377	14508.438453287876	13841.250941311999	13803.28841456218	13802.47855318377	14508.438453287876	13841.250941311999	13803.28841456218	13841.250941311999	13841.250941311999	13788.478266533231	13788.478266533231	13802.941644646155	13802.941644646155	13840.904171395974	13788.131496617207
3.77	13829.61000693425	14527.697352052943	13793.719320713353	14491.806665832046	13823.006015318504	13787.115329097607	13793.719320713353	14491.806665832046	13823.003820570462	13787.113134349565	13823.006015318504	13823.003820570462	13773.24014298561	13773.237948237569	13794.289954729946	13794.289954729946	13830.180640950843	13780.41476861795
3.83	13820.872721919295	14509.994528401425	13786.759780189415	14475.881586671545	13807.300410787444	13773.187469057564	13786.759780189415	14475.881586671545	13807.300410787444	13773.187469057564	13807.300410787444	13807.300410787444	13760.098002120489	13760.098002120489	13787.431372541047	13787.431372541047	13821.544314270926	13774.341905603971
3.9	13811.836951395322	14487.814422314186	13779.765123696823	14455.742594615687	13789.729271918579	13757.65744422008	13779.765123696823	14455.742594615687	13789.729271918579	13757.65744422008	13789.729271918579	13789.729271918579	13745.459044289033	13745.459044289033	13780.57498510019	13780.57498510019	13812.646812798688	13768.376585169142
3.98	13803.628600234078	14461.078022886722	13773.821750717456	14431.2711733701	13771.567746300745	13741.760896784122	13773.821750717456	14431.2711733701	13771.567746300745	13741.760896784122	13771.567746300745	13771.567746300745	13730.530379965683	13730.530379965683	13774.800607570272	13774.800607570272	13804.607457086895	13763.570090751833
4.06	13797.762043386247	14433.209134368328	13770.121408489445	14405.568499471527	13763.78298116212	13736.142346265318	13770.121408489445	14405.568499471527	13763.78298116212	13736.142346265318	13763.78298116212	13763.78298116212	13725.822649160342	13725.822649160342	13771.280234531921	13771.280234531921	13798.920869428723	13760.960537426945
4.14	13794.314096933449	14404.789364515804	13768.72335506021	14379.198622642565	13784.380675184264	13758.789933311025	13768.72335506021	14379.198622642565	13784.380675184264	13758.789933311025	13784.380675184264	13784.380675184264	13749.317408301155	13749.317408301155	13770.05995556926	13770.05995556926	13795.6506974425	13760.58743055939
4.23	13792.992859685633	14372.638525987626	13769.557358692022	14349.203024994014	13806.10427407817	13782.668773084559	13769.557358692022	14349.203024994014	13806.10427407817	13782.668773084559	13806.10427407817	13806.10427407817	13774.071951819482	13774.071951819482	13771.084902105984	13771.084902105984	13794.520403099596	13762.488080840907
4.32	13793.820279023435	14340.687409356557	13772.362244442877	14319.229374775998	13825.486078633738	13804.028044053179	13772.362244442877	14319.229374775998	13825.486078633738	13804.028044053179	13825.486078633738	13825.486078633738	13796.221331459092	13796.221331459092	13774.060978079273	13774.060978079273	13795.519012659832	13766.254265485186
4.42	13796.53298545636	14305.850201322057	13777.063391029063	14286.38060689476	13844.347728327746	13824.878133900449	13777.063391029063	14286.38060689476	13844.347728327746	13824.878133900449	13844.347728327746	13844.347728327746	13817.852750985185	13817.852750985185	13778.928925366868	13778.928925366868	13798.398519794166	13771.903542451604
4.53	13800.75567734387	14268.64266729953	13783.325002224869	14251.211992180528	13861.949593669182	13844.51891855018	13783.219654393746	14251.106644349406	13861.949593669182	13844.413570719058	13861.949593669182	13861.949593669182	13838.206828174385	13838.206828174385	13785.341974077703	13785.23662624658	13802.772649196704	13779.029883701907
4.64	13805.680688030625	14233.024129586207	13789.928993840615	14217.272435396197	13876.643420151755	13860.891725961745	13789.928993840615	14217.272435396197	13876.643420151755	13860.891725961745	13876.643420151755	13876.643420151755	13855.292928150346	13855.292928150346	13792.068871483949	13792.068871483949	13807.82056567396	13786.47007367255
4.76	13811.38263892509	14196.34772419039	13797.079477269464	14182.044562534764	13889.829455927786	13875.52629427216	13797.079477269464	14182.044562534764	13889.829455927786	13875.52629427216	13889.829455927786	13889.829455927786	13870.473988298821	13870.473988298821	13799.33128696309	13799.33128696309	13813.634448618715	13794.278980989751
4.89	13817.35015410796	14159.208227282274	13804.46040906795	14146.318482242263	13900.912924752236	13888.023179712225	13804.46040906795	14146.318482242263	13900.912924752236	13888.023179712225	13900.912924752236	13900.912924752236	13883.495418096529	13883.495418096529	13806.808787625472	13806.808787625472	13819.698532665483	13802.281026009776
5.03	13823.2584111436	14122.395747607705	13811.606503025658	14110.743839489762	13909.60412008327	13897.952211965327	13811.606503025658	14110.743839489762	13909.60412008327	13897.952211965327	13909.60412008327	13909.60412008327	13893.878762844804	13893.878762844804	13814.036087185857	13814.036087185857	13825.6879953038	13809.962638065335
5.19	13829.175447171452	14084.286172838954	13818.638470185047	14073.74919585255	13915.942547385668	13905.405570399264	13818.638470185047	14073.74919585255	13915.942547385668	13905.405570399264	13915.942547385668	13915.942547385668	13901.740344090009	13901.740344090009	13821.140480955728	13821.140480955728	13831.677457942133	13817.475254646473
5.35	13834.172884493659	14050.377342502237	13824.500637561752	14040.70509557033	13918.958128798753	13909.285881866846	13824.500637561752	14040.70509557033	13918.958128798753	13909.285881866846	13918.958128798753	13918.958128798753	13905.932309504962	13905.932309504962	13827.057516983565	13827.057516983565	13836.729763915471	13823.70394462168
5.54	13838.810383411605	14015.116548445134	13830.035787704895	14006.341952738425	13918.672811777971	13909.898216071262	13830.035787704895	14006.341952738425	13918.672811777971	13909.898216071262	13918.672811777971	13918.672811777971	13906.867271446856	13906.867271446856	13832.63656208753	13832.63656208753	13841.411157794239	13829.605617463123
5.74	13842.684110635033	13983.9182297933	13834.499901677307	13975.734020835574	13915.28192874929	13907.097719791564	13834.499901677307	13975.734020835574	13915.28192874929	13907.097719791564	13915.28192874929	13915.28192874929	13904.27747080443	13904.27747080443	13837.214802858274	13837.214802858274	13845.399011816	13834.394553871141
5.96	13845.9213614256	13955.761829506082	13838.195854459118	13948.0363225396	13908.82279037949	13901.097283413008	13838.195854459118	13948.0363225396	13908.82279037949	13901.097283413008	13908.82279037949	13908.82279037949	13898.439445631215	13898.439445631215	13840.950261054924	13840.950261054924	13848.675768021407	13838.292423273131
6.21	13848.533109523487	13930.469573141876	13841.158761969127	13923.095225587516	13899.765072400056	13892.390724845696	13841.158761969127	13923.095225587516	13899.767267148098	13892.392919593738	13899.765072400056	13899.767267148098	13889.857987602416	13889.860182350458	13843.943895012562	13843.943895012562	13851.318242566922	13841.411157769282
6.5	13850.545691880252	13908.454073008019	13843.430324370158	13901.338705497925	13889.087631663788	13881.972264153694	13843.430324370158	13901.338705497925	13889.087631663788	13881.972264153694	13889.087631663788	13889.087631663788	13879.531706278256	13879.531706278256	13846.239599642038	13846.239599642038	13853.354967152132	13843.7990417666
6.82	13851.939355788461	13891.172640656005	13844.98859425669	13884.221879124234	13878.827192705998	13871.876431174227	13844.98859425669	13884.221879124234	13878.827192705998	13871.876431174227	13878.827192705998	13878.827192705998	13869.492936697949	13869.492936697949	13847.808843243824	13847.808843243824	13854.759604775594	13845.425348767545
7.19	13852.887486193664	13877.745182770115	13846.031098752806	13870.888795329258	13869.729969286782	13862.873581845924	13846.031098752806	13870.888795329258	13869.729969286782	13862.873581845924	13869.729969286782	13869.729969286782	13860.525203313344	13860.525203313344	13848.85134773994	13848.85134773994	13855.707735180797	13846.502969207359
7.62	13853.49323617891	13868.00928819491	13846.68513314506	13861.201185161059	13863.589069158377	13856.780966124526	13846.68513314506	13861.201185161059	13863.589069158377	13856.780966124526	13863.589069158377	13863.589069158377	13854.447950828238	13854.447950828238	13847.679353209212	13847.679353209212	13854.487456243063	13845.346337912924
8.14	13853.872927290591	13861.35481742413	13847.082382216118	13854.564272349657	13859.056918046597	13852.266372972124	13847.082382216118	13854.564272349657	13859.056918046597	13852.266372972124	13859.056918046597	13859.056918046597	13849.939941895005	13849.939941895005	13846.772922991848	13846.772922991848	13853.56346806632	13844.446491914729
8.76	13851.941550536503	13859.513425264857	13845.153200235014	13852.725074963368	13856.216916327088	13849.4285660256	13845.153200235014	13852.725074963368	13856.216916327088	13849.4285660256	13856.216916327088	13856.216916327088	13847.102134948494	13847.102134948494	13846.263741845542	13846.263741845542	13853.05209214703	13843.937310768437
9.55	13851.36652699887	13858.0978139012	13844.57598194934	13851.30726885167	13854.649867473345	13847.859322423814	13844.57598194934	13851.30726885167	13854.649867473345	13847.859322423814	13854.649867473345	13854.649867473345	13845.532891346695	13845.532891346695	13846.026709256723	13846.026709256723	13852.817254306254	13843.700278179604
10.56	13851.162415605722	13857.500842908106	13844.36967580815	13850.708103110534	13853.99583305615	13847.203093258577	13844.36967580815	13850.708103110534	13853.998027804191	13847.205288006619	13853.99583305615	13853.998027804191	13844.876662181458	13844.8788569295	13845.954282621271	13845.954282621271	13852.747022418844	13843.627851544152
11.96	13851.120715417885	13857.320873718447	13844.327975620312	13850.528133920874	13853.807084874323	13847.01434507675	13844.330170368354	13850.530328668916	13853.807084874323	13847.016539824792	13853.807084874323	13853.807084874323	13844.687913999645	13844.687913999645	13845.949893125187	13845.95208787323	13852.74263292276	13843.623462048083
14.03	13851.122910165941	13857.285757774749	13844.330170368368	13850.493017977176	13853.77635845165	13846.983618654078	13844.330170368368	13850.493017977176	13853.77635845165	13846.983618654078	13853.77635845165	13853.77635845165	13844.654992828917	13844.654992828917	13845.952087898186	13845.952087898186	13852.744827695758	13843.623462073025
17.58	13851.125104913968	13857.281368303622	13844.332365116396	13850.48862850605	13853.774163703609	13846.981423906036	13844.332365116396	13850.48862850605	13853.774163703609	13846.981423906036	13853.774163703609	13853.774163703609	13844.654992828917	13844.654992828917	13845.954282646213	13845.954282646213	13852.747022443786	13843.627851569094
25.83	13851.12729966201	13857.279173530624	13844.334559864437	13850.486433733051	13853.77635845165	13846.983618654078	13844.334559864437	13850.486433733051	13853.77635845165	13846.983618654078	13853.77635845165	13853.77635845165	13844.654992828931	13844.654992828931	13845.954282646213	13845.954282646213	13852.747022443786	13843.625656821067
