R	12B1_1A1	12B1_1B1	12B2_1A1	12B2_1B2	1A2_12B1	1A2_12B2	2A2_12B1	2A2_12B2	12A2_1B1	12A2_1B2	12A2_1A2	12A2_2A2
2.71e-08	2767450798649891.5	2771217092483605.5	2767450798649891.5	2771217919332524.0	2772375920326123.0	2772375920326123.0	2767450798649891.5	2767450798649891.5	2760706610796271.5	2760707437645190.0	2761865438638789.5	2756940316962558.0
2.7400000000000004e-08	2774401698568591.0	2776016946647415.0	2774401698568591.0	2776017773496333.5	2776537447627891.5	2776537447627891.5	2774401698568591.0	2774401698568591.0	2765546567104416.0	2765547393953334.5	2766067068084892.5	2763931319025592.0
2.76e-08	2778757948640224.0	2779124655844094.5	2778757948640224.0	2779125069268554.0	2779246202536388.5	2779246202536388.5	2778757948640224.0	2778757948640224.0	2768678668320687.0	2768679081745146.0	2768800215012980.5	2768311961116816.0
2.7900000000000002e-08	2784882000293906.5	2783617335879146.0	2784882000293906.5	2783617749303605.5	2784882000293906.5	2784882000293906.5	2783184894237969.0	2783184894237969.0	2773205249133189.5	2773205662557648.5	2774469913547949.5	2772772807492012.0
2.81e-08	2788695837902828.5	2786484845653060.0	2788695837902828.5	2786485672497277.5	2788695837902828.5	2788695837902828.5	2785712982798815.5	2785712982798815.5	2776093843540419.0	2776094670384636.5	2778304835790187.5	2775321980686174.0
2.84e-08	2794020740716164.5	2790574023735574.5	2794020740716164.5	2790574850584493.0	2794020740716164.5	2794020740716164.5	2789337885580297.0	2789337885580297.0	2780212374736036.0	2780213201584954.5	2783659091716625.5	2778976236580758.5
2.8700000000000002e-08	2798880127955089.0	2794390341891250.0	2798880127955089.0	2794391168740168.5	2798880127955089.0	2798880127955089.0	2792741606454733.5	2792741606454733.5	2784056805731433.5	2784057632580352.0	2788546591795272.5	2782408070294916.5
2.89e-08	2801867530728155.0	2796774558853106.0	2801867530728155.0	2796775385702024.5	2801867530728155.0	2801867530728155.0	2794879422636333.0	2794879422636333.0	2786459213355390.0	2786460040204308.5	2791552185230439.0	2784564077138617.0
2.92e-08	2805979033712665.0	2800103449956834.5	2805979033712665.0	2800104276805753.0	2805979033712665.0	2805979033712665.0	2797877574435935.5	2797877574435935.5	2789815390449924.5	2789816217298843.0	2795690974205755.0	2787589514929025.5
2.96e-08	2810831392740485.5	2804090925702298.0	2810831392740485.5	2804091752551216.5	2810831392740485.5	2810831392740485.5	2801486353677611.0	2801486353677611.0	2793839660944051.5	2793840487792970.0	2800580127982239.0	2791235088919364.0
2.99e-08	2813955638896730.5	2806704593060386.0	2813955638896730.5	2806705419909304.5	2813955638896730.5	2813955638896730.5	2803869743790548.0	2803869743790548.0	2796481441146562.5	2796482267995481.0	2803732486982907.0	2793646591876724.5
3.02e-08	2816680103920572.5	2809009846016341.0	2816680103920572.5	2809010672865259.5	2816680103920572.5	2816680103920572.5	2805981927679179.0	2805981927679179.0	2798816047215619.5	2798816874064538.5	2806486305119851.5	2795788128878458.0
3.06e-08	2819715877317760.0	2811606976410163.0	2819715877317760.0	2811607803259081.5	2819715877317760.0	2819715877317760.0	2808373172856840.5	2808373172856840.5	2801456173715592.5	2801457000564511.0	2809565074623190.0	2798222370162270.0
3.09e-08	2821563883188490.5	2813205274100264.0	2821563883188490.5	2813206100949182.5	2821563883188490.5	2821563883188490.5	2809852817821162.0	2809852817821162.0	2803090025880982.0	2803090852729900.5	2811448634969208.5	2799737569601880.0
3.13e-08	2823485065122689.0	2814882122376502.5	2823485065122689.0	2814882949220720.0	2823485065122689.0	2823485065122689.0	2811412253640300.5	2811412253640300.5	2804818552177014.0	2804819379021231.5	2813421494923200.5	2801348683440812.0
3.17e-08	2824822492185860.0	2816052112665315.5	2824822492185860.0	2816052939514234.0	2824822492185860.0	2824822492185860.0	2812500799381160.5	2812500799381160.5	2806046835267567.0	2806047662116485.5	2814817214788111.5	2802495521983412.0
3.2200000000000004e-08	2825704739281399.5	2816836378243934.5	2825705152705858.5	2816837618517312.5	2825704739281399.5	2825705152705858.5	2813237521184576.0	2813237934609035.5	2806901382947844.0	2806902209796762.5	2815769743985309.0	2803302525888485.5
3.26e-08	2825843649791576.0	2816962886025036.0	2825844063216035.5	2816964126298414.0	2825843649791576.0	2825844063216035.5	2813357827603489.0	2813358241027948.5	2807103133919414.0	2807103960768332.5	2815983897685954.0	2803498075497867.0
3.31e-08	2825355809315173.0	2816525896724206.0	2825356222739632.0	2816527136997583.5	2825355809315173.0	2825356222739632.0	2812946057171171.0	2812946470595630.5	2806771981195527.0	2806772808044445.5	2815601893786494.0	2803192141642492.5
3.3599999999999996e-08	2824195327779521.5	2815476626278770.5	2824196154628440.0	2815478693401064.5	2824195327779521.5	2824196154628440.0	2811951358712040.5	2811952185560959.5	2805841776900328.0	2805843017173703.5	2814560478401079.0	2802316509333598.5
3.42e-08	2822007487280664.0	2813483508540376.0	2822008314129582.5	2813485162238213.0	2822007487280664.0	2822008314129582.5	2810052501675136.5	2810053328524055.0	2804010307998562.5	2804011134847481.0	2812534286738850.5	2800579301133323.0
3.48e-08	2819055225553726.0	2810776407329718.5	2819054812129267.0	2810777234173936.0	2819055225553726.0	2819054812129267.0	2807463226341337.5	2807462812916878.5	2801484699979776.5	2801485940248453.0	2809763518203784.0	2798171518991395.5
3.54e-08	2815448100014586.5	2807452063890338.5	2815448513434347.5	2807445862523454.5	2815448100014586.5	2815448513434347.5	2804267044385597.5	2804267457805358.5	2798362520941124.0	2798355906154479.0	2806358557065372.0	2795177501436383.0
3.61e-08	2810534554209109.5	2802892822569062.0	2810534554209109.5	2802892822569062.0	2810534554209109.5	2810534554209109.5	2799878133805193.0	2799878133805193.0	2794063323402557.0	2794063323402557.0	2801705055042604.5	2791048634638688.0
3.6800000000000005e-08	2804994257431153.0	2797732875988029.5	2804994257431153.0	2797732875988029.5	2804994257431153.0	2804994257431153.0	2794893065634082.5	2794893065634082.5	2789190706590339.0	2789190706590339.0	2796452088033462.5	2786350896236392.0
3.76e-08	2798099583196601.5	2791283046119026.5	2798099583196601.5	2791283046119026.5	2798099583196601.5	2798099583196601.5	2788644573316891.0	2788644573316891.0	2783070789176543.5	2783070789176543.5	2789887326254118.0	2780432316374408.0
3.85e-08	2789766192981585.0	2783451139378169.0	2789766192981585.0	2783451139378169.0	2789766192981585.0	2789766192981585.0	2781034261907538.5	2781034261907538.5	2775677112014589.0	2775677112014589.0	2781992165618005.5	2773260234543959.0
3.95e-08	2780094548854476.5	2774321907713774.0	2780094548854476.5	2774321907713774.0	2780094548854476.5	2780094548854476.5	2772139441723488.0	2772139441723488.0	2767083264601801.0	2767083264601801.0	2772855905742503.5	2764900798611515.0
4.05e-08	2770212885271315.5	2764956610866502.0	2770212885271315.5	2764956610866502.0	2770212885271315.5	2770212885271315.5	2762992019396989.5	2762992019396989.5	2758276917181511.5	2758276917181511.5	2763533191586325.0	2756312325711999.0
4.17e-08	2758367043638406.0	2753685842200376.5	2758375725547347.5	2753694524109318.0	2758367043638406.0	2758375725547347.5	2751958556182420.5	2751967238091362.0	2747713930625460.0	2747713930625460.0	2752395132063490.0	2745986644607504.0
4.3099999999999996e-08	2744932826497712.0	2740851090050761.0	2744932826497712.0	2740851090050761.0	2744932826497712.0	2744932826497712.0	2739364830299794.5	2739364830299794.5	2735735793273717.0	2735735793273717.0	2739817529720668.0	2734249533522750.5
