12B1_2A1	12B1_2B1	12B2_2A1	12B2_2B2	12A2_2B1	12A2_2B2
2.52e-08	2628159940367875.0	2623179419856417.5	2628160353792334.0	2623188928614277.5	2612282386609970.5	2612291481943371.5
2.5400000000000002e-08	2632836594141553.5	2628422464692639.5	2632836594141553.5	2628431560021342.0	2617579590003342.5	2617588685332045.0
2.55e-08	2635175747874959.5	2630964609670993.5	2635176161299421.5	2630965849944371.0	2620145713581529.0	2620146540430445.0
2.57e-08	2639844133164155.5	2635904201193895.5	2639844546583916.5	2635905441462572.5	2625134502572770.5	2625135329421686.5
2.59e-08	2644472002889256.0	2640651963918150.5	2644472416313715.0	2640653204191528.5	2629928155379090.0	2629928982228008.5
2.61e-08	2649037032143560.5	2645214926050159.0	2649037032143560.5	2645215752899077.5	2634533286773031.5	2634534113621950.0
2.63e-08	2653517309454240.5	2649599288961514.0	2653517722878700.0	2649600529234892.0	2638957751824026.0	2638958578672944.5
2.65e-08	2657899605243302.0	2653811667434162.5	2657899605243302.0	2653812494283081.0	2643206511620878.5	2643207338469797.5
2.67e-08	2662168622824552.0	2657855782288230.0	2662168622824552.0	2657856609137148.5	2647284527252397.0	2647285354101315.5
2.69e-08	2666295835924412.5	2661737008032293.0	2666295835924412.5	2661737834881209.0	2651197173231857.0	2651198000080772.5
2.71e-08	2670306049996327.5	2665457411783940.0	2670306049996327.5	2665458238632858.5	2654946930096606.0	2654947756945524.5
2.7400000000000004e-08	2676054299117439.5	2670746346697530.5	2676054299117439.5	2670747173546449.0	2660275967154531.5	2660276794003450.5
2.76e-08	2679698219409946.0	2674077718348015.0	2679698219409946.0	2674078545192232.5	2663631730824607.0	2663632557668824.5
2.7900000000000002e-08	2684872222413190.0	2678789926596979.0	2684872222413190.0	2678790340021438.0	2668377839851022.0	2668378253275481.5
2.81e-08	2688121736081862.5	2681742601738976.5	2688121736081862.5	2681743428587895.5	2671351599626335.5	2671352426475254.0
2.84e-08	2692691313005217.0	2685892553169987.5	2692691313005217.0	2685893380018906.0	2675530904170449.0	2675531731019367.5
2.8700000000000002e-08	2696892115607108.0	2689710111599041.0	2696892115607108.0	2689710938447959.5	2679376575439224.0	2679377402288142.5
2.89e-08	2699487592303093.0	2692072417083361.0	2699487592303093.0	2692073243932279.5	2681757071585644.5	2681757898434563.5
2.92e-08	2703073219789155.5	2695344255658724.5	2703073219789155.5	2695345082502944.5	2685056196151814.0	2685057022996034.5
2.96e-08	2707318672195034.5	2699220106884816.5	2707318672195034.5	2699220933733735.5	2688968842126570.0	2688969668975488.5
2.99e-08	2710060501032061.5	2701746955176980.5	2710060501032061.5	2701747368601440.0	2691523803263157.0	2691524216687616.0
3.02e-08	2712451746205022.0	2703963321944720.5	2712451746205022.0	2703963735369180.0	2693769523143999.0	2693769936568458.5
3.06e-08	2715109649947340.0	2706445107003736.0	2715109649947340.0	2706445520428195.5	2696294304309165.5	2696294717733625.0
3.09e-08	2716717456395298.5	2707962786990101.5	2716717456395298.5	2707963200414561.0	2697847538770819.5	2697847952195278.5
