7A1_1A1	8A1_1A1	1B1_7A1	1B1_8A1	9B1_1A1	9B1_1B1	1B2_7A1	1B2_8A1	9B2_1A1	9B2_1B2	1A2_9B1	1A2_9B2	2A2_9B1	2A2_9B2	9A2_1B1	9A2_1B2	9A2_1A2	9A2_2A2
2.29e-08	2162355385165278.8	2198922336144814.8	2292869249144801.5	2329436200124337.5	2163623770400172.8	2294137634379695.5	2292869249144801.5	2329436200124337.5	2163623770400172.8	2294137634379695.5	2301141866011324.0	2301141866011324.0	2163623770400172.8	2163623770400172.8	2329896754609937.5	2329896754609937.5	2336900986241566.5	2199382890630414.8
2.2999999999999998e-08	2166894368702158.2	2202047822579138.8	2290296924199731.0	2325450378076711.5	2167167228629003.2	2290569784126575.5	2290297337624190.0	2325450791501170.5	2167167228629003.2	2290570197551035.0	2297685640272877.0	2297685640272877.0	2167167228629003.2	2167167228629003.2	2325910519137852.0	2325910932562311.5	2333026375284153.5	2202507963640279.5
2.3100000000000002e-08	2171126591539445.8	2205192739948941.5	2287739482530488.5	2321805630939984.5	2170741280249012.2	2287354171240055.0	2287739482530488.5	2321805630939984.5	2170740866824550.2	2287353757815593.0	2294568422327736.5	2294568008903274.5	2170741280249012.2	2170740866824550.2	2322259984058697.5	2322259984058697.5	2329474235146379.0	2205647093067654.8
2.32e-08	2175099597438238.2	2208344685525150.0	2285231238320186.5	2318476326407098.0	2174359981668305.8	2284491622550254.0	2285231238320186.5	2318476326407098.0	2174359981668305.8	2284491622550254.0	2291791452435179.5	2291791452435179.5	2174359981668305.8	2174359981668305.8	2318930266101352.0	2318930266101352.0	2326230095986278.0	2208798625219404.0
2.33e-08	2178863824149660.8	2211507380127898.5	2282813120576181.0	2315456676554418.5	2178102710326651.8	2282052006753171.5	2282813120576181.0	2315456676554418.5	2178102710326651.8	2282052006753171.5	2289422945588674.0	2289422945588674.0	2178102710326651.8	2178102710326651.8	2315909789399754.0	2315909789399754.0	2323280728235256.0	2211960492973234.0
2.3500000000000002e-08	2185902369983197.2	2217857161357684.5	2278337804359009.5	2310292595733497.0	2191204947889839.2	2283640382265651.5	2278338217783469.0	2310293009157956.5	2191204947889839.2	2283640795690111.0	2291107648920237.0	2291107648920237.0	2191204947889839.2	2191204947889839.2	2310744881734612.0	2310745295159071.5	2318212148389197.5	2218309447358799.8
2.36e-08	2189228780544873.8	2221041767442667.5	2276329803354186.0	2308142790251979.5	2199842618267099.0	2286943641076411.5	2276330216778645.5	2308143203676439.0	2199842618267099.0	2286944054500870.5	2294434886330829.5	2294434886330829.5	2199842618267099.0	2199842618267099.0	2308591768857423.0	2308592182281882.5	2316083014111841.0	2221490746048110.8
2.37e-08	2192451421647197.0	2224229267489463.2	2274474355852593.0	2306252201694859.5	2208166086295094.8	2290189020500491.0	2274474355852593.0	2306252201694859.5	2208166086295094.8	2290189020500491.0	2297687707395171.0	2297687707395171.0	2208166086295094.8	2208166086295094.8	2306697872909329.5	2306697872909329.5	2314196559804009.5	2224674938703933.2
2.3799999999999998e-08	2195586830259142.2	2227425862874361.0	2272758645710093.0	2304597678325312.0	2216125741095138.5	2293297556546089.5	2272759059134552.5	2304598091749771.5	2216125741095138.5	2293297969970548.5	2300787561527129.5	2300787561527129.5	2216125741095138.5	2216125741095138.5	2305036734753137.0	2305037148177596.5	2312526739734177.0	2227864919302186.0
2.4e-08	2201638119264413.5	2233806650915081.2	2269809691378829.5	2301978223029497.5	2230860590555033.0	2299032162669449.0	2269809691378829.5	2301978223029497.5	2230860590555033.0	2299032162669449.0	2306452298977989.0	2306452298977989.0	2230860590555033.0	2230860590555033.0	2302416452608404.0	2302416452608404.0	2309836588916943.5	2234244880493987.8
2.41e-08	2204570950055870.0	2236992497273444.8	2268575620350544.5	2300997167568119.0	2237641159732860.2	2301645830027534.5	2268575620350544.5	2300997167568119.0	2237641159732860.2	2301645830027534.5	2309006019836499.5	2309006019836499.5	2237641159732860.2	2237641159732860.2	2301434983722566.5	2301434983722566.5	2308795173531531.5	2237430313427892.0
2.4300000000000003e-08	2210295220572451.0	2243359228891953.8	2266580848914318.0	2299644857233820.5	2250099282500981.0	2306384910842848.0	2266580848914318.0	2299644857233820.5	2250099282500981.0	2306384910842848.0	2313574769910938.0	2313574769910938.0	2250099282500981.0	2250099282500981.0	2300078539148376.0	2300078539148376.0	2307268398216466.0	2243792910806508.8
2.44e-08	2213091621400486.5	2246532259101481.0	2265809812913690.5	2299250450614685.0	2255814044269104.0	2308532235782307.5	2265809812913690.5	2299250450614685.0	2255814044269104.0	2308532235782307.5	2315612537453321.0	2315612537453321.0	2255814044269104.0	2255814044269104.0	2300701569314822.5	2300701569314822.5	2307781870985835.5	2247983377801618.5
2.46e-08	2218575279074537.5	2252853514062382.0	2264701009393131.5	2298979244380976.0	2266337755525032.0	2312463485843626.5	2264701422817591.0	2298979657805435.5	2266337755525032.0	2312463899268085.5	2319279196072279.5	2319279196072279.5	2266337755525032.0	2266337755525032.0	2303610834921509.0	2303611248345968.0	2310426545150162.0	2257485104602915.0
2.4700000000000003e-08	2221259641958742.8	2255989749523246.0	2264344224366879.5	2299074331931382.5	2271201690433009.5	2314286272841146.0	2264344224366879.5	2299074331931382.5	2271201690433009.5	2314286272841146.0	2320948189293193.5	2320948189293193.5	2271201690433009.5	2271201690433009.5	2304973067438127.0	2304973067438127.0	2311634983890174.5	2261888485029990.0
2.49e-08	2226563046714303.2	2262247750598297.0	2264037050238127.0	2299721754122121.0	2280263947386720.0	2317737950910543.5	2264037463662586.0	2299722167546580.0	2280263947386720.0	2317738364335003.0	2324053831362878.5	2324053831362878.5	2280263947386720.0	2280263947386720.0	2307610713396047.5	2307611126820507.0	2313926593848382.5	2270136709872224.0
2.5e-08	2229177127492149.5	2265358353761491.0	2264066816770987.5	2300248043040329.5	2284510226636816.5	2319399915915655.0	2264067230195447.0	2300248456464788.5	2284510226636816.5	2319400329340114.0	2325524794418258.5	2325524794418258.5	2284510226636816.5	2284510226636816.5	2308917547072741.0	2308917960497200.5	2315042425575344.5	2274027857793903.0
2.52e-08	2234335420380042.8	2271535737128106.0	2264463703941575.0	2301664020689638.0	2292537269567300.5	2322665553128832.5	2264464530790493.5	2301664847538556.5	2292537269567300.5	2322666379977751.0	2328378661199115.5	2328378661199115.5	2292537269567300.5	2292537269567300.5	2311561807817304.0	2311562634666222.5	2317274915887587.0	2281433524255772.0
2.5400000000000002e-08	2239409788163830.5	2277651106877550.5	2265275668935459.0	2303516987649179.0	2300055387392761.0	2325921268164389.0	2265276495779676.5	2303517814493396.5	2300055387392761.0	2325922095008606.5	2331189118444661.5	2331189118444661.5	2300055387392761.0	2300055387392761.0	2314298675565520.5	2314299502409738.0	2319566525845792.5	2288432794793892.0
