4B1_4A1	5B1_4B1	6B1_4B1	4B2_4A1	5B2_4B2	6B2_4B2	4A2_5B1	4A2_6B1	4A2_5B2	4A2_6B2	5A2_4B1	5A2_4B2	5A2_4A2	6A2_4B1	6A2_4B2	6A2_4A2
Intensities	1.1067460804e-06	1.47384584649e-05	1.355049721e-07	1.1067460804e-06	1.47384584649e-05	1.355123344e-07	1.7962164528999998e-06	1.47719716e-08	1.7962164528999998e-06	1.47719716e-08	1.0981363263999998e-06	1.0981363263999998e-06	1.0000000000000001e-16	6.594739263999999e-07	6.594739263999999e-07	2.5258263577599997e-05
2.4700000000000003e-08	143478017880583.0	171594993050484.62	146552239722673.1	143478017880583.0	171594993050484.62	146551826288427.9	172493777119966.34	147451023792154.78	172493777119966.34	147450610357909.6	144402020817488.7	144402020817488.7	145300804886970.38	188761603247506.97	188761603247506.97	189660387316988.66
2.49e-08	148182784494770.06	170714399654605.47	151572862378147.84	148182784494770.06	170714399654605.47	151572862378147.84	171514375350268.66	152372838073811.03	171514375350268.66	152372838073811.03	149224613309915.62	149224613309915.62	150024589005578.8	194359365983581.16	194359365983581.16	195159341679244.34
2.5e-08	150337964497895.8	170326607806240.66	153926485940889.6	150337964497895.8	170326607806240.66	153926485940889.6	171082760545466.56	154682638680115.5	171082760545466.56	154682638680115.5	151441806924244.03	151441806924244.03	152197959663469.94	197016029446191.84	197016029446191.84	197772182185417.75
2.52e-08	154272108513294.66	169646938537788.03	158334827452463.75	154272108513294.66	169646938537788.03	158334414037055.7	170324540691517.94	159012429606193.66	170324540691517.94	159012016190785.6	155505352713071.84	155505352713071.84	156182954866801.78	202054015906776.0	202054015906776.0	202731618060505.9
2.5400000000000002e-08	157730401370880.44	169103285802340.62	162348762337259.72	157730401370880.44	169103285802340.62	162348762337259.72	169713499831518.5	162958976366437.56	169713499831518.5	162958976366437.56	159098008404350.97	159098008404350.97	159708222433528.84	206740591847366.03	206740591847366.03	207350805876543.9
2.55e-08	159289837204387.94	168904015374228.78	164189326582998.94	159289837204387.94	168904015374228.78	164189326582998.94	169484049438046.84	164769360646816.97	169484049438046.84	164769360646816.97	160724832362410.53	160724832362410.53	161304866426228.56	208954064666491.44	208954064666491.44	209534098730309.47
2.57e-08	162103188422574.3	169090883095167.06	167117196299635.7	162103188422574.3	167117196299635.7	169090469660921.88	169615931741603.88	167642244946072.5	167642244946072.5	169615518307358.7	163672959848535.4	163672959848535.4	164198008494972.22	213150733023945.78	213150733023945.78	213675781670382.62
2.59e-08	164536189439305.16	167559560112299.38	171546622430356.7	164536189439305.16	167559560112299.38	171546622430356.7	168036651554016.28	172023713872073.6	168036651554016.28	172023713872073.6	166235362619858.1	166235362619858.1	166712454061575.0	217046015180845.9	217046015180845.9	217523106622562.84
2.61e-08	166630596096292.25	167344166144144.9	174460435702836.38	166630596096292.25	167344166144144.9	174460435702836.38	167779088328733.72	174895357887425.22	167779088328733.72	174895357887425.22	168450902534874.56	168450902534874.56	168885824719463.4	220659755528940.66	220659755528940.66	221094677713529.5
2.63e-08	168428991066071.75	167108514387665.16	177210946460164.1	168428991066071.75	167108514387665.16	177210946460164.1	167506228394230.1	177608660466729.06	167506228394230.1	177608660466729.06	170359681754821.8	170359681754821.8	170757395761386.78	224011384950390.66	224011384950390.66	224409098956955.6
2.65e-08	169973130171523.78	166903869427369.53	179763427035606.88	169973130171523.78	166903869427369.53	179763013601361.7	167268509504193.22	180128067112430.56	167268509504193.22	180127653678185.38	172001388969025.6	172001388969025.6	172366029045849.28	227120747836947.5	227120747836947.5	227485387913771.2
2.67e-08	171301048496836.9	166736846079343.0	182123665395599.16	171301048496836.9	166736846079343.0	182123665395599.16	167072959890116.1	182459779206372.22	167072959890116.1	182459779206372.22	173414059224000.2	173414059224000.2	173750173034773.25	230004794578309.8	230004794578309.8	230340908389082.88
2.69e-08	172449540729281.12	166607857758999.06	184306958230527.6	172449540729281.12	166607857758999.06	184306958230527.6	166917925852689.47	184617026324217.97	166917925852689.47	184617026324217.97	174634073829276.3	174634073829276.3	174944141922966.7	232680888979589.78	232680888979589.78	232990957073280.16
2.71e-08	173447546569149.5	166514423898527.2	186327775381122.9	173447546569149.5	166514423898527.2	186327775381122.9	166801340239513.6	186614691722109.3	166801340239513.6	186614691722109.3	175692853034120.5	175692853034120.5	175979769375106.9	235165154580824.53	235165154580824.53	235452070921810.94
2.7400000000000004e-08	174720066061673.34	166434633047967.2	189083660651797.25	174720066061673.34	166434633047967.2	189083660651797.25	166691369423591.03	189340397027421.1	166691369423591.03	189340397027421.1	177036894880639.12	177036894880639.12	177293631256262.97	238562674092271.7	238562674092271.7	238819410467895.53
2.76e-08	175451413348880.56	166419749772991.3	190758028380331.53	175451413348880.56	166419749772991.3	190758028380331.53	166658708909260.56	190996987516600.78	166658708909260.56	190996987516600.78	177805450345870.22	177805450345870.22	178044409482139.47	240630208182520.12	240630208182520.12	240869167318789.38
2.7900000000000002e-08	176413451294631.72	166447449189385.94	193052532315086.44	176413451294631.72	166447449189385.94	193052532315086.44	166663670007196.4	193268753132896.88	166663670007196.4	193268753132896.88	178810897832650.6	178810897832650.6	179027118650461.06	243464230585605.4	243464230585605.4	243680451403415.88
2.81e-08	176984390031065.7	166497060093417.78	194452799844053.03	176984390031065.7	166497060093417.78	194452799844053.03	166699637901319.12	194655377651954.38	166699637901319.12	194655377651954.38	179404574887537.88	179404574887537.88	179607152695439.22	245192343466454.12	245192343466454.12	245394921274355.47
2.84e-08	177761627389432.94	166613645687756.5	196382663683147.12	177761627389432.94	166613645687756.5	196382663683147.12	166798859709382.8	196567877704773.44	166798859709382.8	196567877704773.44	180207444547579.78	180207444547579.78	180392658569206.1	247568705366491.78	247568705366491.78	247753919388118.1
2.8700000000000002e-08	178466515544149.44	166776534806334.8	198131861183139.97	178466515544149.44	166776534806334.8	198131447767729.2	166946452118740.06	198301778495545.22	166946452118740.06	198301365080134.44	180931763622125.7	180931763622125.7	181101680934530.94	249712722908670.88	249712722908670.88	249882640221076.12
2.89e-08	178906812223253.28	166908830506471.0	199209244458160.3	178906812223253.28	166908830506471.0	199209244458160.3	167069652491492.2	199370066443181.5	167069652491492.2	199370066443181.5	181381569081695.9	181381569081695.9	181542391066717.1	251026998224074.84	251026998224074.84	251187820209096.03
2.92e-08	179534390057540.53	167139934618097.22	200708733795193.38	179534390057540.53	167139934618097.22	200708733795193.38	167289180726766.4	200857979903862.56	167289180726766.4	200857979903862.56	182019895942681.94	182019895942681.94	182169142051351.12	252843997282867.66	252843997282867.66	252993243391536.84
2.96e-08	180327337559379.53	167504161279510.1	202518291225914.06	180327337559379.53	167504161279510.1	202517877791666.12	167640177812515.38	202654307758919.3	167640177812515.38	202653894324671.38	182821938753065.12	182821938753065.12	182957955286070.38	255012406861654.6	255012406861654.6	255148423394659.88
2.99e-08	180899929976288.3	167815056222856.47	203753189106166.06	180899929976288.3	167815056222856.47	203753189106166.06	167942804278133.62	203880937161443.25	167942804278133.62	203880937161443.25	183399492267912.5	183399492267912.5	183527240323189.66	256472620887103.88	256472620887103.88	256600368942381.06
3.02e-08	181460533082599.94	168156131112731.0	204898787355394.44	181460533082599.94	168156131112731.0	204898787355394.44	168276850974186.72	205019507216850.16	168276850974186.72	205019507216850.16	183963816188258.8	183963816188258.8	184084536049714.53	257808807671305.22	257808807671305.22	257929527532760.94
3.06e-08	182194360918775.1	168649346113327.7	206303602548048.97	182194360918775.1	168649346113327.7	206303602548048.97	168762210893628.97	206416467328350.28	168762210893628.97	206416467328350.28	184700951423057.84	184700951423057.84	184813816203359.16	259418267805420.97	259418267805420.97	259531132585722.25
3.09e-08	182746282131950.6	169053261482900.72	207285071451306.53	182746282131950.6	169053261482900.72	207285071451306.53	169161165184100.56	207392975152506.38	169161165184100.56	207392975152506.38	185253699485892.06	185253699485892.06	185361603187091.88	260520456551297.1	260520456551297.1	260628360252496.94
3.13e-08	183484244216411.1	169629574732681.34	208508393455206.56	183484244216411.1	169629574732681.34	208508393455206.56	169732103920534.53	208610922643059.78	169732103920534.53	208610922643059.78	185991248154939.03	185991248154939.03	186093777342792.22	261864084982404.94	261864084982404.94	261966614170258.12
3.17e-08	184222206282031.72	170244336406712.72	209646963510610.75	184222206282031.72	170244336406712.72	209646963510610.75	170342731346283.3	209745358450181.34	170342731346283.3	209745358450181.34	186735411583565.03	186735411583565.03	186833806523135.6	263078725074334.44	263078725074334.44	263177120013905.03
3.2200000000000004e-08	185166880422670.72	171067050420831.97	210982323445158.84	185166880422670.72	171067050420831.97	210982323445158.84	171160897696711.9	211076170721038.78	171160897696711.9	211076170721038.78	187676364891334.9	187676364891334.9	187770212167214.84	264458734814975.8	264458734814975.8	264552582090855.72
3.26e-08	185935435887901.84	171763256663575.2	211990251480904.4	185935435887901.84	171763256663575.2	211990251480904.4	171855036824735.12	212082031642064.34	171855036824735.12	212082031642064.34	188441612976776.53	188441612976776.53	188533393137936.47	265464182301750.7	265464182301750.7	265555962462910.62
3.31e-08	186914837657599.53	172679404538163.56	213190835166348.4	186914837657599.53	172679404538163.56	213191248581759.2	172768704150352.8	213280134778537.66	172768704150352.8	213280548193948.44	189417293913599.66	189417293913599.66	189506593525788.94	266618462481789.47	266618462481789.47	266707762093978.72
3.3599999999999996e-08	187916564330339.72	173641029068503.9	214338913964544.7	187916564330339.72	173641029068503.9	214338913964544.7	173729088415626.4	214426973311667.2	173729088415626.4	214426973311667.2	190414472922651.94	190414472922651.94	190502532269774.44	267674347703420.53	267674347703420.53	267762407050543.03
3.42e-08	189149395077034.62	174852361780643.9	215664351740889.88	189149395077034.62	174852361780643.9	215664351740889.88	174939594278110.44	215751584238356.4	174939594278110.44	215751584238356.4	191641102325178.62	191641102325178.62	191728334822645.16	268833588981395.16	268833588981395.16	268920821478861.7
3.48e-08	190415713206555.84	176120747024885.12	216946793410453.75	190415713206555.84	176120747024885.12	216946793410453.75	176207566088106.47	217033612473675.1	176207566088106.47	217033612473675.1	192900805657446.56	192900805657446.56	192987624720667.9	269892368186239.3	269892368186239.3	269979187249460.66
3.54e-08	191713451547669.25	177441223684457.34	218197401396505.97	191713451547669.25	177441223684457.34	218197401396505.97	177528456163086.72	218284633875135.38	177528456163086.72	218284633875135.38	194191929220149.3	194191929220149.3	194279161698778.72	270862261194307.75	270862261194307.75	270949493672937.16
3.61e-08	193265445734273.0	179041588491191.75	219626608606931.25	193265445734273.0	179041588491191.75	219626608606931.25	179129647838314.25	219714667954053.75	179129647838314.25	219714667954053.75	195735654910190.56	195735654910190.56	195823714257313.06	271892100698853.38	271892100698853.38	271980160045975.88
3.6800000000000005e-08	194854648098903.34	180700246113931.3	221031423799588.53	194854648098903.34	180700246113931.3	221031423799588.53	180789545726120.56	221120723411777.78	180789545726120.56	221120723411777.78	197316588797092.84	197316588797092.84	197405888409282.1	272816930485417.78	272816930485417.78	272906230097607.03
3.76e-08	196707201617568.22	182655742254694.56	222609463722112.1	196707201617568.22	182655742254694.56	222609463722112.1	182746695566195.78	222700417033613.3	182746695566195.78	222700417033613.3	199159633572965.6	199159633572965.6	199250586884466.8	273739279723008.75	273739279723008.75	273830233034509.97
3.85e-08	198829721106360.75	184920479639497.7	224352046424854.38	198829721106360.75	184920479639497.7	224352046424854.38	185013500065721.66	224445066851078.34	185013500065721.66	224445066851078.34	201270163751158.22	201270163751158.22	201363184177382.16	274592173702493.28	274592173702493.28	274685194128717.25
3.95e-08	201216005202272.84	187498179101204.3	226241394706135.1	201216005202272.84	187498179101204.3	226241394706135.1	187592439792492.28	226335655397423.06	187592439792492.28	226335655397423.06	203643631705654.28	203643631705654.28	203737892396942.28	275274323519916.6	275274323519916.6	275368584211204.56
