R	12A1_5A1	12A1_6A1	7B1_12A1	7B2_12A1
2.54	3825.047746574841	3775.431116959022	3654.522543290397	3654.5247380384244
2.56	3819.8176661349426	3793.265625393222	3652.8018621985393	3652.804056946581
2.59	3817.385887226701	3814.4229797167063	3652.1719700097747	3652.1741647578165
2.61	3831.7526965256257	3812.1272751121724	3652.7316303111147	3652.7338250591565
2.63	3844.813631763129	3810.628263372855	3653.8575351828913	3653.8575351828913
2.66	3862.143348522135	3809.478216322532	3656.243224407197	3656.245419155239
2.68	3872.329166096417	3809.309220848125	3658.1877695996372	3658.189964347679
2.71	3885.6666393625346	3809.3750632145093	3661.0826399702783	3661.08483471832
2.73	3893.3899515809753	3809.561616673236	3662.94817433304	3662.9503690810816
2.76	3903.3628787948837	3809.8381547018507	3665.4611588439293	3665.463353591971
2.79	3911.529529793246	3809.9061918661755	3667.453988518231	3667.4561832413165
2.82	3918.0193945607607	3809.5835641286976	3668.777420514074	3668.779615262116
2.85	3922.9246525650524	3808.7320025624504	3669.3151333599526	3669.3173281079944
2.88	3926.3374830491957	3807.259327799635	3669.001284639613	3669.003479387655
2.91	3928.319338958332	3805.0843342125736	3667.776616205796	3667.778810953838
2.94	3928.9492311470967	3802.169711134542	3665.6235700742254	3665.6257648222672
2.97	3928.2973915028706	3798.49570583312	3662.542146294756	3662.544341042798
3.01	3925.540790159037	3792.4008953636803	3656.99382763842	3656.99382763842
3.04	3922.1433228862297	3786.9359770829906	3651.7791104348	3651.7813051828416
3.08	3915.967306789171	3778.5015670481807	3643.485164149868	3643.48735889791
3.12	3908.039883152611	3768.7963988956617	3633.727322094259	3633.727322094259
3.16	3898.5190737107914	3757.9104572701617	3622.6109320990945	3622.6109320990945
3.2	3887.527784229227	3745.9030002440268	3610.2237839862355	3610.221589238179
3.24	3875.256957687656	3732.914491641961	3596.7195099937526	3596.717315245711
3.28	3861.862420997437	3719.0458897741046	3582.216626441048	3582.214431693006
3.33	3843.6965058835194	3700.6297735831176	3562.861158837026	3562.858964088984
3.37	3828.221349722109	3685.1765648522123	3546.5541938168026	3546.551999068761
3.42	3807.862883036825	3665.090246724416	3525.295881158265	3525.293686410223
3.47	3786.619933589638	3644.3586731715623	3503.293549487702	3503.293549487702
3.53	3760.267614769953	3618.895226609864	3476.2081853961863	3476.2081853961863
3.58	3737.828528588536	3597.402076085593	3453.3038130043424	3453.3038130043424
3.64	3710.593921779917	3571.5238224685017	3425.7070730434207	3425.7070730434207
3.7	3683.286888310904	3545.794811593427	3398.266160068655	3398.268354816697
3.77	3651.669373107594	3516.2710843495443	3366.8308087780897	3366.8308087780897
3.83	3625.025153023016	3491.637251898632	3340.7023541088856	3340.7023541088856
3.9	3594.687174904626	3463.849568982885	3311.444191153394	3311.444191153394
3.98	3561.3050836985494	3433.652054639344	3280.111992995822	3280.111992995822
4.06	3529.36494080766	3405.166442420421	3251.3278952678957	3251.3278952678957
4.14	3499.3627588650997	3378.8667975038115	3225.8820066655608	3225.8820066655608
4.23	3468.0305606825714	3351.9614026268973	3201.763939580109	3201.763939580109
4.32	3439.013819861895	3327.6260556600464	3182.586246417719	3182.586246417719
4.42	3409.681035572823	3303.7428264153714	3167.5588184824155	3167.5588184824155
4.53	3380.8310954286135	3281.1171868001693	3158.2969890848617	3158.2969890848617
4.64	3355.361064647732	3262.0382572247618	3155.3231078845565	3155.3231078845565
4.76	3331.1376497062156	3244.879730638291	3156.9647780968517	3156.9647780968517
4.89	3308.5866314994637	3229.994961250806	3161.7295723263233	3161.7295723263233
5.03	3288.0064954367117	3217.5353865024954	3167.811214307527	3167.8134090555686
5.19	3268.378879275202	3206.978656783729	3173.967477697166	3173.969672445208
5.35	3252.0675247838517	3199.365081867538	3178.3459965708316	3178.3459965708316
5.54	3235.8681023178215	3192.9498384336184	3181.0806504342618	3181.0806504342618
5.74	3222.076316581486	3188.4791402170813	3181.8422274056793	3181.8422274056793
5.96	3209.5179782461637	3185.094841407583	3181.1267401181685	3181.1267401181685
6.21	3197.986781195621	3182.461145879177	3179.417032741563	3179.417032741563
6.5	3187.495893868181	3180.262010063685	3177.119133364031	3177.119133364031
6.82	3178.741050893863	3178.385501985671	3174.696133447971	3174.696133447971
7.19	3176.5616678107326	3171.3974297621608	3172.24460183231	3172.242407084268
7.62	3174.8409866939182	3165.647194460689	3167.8024353153596	3167.8024353153596
8.14	3173.2651588729495	3161.3981656216347	3164.2864517481357	3164.2864517481357
8.76	3169.505558472796	3161.1984437245555	3161.8985678007302	3161.8985678007302
9.55	3167.780487859898	3160.4346720051108	3160.4566194605723	3160.4566194605723
10.56	3166.9750159775576	3160.037422909081	3159.7828323608846	3159.7828323608846
11.96	3166.698477924001	3159.885985419023	3159.552383966293	3159.552383966293
14.03	3166.650193517009	3159.859648467478	3159.5128785514535	3159.5128785514535
17.58	3166.6479987939238	3159.857453719451	3159.512878551468	3159.510683803426
25.83	3166.6567777611344	3159.8662327116035	3159.519462795579	3159.5216575436207
