R	12B1_3A1	12B1_3B1	12B2_3A1	12B2_3B2	12A2_3B1	12A2_3B2
2.92	12861.156254600006	12802.841845400006	12861.156254600006	12802.844040099997	12748.225583699998	12748.227778399989
2.96	12875.764486	12825.048288499995	12875.764486	12825.048288499995	12770.627359199992	12770.627359199992
2.99	12885.212868799994	12839.379981799997	12885.212868799994	12839.382176500003	12785.1082953	12785.110490000006
3.02	12893.381714499992	12851.806635400004	12893.381714499992	12851.806635400004	12797.690775900002	12797.690775900002
3.06	12902.277021300004	12865.512825999991	12902.277021300004	12865.512825999991	12811.625220099988	12811.625220099988
3.09	12907.4456488	12873.736540400001	12907.4456488	12873.736540400001	12820.0376827	12820.0376827
3.13	12912.388217400003	12882.083160499998	12912.388217400003	12882.080965799993	12828.658646099997	12828.656451399991
3.17	12915.157987300001	12887.596363300006	12915.157987300001	12887.5941685	12834.481308100003	12834.479113299996
3.22	12915.564015299999	12890.669008100012	12915.56621009999	12890.669008099998	12837.9270598	12837.924864999994
3.26	12913.6480018	12890.377106800006	12913.650196599992	12890.592191999996	12838.034602300002	12838.2474927
3.31	12908.5891117	12887.003781799998	12908.591306400005	12887.001587000006	12835.223132300001	12835.218742800003
3.36	12900.705582900002	12880.1364206	12900.7099724	12880.1364206	12828.987858100008	12828.98346860001
3.42	12887.881680300008	12868.012642100002	12887.886069800006	12868.010447299996	12817.722225399993	12817.715641099989
3.48	12871.761268700007	12851.940514900009	12871.7590739	12851.9427096	12802.613591800007	12802.617981300005
3.54	12852.743791999994	12832.855000999989	12852.7459868	12832.855001100004	12784.60130889999	12784.599114199998
3.61	12827.431782900007	12807.147937600006	12827.431782900007	12807.150132399998	12760.2747409	12760.276935699992
3.68	12799.323667100005	12778.620625199997	12799.323667100005	12778.622820000004	12733.272777199993	12733.274972
3.76	12764.6664283	12742.850650099994	12764.6664283	12742.855039600006	12699.254209599996	12699.258599100009
3.85	12723.049648899992	12700.050902400006	12723.049648899992	12700.055291900004	12658.780893000003	12658.7852825
3.95	12674.905694100002	12650.5440102	12674.905694100002	12650.548399699997	12612.116197199997	12612.120586699995
4.05	12625.824582600006	12600.086792700007	12625.824582600006	12600.091182200005	12564.626276800002	12564.6306663
4.17	12567.036108200002	12539.7159063	12567.082197800002	12539.766385399998	12508.01279600001	12508.017185500008
4.31	12500.366299800007	12471.342974700005	12500.366299800007	12471.345169500011	12444.187378799994	12444.1895736
4.46	12432.636428999991	12402.008744399995	12432.636428999991	12402.010939199987	12379.817664600007	12379.819859399999
4.64	12358.054560300006	12325.833489800003	12358.054560300006	12325.83568460001	12309.559446	12309.561640800006
4.85	12281.719089199993	12247.9968123	12281.719089199993	12247.999006999991	12238.328954800003	12238.331149499994
5.11	12203.812179799992	12168.7533024	12203.812179799992	12168.755497099992	12166.431260800004	12166.433455499995
5.43	12132.1866343	12096.085252400007	12132.1866343	12096.0874472	12100.768841000012	12100.771035800004
5.85	12073.152348299991	12036.151120499999	12073.152348299991	12036.15331519999	12045.263707100006	12045.265901799998
6.44	12034.320701999997	11996.759813800003	12034.320701999997	11996.762008599995	12004.505073499997	12004.507268299989
7.37	12014.820381099998	11976.969786400005	12014.820381099998	11976.971981199997	11979.61006620001	11979.612261000002
9.28	12007.6984294	11969.744681600001	12007.6984294	11969.746876400008	11969.084062900001	11969.086257700008
