R	10B1_3A1	10B1_3B1	10B2_3A1	10B2_3B2	10A2_3B1	10A2_3B2
3.6800000000000005e-08	2214258304301338.8	2210358474461910.8	2214258304301338.8	2210358887896158.8	2160427588447143.5	2160428001881391.5
3.76e-08	2210713605795942.5	2206604169935954.5	2210713605795942.5	2206604996785613.2	2164772676063611.0	2164773502913269.8
3.85e-08	2206785249709301.0	2202452978234255.0	2206785249709301.0	2202453805083911.0	2169803634311536.8	2169804461161192.5
3.95e-08	2202854413054854.5	2198265405204182.0	2202853999639446.5	2198265818638429.8	2175279850355336.2	2175280677204992.2
4.05e-08	2199203051132162.2	2194354826338060.8	2199203051132162.2	2194355653187716.8	2180442277491410.8	2180443104341066.8
4.17e-08	2196793201868138.2	2191646898290943.2	2196800643496207.5	2191655166768668.8	2186061538280877.0	2186062365130533.0
4.3099999999999996e-08	2195181261185051.8	2189714140468633.5	2195181261185051.8	2189714553902881.2	2191712219300772.8	2191712632735020.5
4.46e-08	2194874500471148.2	2189105166723356.8	2194874500471148.2	2189105580157602.0	2196662146414234.2	2196662559848479.5
4.64e-08	2195618250503203.2	2189548770819921.5	2195618250503203.2	2189549184254169.5	2201176737927693.8	2201177151361941.5
4.85e-08	2197043323465348.5	2190691061689363.2	2197043323465348.5	2190691475104771.2	2204707380007770.0	2204707793423178.2
5.11e-08	2198724305991133.5	2192120268918625.5	2198724305991133.5	2192120682334033.8	2206924987056343.8	2206925400471751.8
5.4299999999999997e-08	2200169223326193.2	2193368809789952.2	2200169223326193.2	2193369223224197.5	2207193712742564.8	2207194126176810.0
5.8499999999999994e-08	2201096947077133.8	2194127029662735.2	2201096947077133.8	2194127443078143.5	2205112122245833.5	2205112535661241.5
6.440000000000001e-08	2201216426654685.5	2194141086069218.2	2201216426654685.5	2194141499503463.2	2200843931515547.2	2200844344949792.5
7.37e-08	2200552054057782.2	2193422141489181.8	2200552054057782.2	2193422554923427.0	2196097409059642.8	2196097822493888.0
9.28e-08	2199438702888642.0	2192289359381372.0	2199438702888642.0	2192289772815620.0	2194227491698191.5	2194227905132439.5
1e-06	2195318655800818.8	2195318655800818.8	2195318655800818.8	2195318655800818.8	2195318655800818.8	2195318655800818.8
