R	10A1_3A1	11A1_3A1	3B1_10A1	3B1_11A1	11B1_3A1	11B1_3B1	3B2_10A1	3B2_11A1	11B2_3A1	11B2_3B2	11A2_3B1	11A2_3B2
2.89e-08	2202474062853399.0	2327956968575243.0	2190234641451379.5	2315717547173223.5	2118802806630984.0	2106563385228964.5	2190234641451379.5	2315717547173223.5	2118802806630984.0	2106563385228964.5	2190246217327731.5	2190246217327731.5
2.92e-08	2204855385851372.5	2331159765341106.5	2193870706683685.2	2320175086173419.0	2122864285305086.2	2111879606137399.0	2193871120099093.2	2320175499588827.0	2122864285305086.2	2111880019552807.0	2193882695994282.2	2193883109409690.5
2.96e-08	2207781188434449.5	2335112100030107.5	2198227783610747.2	2325558695206405.5	2127737728966614.5	2118184324142912.2	2198227783610747.2	2325558695206405.5	2127737315551203.8	2118183910727501.5	2198240599752166.0	2198240599752166.0
2.99e-08	2209764383991610.0	2337818374396750.0	2201130847856533.8	2329184838261673.5	2131002539324843.2	2122369003189766.8	2201131261271944.5	2329185251677084.5	2131002539324843.2	2122369416605177.5	2201144490847608.2	2201144904263019.2
3.02e-08	2211566086341179.0	2340306360793182.5	2203734593035325.8	2332474867487329.0	2133965963501354.8	2126134470195501.5	2203734593035325.8	2332474867487329.0	2133965963501354.8	2126134470195501.5	2203749062876053.8	2203749062876053.8
3.06e-08	2213683231316622.2	2343285081678923.5	2206757963689477.2	2336359814051778.5	2137494538466708.5	2130569270839563.5	2206757963689477.2	2336359814051778.5	2137494538466708.5	2130569270839563.5	2206773673814112.0	2206773673814112.0
3.09e-08	2215053318899060.5	2345263316138142.5	2208703537672043.0	2338913534911125.0	2139854776826700.8	2133504995599683.2	2208703537672043.0	2338913534911125.0	2139854776826700.8	2133504995599683.2	2208720074627496.5	2208720074627496.5
3.13e-08	2216597458023349.8	2347566501966036.5	2210888897621694.2	2341857941564381.0	2142680117336649.8	2136971556934994.2	2210888484206283.5	2341857528148970.0	2142680117336649.8	2136971143519583.5	2210907088276459.8	2210906674861049.0
3.17e-08	2217822433726561.8	2349491404726026.5	2212630653493617.8	2344299624493082.0	2145218128090199.0	2140026347857255.0	2212630240059369.8	2344299211058834.5	2145218128090199.0	2140025934423007.2	2212650911281943.0	2212650497847695.0
3.2200000000000004e-08	2218898576736515.2	2351362975767949.5	2214209106831552.0	2346673505862986.5	2148043055165900.2	2143353585260937.0	2214208693397304.2	2346673092428738.5	2148043055165900.2	2143353171826689.0	2214231845168845.2	2214231431734597.2
3.26e-08	2219453805348317.5	2352475913540519.0	2215070269288762.0	2348092377480963.5	2150134981273916.8	2145751445214361.2	2215110371431164.5	2348132479623366.0	2150134981273916.8	2145791547356763.8	2215095074740778.0	2215135176883180.5
3.31e-08	2219776276186853.0	2353395782229145.0	2215710249849057.2	2349329755891349.0	2152658935602148.8	2148592909264353.0	2215709422999401.2	2349328929041693.0	2152658935602148.8	2148592082414697.0	2215738776115110.5	2215737949265454.5
3.3599999999999996e-08	2219713849122568.0	2353811273475067.0	2215839238169404.0	2349936662521903.0	2155184543610855.8	2151309932657691.5	2215838411319748.0	2349935835672247.0	2155184543610855.8	2151309105808035.5	2215871898683737.0	2215871071834081.2
3.42e-08	2219207404565144.5	2353701302659144.5	2215464675915540.2	2349958574009540.5	2158364602020588.5	2154621873370984.2	2215463435631636.2	2349957333725636.5	2158364602020588.5	2154620633087080.2	2215502710943220.0	2215501470659316.2
3.48e-08	2218311514460041.5	2352984838628076.0	2214577881137821.2	2349251205305856.0	2161801396824782.2	2158067763502562.0	2214578707987477.2	2349252032155512.0	2161800983409374.2	2158068176936810.0	2214623357812410.2	2214624184662066.2
3.54e-08	2217120026139653.0	2351725962164301.0	2213373576657177.0	2347979512681825.0	2165524281139143.5	2161777831656667.5	2213373163241769.0	2347979099266417.0	2165524281139143.5	2161777418241259.5	2213427735206065.0	2213427321790657.0
3.61e-08	2215483279985713.5	2349658014658642.0	2211662414166026.8	2345837148838955.5	2170180677114368.2	2166359811294681.5	2211662827600272.0	2345837562273200.5	2170180677114368.2	2166360224728926.8	2211729388875170.8	2211729802309416.0
3.6800000000000005e-08	2213724573742928.8	2347038972789466.0	2209824743903500.8	2343139142950038.0	2175063216122115.0	2171163386282687.2	2209825157337748.8	2343139556384286.0	2175063216122115.0	2171163799716935.0	2209907428737276.5	2209907842171524.5
3.76e-08	2211748406398426.5	2343491793735101.5	2207638970538438.8	2339382357875114.0	2180748624771066.5	2176639188911078.8	2207639797388097.5	2339383184724772.5	2180748624771066.5	2176640015760737.5	2207743566841014.8	2207744393690673.5
3.85e-08	2209796217656287.2	2338956117602495.5	2205463946181241.2	2334623846127449.5	2187071120015934.5	2182738848540888.5	2205464773030897.2	2334624672977105.5	2187071120015934.5	2182739675390544.5	2205597482165275.8	2205598309014931.8
3.95e-08	2208198746795094.5	2333433184619043.0	2203609738944421.8	2328844176768370.0	2193773552009178.5	2189184544158506.0	2203610565794077.8	2328845003618026.0	2193773552009178.5	2189185371008162.0	2203781723390386.8	2203782550240042.8
4.05e-08	2207308231241015.0	2327562561967302.0	2202460006446913.5	2322714337173200.5	2200428440269625.0	2195580215475523.2	2202460833296569.5	2322715164022856.5	2200428440269625.0	2195581042325179.2	2202674160131166.8	2202674986980822.8
4.17e-08	2207177589202522.0	2320290018068445.5	2202031285625327.2	2315143714491251.0	2206857598912954.5	2201711295335759.8	2202032112474983.2	2315144541340907.0	2206858012347202.5	2201712535619663.5	2202295463647857.8	2202296290497513.5
4.3099999999999996e-08	2208066864510371.8	2311780509174612.0	2202599743793953.5	2306313388458193.5	2213681164220736.5	2208214043504318.2	2202600157228201.2	2306313801892441.5	2213681164220736.5	2208214456938566.2	2202916426684894.2	2202916840119142.2
4.46e-08	2209759009478263.5	2302854682185197.0	2203989675730472.0	2297085348437405.5	2219771728504325.2	2214002394756533.8	2203990089164717.2	2297085761871650.5	2219771728504325.2	2214002808190779.0	2204351835258327.8	2204352248692573.0
4.64e-08	2212172579556325.0	2292673286111799.5	2206103099873043.2	2286603806428517.5	2225540235421297.8	2219470755738016.0	2206103513307291.2	2286604219862765.5	2225540235421297.8	2219471169172264.0	2206506188411794.8	2206506601846042.8
4.85e-08	2214945828632106.0	2281778319990546.5	2208593566856120.5	2275426058214561.0	2230443859029351.5	2224091597253366.0	2208593980271528.5	2275426471629969.0	2230443859029351.5	2224092010668774.0	2209030969589682.8	2209031383005090.8
5.11e-08	2217864603002524.2	2269945294507065.0	2211260565930016.5	2263341257434557.5	2234231650919294.2	2227627613846786.2	2211260979345424.5	2263341670849965.5	2234231650919294.2	2227628027262194.5	2211725254645725.5	2211725668061133.5
5.4299999999999997e-08	2220544418217839.0	2257948966470760.5	2213744004681598.0	2251148552934519.5	2236173504068988.2	2229373090532747.2	2213744418115843.2	2251148966368764.8	2236173504068988.2	2229373503966992.5	2214216961875032.2	2214217375309277.5
5.8499999999999994e-08	2222778975637274.0	2246260226016849.8	2215809058222875.8	2239290308602451.5	2235568251118909.0	2228598333704510.8	2215809471638283.8	2239290722017859.5	2235568251118909.0	2228598747119918.8	2216324598107683.2	2216325011523091.2
6.440000000000001e-08	2224361149789243.0	2236087511855425.5	2217285809203775.8	2229012171269958.2	2232089287076427.0	2225013946490959.8	2217286222638021.0	2229012584704203.5	2232089287076427.0	2225014359925205.0	2217814165248836.5	2217814578683081.5
7.37e-08	2225208255821133.0	2228950157639915.8	2218078343252532.5	2221820245071315.0	2227684252944642.5	2220554340376041.8	2218078756686777.5	2221820658505560.2	2227684252944642.5	2220554753810287.0	2218609593261971.8	2218610006696217.0
9.28e-08	2224976738312933.0	2226283572000267.8	2217827394805663.2	2219134228492997.8	2225641110890999.0	2218491767383729.2	2217827808239911.2	2219134641927245.8	2225641110890999.0	2218492180817977.2	2218085371465191.0	2218085784899439.0
1e-06	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0	2220789358220106.0
