R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
2.61	43208328377.89538	43051420426.70458	43397264844.15231	42367625607.25656	9413803163.719332	249208080.29788232	2699839123.2548685	24531849078.019012	23593635993.920277	14857880421.4606	28958898268.7606	26238544339.660778	60855404300.18918	22243644230.831062
2.63	42047619645.44553	41849893870.887794	42172008115.36238	41205280312.96113	8826806275.245373	-38359539.26888139	2548216310.242732	24155920772.180935	23152370289.102	14532685590.084541	28655484173.648518	26019832042.169346	60427515095.59942	22272308163.18343
2.65	40934246111.27612	40710123528.37963	41009277746.607635	40102067912.77001	8303611304.307532	-289279823.7641047	2438686878.320116	23837873870.65006	22763493874.313778	14241930794.790033	28379530656.495007	25823819845.883644	60035389622.190865	22335845343.67347
2.67	39865088678.189545	39626573960.41049	39903442030.50149	39052813982.34633	7838851282.759749	-505925099.3899361	2366225615.0031443	23571595331.737	22422920157.713512	13982872389.924126	28125767014.476444	25645323695.439274	59673179567.64347	22427324438.61551
2.69	38837389254.6498	38595225961.63395	38849446877.92729	38055737553.41239	7427448050.4908285	-690482037.5570449	2326717041.287982	23351525650.066517	22127298992.82379	13757098801.051598	27889572367.24301	25480502477.710587	59335806776.23445	22543640796.69688
2.71	37848461948.93447	37609412941.988014	37842599202.13735	37100826706.479225	7064612254.333437	-845199192.8851181	2314948223.8556995	23172586662.239098	21871200842.27066	13552841211.397448	27666759034.437286	25324460943.17503	59018313419.78643	22673458806.619198
2.74	36432131594.587425	36208899493.8565	36411785260.68346	35744476411.36231	6602331144.681811	-1025661283.1036938	2342283650.639872	22971530000.188942	21554236962.98386	13289739531.289734	27350180226.53977	25101069998.90007	58570544781.33433	22888907601.358902
2.76	35529557092.24953	35322339248.28309	35505802853.32947	34886050621.85754	6342646993.819404	-1114572075.7446334	2385719975.943337	22876537104.096767	21382469976.21158	13139560745.526491	27146067042.001236	24954891167.173073	58285397624.62633	23040674819.266445
2.79	34232719954.349262	34054916936.39611	34210510825.71017	33659518334.4704	6017115221.195299	-1205762367.6616056	2481848839.7162857	22783734316.249523	21175901944.40876	12946566567.354317	26843952568.803177	24734186112.644875	57869758580.98364	23272007909.12914
2.81	33403299848.696568	33247585625.916794	33385393919.900673	32878733051.204224	5837983698.331239	-1241171967.1603982	2563176427.980237	22750449499.159397	21067830979.696793	12836531724.874197	26641957289.40339	24583227553.076508	57596620914.780365	23424641541.279648
2.84	32207501265.370506	32086852829.273586	32199198114.12259	31756964907.86153	5618708231.08779	-1260635384.5697148	2706019557.7973266	22736538707.350735	20943283669.52568	12694583892.516695	26333392832.173546	24347100292.11854	57186782045.85709	23645577640.483337
2.87	31064871749.82858	30980150698.924953	31068452938.350925	30688529487.1935	5450936385.03101	-1244751090.3864517	2868819137.9046326	22758656384.863235	20856324376.5081	12575523882.203806	26013492764.741577	24095536385.426334	56770733860.05273	23851423658.991547
2.89	30330266441.685112	30269328512.47822	30342324069.56788	30002857436.336464	5363741235.771224	-1217108292.2786002	2986074113.3361163	22789919564.332935	20815487298.539787	12506427200.723598	25791858718.62918	23917531203.600605	56487102932.383316	23977631599.148663
2.92	29265787655.382538	29239665211.17081	29290855963.196888	29010401891.04354	5264705063.340497	-1153550484.6802986	3172007002.1004767	22857018675.89414	20774852384.663788	12414731499.75326	25444281471.598278	23633144567.633526	56048696398.62553	24147449149.431976
2.96	27905543303.241398	27924590016.1098	27947694447.471516	27746541512.421223	5182227066.336313	-1034449217.7994218	3433159246.377468	22975862080.178726	20749509714.25814	12308956538.54325	24948835880.076267	23218795522.1132	55434166733.47427	24333367597.575867
2.99	26932803537.79873	26982145932.859863	26986405813.033226	26839933361.26327	5150578812.40826	-924311231.7848264	3635193034.31936	23081059431.89326	20745018790.944542	12237549413.597893	24551150903.48406	22880488925.14148	54947144631.491394	24439503567.736782
3.02	25994388290.704906	26071614841.6808	26058257594.954994	25964564322.969864	5139652344.367823	-800063041.8115482	3839912712.00897	23195739225.715816	20747589158.354275	12169896758.049622	24130241161.404736	22518283686.985332	54435574076.59944	24515820382.166916
3.06	24792394832.21496	24902963962.985943	24867874114.30274	24841448422.3103	5151373029.028304	-617238936.3613049	4113801272.3102508	23357975636.291794	20754693770.940456	12081594520.816183	23532510339.92746	21999156056.798664	53713103407.502144	24569754783.135704
3.09	23924881298.194904	24057582547.75614	24007378551.77326	24029327756.4692	5174116450.34381	-470598015.3766759	4317798937.362054	23482908020.044727	20757668465.8737	12014519473.667597	23057329258.921547	21583752870.932007	53140089510.65423	24574592272.804543
3.13	22810265902.18491	22968810416.756073	22900098809.735176	22983298819.157913	5218616541.318138	-266278539.22566342	4585535944.363254	23649524643.820797	20751805717.10234	11920513332.52187	22389635340.623867	20998098926.674385	52334298494.721436	24533365309.24967
3.17	21741714960.71415	21922131667.93988	21836934086.405605	21976643677.307396	5275246460.211862	-55120564.77405679	4846226099.947982	23812266462.979084	20728268080.92034	11819214852.029797	21687332911.23506	20381788293.684437	51482322690.34471	24439431364.6306
3.22	20463549090.05795	20666189369.176678	20562291643.76172	20768787471.58182	5353127639.083918	211653069.2456904	5159291106.913659	24002613260.823135	20662059452.620007	11678566642.68211	20762169016.926014	19570389642.454903	50350422293.389565	24249975049.827686
3.26	19485365343.989338	19701555407.502033	19585046514.384018	19838401012.048832	5417868171.776173	424657334.67706645	5397974294.659453	24140710355.16944	20572991878.913113	11554163734.117598	19994740980.385166	18901848560.34741	49399362183.3718	24046439474.784626
3.31	18314981632.20134	18544264205.61254	18413868589.48499	18720868681.176647	5497073041.360423	686923542.8500369	5679761681.973946	24235534780.637115	20440560184.323498	11381746937.81465	19008952026.249073	18050002718.052605	48156151388.62767	23730630816.902
