 R = [25.83, 17.58, 14.03, 11.96, 10.56, 9.55, 8.76, 8.14, 7.62, 7.19, 6.82, 6.5, 6.21, 5.96, 5.74, 5.54, 5.35, 5.19, 5.03, 4.89, 4.76, 4.64, 4.53, 4.42, 4.32, 4.23, 4.14, 4.06, 3.98, 3.9, 3.83, 3.77, 3.7, 3.64, 3.58, 3.53, 3.47, 3.42, 3.37, 3.33, 3.28, 3.24, 3.2, 3.16, 3.12, 3.08, 3.04, 3.01, 2.97, 2.94, 2.91, 2.88, 2.85, 2.82, 2.79, 2.76, 2.73, 2.71, 2.68, 2.66, 2.63, 2.61, 2.59, 2.56, 2.54, 2.52, 2.5, 2.48, 2.46, 2.44, 2.42, 2.4, 2.38, 2.36, 2.35, 2.33, 2.31, 2.3, 2.28, 2.26]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
   5   1   -529.50645781      0.05408518    11870.32      0.05609566    12311.57      1.5264
   6   1   -529.50642687      0.05411612    11877.12      0.05612660    12318.37      1.5273
   7   1   -529.50391751      0.05662548    12427.86      0.05863596    12869.11      1.5956
   8   1   -529.50386429      0.05667869    12439.54      0.05868918    12880.79      1.5970
   9   1   -529.50008085      0.06046214    13269.91      0.06247262    13711.16      1.7000
  10   1   -529.49944311      0.06109987    13409.87      0.06311036    13851.12      1.7173
  11   1   -529.49941503      0.06112796    13416.04      0.06313844    13857.29      1.7181
  12   1   -529.49202949      0.06851350    15036.98      0.07052398    15478.23      1.9191
 
  13   2   -529.56252252     -0.00197953     -434.46      0.00003095        6.79      0.0008
  14   2   -529.55998764      0.00055535      121.89      0.00256584      563.14      0.0698
  15   2   -529.55308677      0.00745622     1636.45      0.00946670     2077.70      0.2576
  16   2   -529.51269572      0.04784727    10501.26      0.04985775    10942.51      1.3567
  17   2   -529.50714172      0.05340127    11720.22      0.05541175    12161.47      1.5078
  18   2   -529.50711727      0.05342571    11725.59      0.05543620    12166.84      1.5085
  19   2   -529.50642529      0.05411770    11877.46      0.05612818    12318.71      1.5273
  20   2   -529.50451623      0.05602676    12296.45      0.05803724    12737.70      1.5793
  21   2   -529.50390652      0.05663647    12430.27      0.05864695    12871.52      1.5959
  22   2   -529.50006146      0.06048152    13274.16      0.06249201    13715.41      1.7005
  23   2   -529.49943102      0.06111197    13412.53      0.06312245    13853.78      1.7176
  24   2   -529.49855172      0.06199127    13605.51      0.06400175    14046.76      1.7416
 
  25   3   -529.56252252     -0.00197953     -434.46      0.00003095        6.79      0.0008
  26   3   -529.55998764      0.00055535      121.88      0.00256583      563.13      0.0698
  27   3   -529.55308678      0.00745621     1636.45      0.00946669     2077.70      0.2576
  28   3   -529.51269572      0.04784727    10501.26      0.04985775    10942.51      1.3567
  29   3   -529.50714172      0.05340127    11720.22      0.05541175    12161.47      1.5078
  30   3   -529.50711727      0.05342571    11725.59      0.05543620    12166.84      1.5085
  31   3   -529.50642529      0.05411770    11877.46      0.05612818    12318.71      1.5273
  32   3   -529.50451623      0.05602676    12296.45      0.05803724    12737.70      1.5793
  33   3   -529.50390651      0.05663647    12430.27      0.05864696    12871.52      1.5959
  34   3   -529.50006147      0.06048152    13274.16      0.06249200    13715.41      1.7005
  35   3   -529.49943102      0.06111197    13412.53      0.06312245    13853.78      1.7176
  36   3   -529.49855172      0.06199126    13605.51      0.06400175    14046.76      1.7416
 
  37   4   -529.56255347     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251191     -0.00196893     -432.13      0.00004156        9.12      0.0011
  39   4   -529.55650102      0.00404197      887.11      0.00605245     1328.36      0.1647
  40   4   -529.51269556      0.04784743    10501.30      0.04985791    10942.55      1.3567
  41   4   -529.50719122      0.05335177    11709.36      0.05536226    12150.61      1.5065
  42   4   -529.50710614      0.05343685    11728.03      0.05544733    12169.28      1.5088
  43   4   -529.50642281      0.05412018    11878.01      0.05613066    12319.26      1.5274
  44   4   -529.50447752      0.05606546    12304.95      0.05807595    12746.20      1.5803
  45   4   -529.50390684      0.05663615    12430.20      0.05864664    12871.45      1.5959
  46   4   -529.50001792      0.06052506    13283.72      0.06253555    13724.97      1.7017
  47   4   -529.49943572      0.06110727    13411.50      0.06311775    13852.75      1.7175
  48   4   -529.49855636      0.06198663    13604.49      0.06399711    14045.74      1.7415
--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255370     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56005939      0.00048383      106.19      0.00249431      547.44      0.0679
   3   1   -529.55325997      0.00728325     1598.49      0.00929374     2039.74      0.2529
   4   1   -529.50718521      0.05335802    11710.73      0.05536850    12151.98      1.5067
   5   1   -529.50645803      0.05408519    11870.33      0.05609567    12311.58      1.5264
   6   1   -529.50642699      0.05411623    11877.14      0.05612671    12318.39      1.5273
   7   1   -529.50391757      0.05662565    12427.89      0.05863614    12869.14      1.5956
   8   1   -529.50386452      0.05667870    12439.54      0.05868919    12880.79      1.5970
   9   1   -529.50008095      0.06046227    13269.93      0.06247276    13711.18      1.7000
  10   1   -529.49944335      0.06109988    13409.87      0.06311036    13851.12      1.7173
  11   1   -529.49941510      0.06112812    13416.07      0.06313860    13857.32      1.7181
  12   1   -529.49202949      0.06851373    15037.03      0.07052422    15478.28      1.9191
 
  13   2   -529.56252275     -0.00197953     -434.46      0.00003095        6.79      0.0008
  14   2   -529.55998787      0.00055535      121.88      0.00256583      563.13      0.0698
  15   2   -529.55308701      0.00745621     1636.45      0.00946669     2077.70      0.2576
  16   2   -529.51269598      0.04784724    10501.25      0.04985772    10942.51      1.3567
  17   2   -529.50714191      0.05340131    11720.23      0.05541179    12161.48      1.5078
  18   2   -529.50711744      0.05342578    11725.60      0.05543626    12166.85      1.5085
  19   2   -529.50642547      0.05411775    11877.47      0.05612824    12318.72      1.5273
  20   2   -529.50451632      0.05602690    12296.48      0.05803739    12737.73      1.5793
  21   2   -529.50390670      0.05663652    12430.28      0.05864700    12871.53      1.5959
  22   2   -529.50006167      0.06048155    13274.17      0.06249204    13715.42      1.7005
  23   2   -529.49943111      0.06111211    13412.56      0.06312260    13853.81      1.7177
  24   2   -529.49855187      0.06199135    13605.53      0.06400183    14046.78      1.7416
 
  25   3   -529.56252276     -0.00197954     -434.46      0.00003095        6.79      0.0008
  26   3   -529.55998788      0.00055534      121.88      0.00256583      563.13      0.0698
  27   3   -529.55308702      0.00745620     1636.45      0.00946668     2077.70      0.2576
  28   3   -529.51269598      0.04784724    10501.25      0.04985772    10942.51      1.3567
  29   3   -529.50714191      0.05340131    11720.23      0.05541179    12161.48      1.5078
  30   3   -529.50711744      0.05342578    11725.60      0.05543626    12166.85      1.5085
  31   3   -529.50642547      0.05411776    11877.47      0.05612824    12318.72      1.5273
  32   3   -529.50451632      0.05602690    12296.48      0.05803738    12737.73      1.5793
  33   3   -529.50390670      0.05663652    12430.28      0.05864700    12871.53      1.5959
  34   3   -529.50006167      0.06048155    13274.17      0.06249204    13715.42      1.7005
  35   3   -529.49943111      0.06111211    13412.56      0.06312260    13853.81      1.7177
  36   3   -529.49855187      0.06199135    13605.53      0.06400183    14046.78      1.7416
 
  37   4   -529.56255370     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251215     -0.00196893     -432.13      0.00004155        9.12      0.0011
  39   4   -529.55650125      0.00404197      887.11      0.00605245     1328.36      0.1647
  40   4   -529.51269582      0.04784740    10501.29      0.04985788    10942.54      1.3567
  41   4   -529.50719141      0.05335181    11709.37      0.05536229    12150.62      1.5065
  42   4   -529.50710632      0.05343690    11728.04      0.05544738    12169.29      1.5088
  43   4   -529.50642296      0.05412026    11878.02      0.05613075    12319.27      1.5274
  44   4   -529.50447780      0.05606542    12304.94      0.05807591    12746.19      1.5803
  45   4   -529.50390690      0.05663632    12430.24      0.05864680    12871.49      1.5959
  46   4   -529.50001799      0.06052523    13283.75      0.06253571    13725.00      1.7017
  47   4   -529.49943596      0.06110726    13411.49      0.06311774    13852.74      1.7175
  48   4   -529.49855647      0.06198675    13604.52      0.06399723    14045.77      1.7415
--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255414     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56005983      0.00048383      106.19      0.00249431      547.44      0.0679
   3   1   -529.55326040      0.00728325     1598.49      0.00929373     2039.74      0.2529
   4   1   -529.50718525      0.05335841    11710.82      0.05536889    12152.07      1.5067
   5   1   -529.50645836      0.05408529    11870.35      0.05609577    12311.60      1.5264
   6   1   -529.50642675      0.05411691    11877.29      0.05612739    12318.54      1.5273
   7   1   -529.50391673      0.05662692    12428.17      0.05863741    12869.42      1.5956
   8   1   -529.50386508      0.05667858    12439.51      0.05868906    12880.76      1.5970
   9   1   -529.50008057      0.06046308    13270.11      0.06247356    13711.36      1.7000
  10   1   -529.49944360      0.06110005    13409.91      0.06311053    13851.16      1.7173
  11   1   -529.49941472      0.06112894    13416.25      0.06313942    13857.50      1.7181
  12   1   -529.49202856      0.06851509    15037.33      0.07052558    15478.58      1.9191
 
  13   2   -529.56252319     -0.00197954     -434.46      0.00003095        6.79      0.0008
  14   2   -529.55998831      0.00055535      121.88      0.00256583      563.13      0.0698
  15   2   -529.55308745      0.00745621     1636.45      0.00946669     2077.70      0.2576
  16   2   -529.51269653      0.04784713    10501.23      0.04985761    10942.48      1.3567
  17   2   -529.50714202      0.05340163    11720.30      0.05541211    12161.55      1.5078
  18   2   -529.50711748      0.05342618    11725.69      0.05543666    12166.94      1.5085
  19   2   -529.50642559      0.05411807    11877.54      0.05612855    12318.79      1.5273
  20   2   -529.50451582      0.05602783    12296.69      0.05803831    12737.94      1.5793
  21   2   -529.50390685      0.05663680    12430.34      0.05864729    12871.59      1.5959
  22   2   -529.50006181      0.06048185    13274.23      0.06249233    13715.48      1.7005
  23   2   -529.49943069      0.06111297    13412.75      0.06312345    13854.00      1.7177
  24   2   -529.49855184      0.06199181    13605.63      0.06400230    14046.88      1.7416
 
  25   3   -529.56252319     -0.00197954     -434.46      0.00003095        6.79      0.0008
  26   3   -529.55998831      0.00055534      121.88      0.00256582      563.13      0.0698
  27   3   -529.55308746      0.00745620     1636.45      0.00946668     2077.70      0.2576
  28   3   -529.51269653      0.04784713    10501.23      0.04985761    10942.48      1.3567
  29   3   -529.50714202      0.05340163    11720.30      0.05541211    12161.55      1.5078
  30   3   -529.50711748      0.05342618    11725.69      0.05543666    12166.94      1.5085
  31   3   -529.50642559      0.05411807    11877.54      0.05612855    12318.79      1.5273
  32   3   -529.50451583      0.05602783    12296.69      0.05803831    12737.94      1.5793
  33   3   -529.50390685      0.05663681    12430.34      0.05864729    12871.59      1.5959
  34   3   -529.50006181      0.06048185    13274.23      0.06249233    13715.48      1.7005
