R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.13	96556.13928927339	97141.92146623266	98285.81226405874	105795.09722407277	105824.01081183532	107458.97389953361	107687.52600024022	108567.36687071377	108608.87830222647	109573.2103210171	109999.55076351637	110642.93844662324	95555.26693934071	97482.17737460953	99045.78926010779	105729.14290301406	105878.46905178718	106364.64047317613	107322.28729472341	107325.76816234693	108351.1229072654	108858.45168300279	109630.67316864185	110619.53806157333	95555.26693934071	97482.17298511344	99045.78267586367	105729.14290301406	105878.46246754307	106364.63827842809	107322.28729472341	107325.76816234693	108351.1229072654	108858.44948825474	109630.66877914577	110619.5314773292	95532.51839393502	97141.92146623266	98178.43649608215	105692.94714704002	105795.59982097495	106344.11740051252	107321.69910272249	107469.05656404977	108569.93033440465	108796.42595781865	109573.23665796865	110552.23616629033
2.15	96464.72810587214	96920.6230020629	98090.34815859517	105740.88040623076	105779.60012045591	107211.63696526452	107766.48419313726	108297.45697073256	108429.65970886292	109401.96524097402	109816.32017392755	110485.28543039446	95481.19864121168	97264.56827897747	98831.27475674344	105659.0975748505	105816.89983382131	106267.59537601979	107124.80182791092	107245.55896408949	108161.27515757259	108665.61029935237	109459.10107139016	110452.3730148949	95481.19864121168	97264.56169473336	98831.26597777623	105659.07562739504	105816.8888600811	106267.5909865237	107124.80182791092	107245.55896408949	108161.27296282454	108665.61029935237	109459.08351343079	110452.3576516586	95456.48579785622	96920.6230020629	97966.98585856284	105620.5841667915	105744.67512257463	106239.7374612416	107244.53840704884	107268.59063174296	108377.16357211277	108603.34315205837	109402.25275271789	110385.72295925609
2.16	96419.85871252642	96815.99725118604	97999.35836646848	105720.33538611169	105757.4485460433	107164.70012088597	107634.72479376188	108284.62648386472	108338.40874194392	109322.53956711851	109728.26914710736	110405.39227558047	95445.79299388368	97161.88926806605	98730.06403112371	105623.06642485477	105787.72068177036	106221.042612249	107030.54625329409	107215.3307232983	108072.76762353414	108575.59716933046	109379.11354248525	110374.63729568361	95445.79079913563	97161.88268382192	98730.05744687958	105623.06642485477	105787.71409752623	106221.04041750098	107030.54625329409	107215.3307232983	108072.7654287861	108575.59716933046	109379.10695824113	110374.63071143949	95420.08812523706	96815.99725118604	97867.41021893622	105583.99774596556	105720.95430458519	106188.84787878497	107174.61159517968	107214.09288637625	108287.11971566819	108513.2246742303	109322.56590407004	110308.31645200145
2.17	96375.61262710039	96715.17938516625	97912.67905610104	105697.63512513795	105737.66071339957	107074.73088582489	107615.07523011997	108198.59681839345	108258.68019310824	109246.49819204754	109647.06572876082	110333.81062501078	95411.40351412518	97063.09276337022	98632.68313779155	105586.3197875466	105757.27077160169	106177.45934023234	106906.29508102873	107249.84749834337	107958.17114021635	108492.79158618646	109302.72320277519	110302.64522755462	95411.40131937715	97063.08837387414	98632.67655354744	105586.3197875466	105757.2663821056	106177.45714548431	106906.29508102873	107249.84749834337	107958.17114021635	108492.79158618646	109302.7188132791	110302.63864331049	95384.70442538947	96715.17938516625	97771.72586449243	105547.61543655774	105695.26918862105	106140.39007521165	107041.01080366998	107248.3331233927	108180.77108895143	108430.52663366546	109246.38845474529	110236.67773800765
2.19	96288.85211113028	96524.40984201978	97751.61540413617	105655.26774256292	105701.3749728307	106906.08877486257	107571.06617733266	108037.96992093943	108115.21182224069	109104.7878129636	109497.77030646027	110201.13821117391	95345.4799195141	96876.59419654323	98448.81607176986	105508.67624770313	105707.52465197621	106095.17171720187	106770.8397288715	107148.86941584133	107831.02070808427	108329.34882921644	109160.5102267641	110162.98474149423	95345.4799195141	96876.58980704714	98448.80948752574	105508.67405295509	105707.52026248013	106095.16952245383	106770.8397288715	107148.86941584133	107831.01851333622	108329.34663449335	109160.50364251998	110162.97596252701	95316.79897486925	96524.40984201978	97591.4494033965	105471.06926983655	105656.02931953434	106048.02637193407	106915.83564317797	107146.90511789157	108040.44998425466	108266.75466476374	109104.81414991514	110097.5922754849
2.2	96246.28281188519	96434.18162686452	97676.91940856642	105635.50405212269	105684.77830131855	106827.13497148656	107546.14922258405	107963.08078769177	108051.6322166661	109038.83349190488	109429.41273819291	110139.76871513006	95313.85362531863	96788.61998585457	98362.05116627873	105468.35436865558	105683.39341640251	106058.61602282355	106691.4755079362	107132.93336294062	107757.86981391281	108254.73842877039	109094.27936767679	110099.12640316793	95313.85362531863	96788.61559635849	98362.04458205956	105468.35436865558	105683.38902690643	106058.61163332747	106691.4755079362	107132.93116819259	107757.86981391281	108254.73842877039	109094.27278343267	110099.11762417576	95284.19382382096	96434.18162686452	97506.57417449658	105432.24420780524	105636.32049774523	106006.20987066823	106836.82038690671	107130.68374799505	107965.55646153587	108192.11134309707	109038.86202360447	110034.03681213876
2.22	96162.67834107803	96263.39085929167	97538.43311178479	105598.6015878533	105654.44471269626	106679.29247121647	107489.44795193072	107823.45761232312	107940.93360277524	108916.0549943774	109304.59751610516	110026.29155243991	95253.05695806436	96622.58523349407	98198.19799177434	105385.26346849081	105638.96736178682	105993.73712745661	106542.7353564409	107107.79473883948	107621.87455416167	108115.98437292736	108970.95876783229	109980.6166871869	95253.05695806436	96622.58084402294	98198.19140753022	105385.26127374277	105638.96516703878	105993.73493270857	106542.7353564409	107107.79473883948	107621.87455416167	108115.98217817931	108970.95218358816	109980.61010296774	95221.4921167891	96263.39085929167	97346.6781275414	105353.11043518966	105599.53874451829	105931.14735247503	106688.84620185397	107104.88450523256	107825.92889667115	108053.37703996146	108916.08352607698	109916.12187242774
2.23	96121.62561155659	96182.5824952931	97474.3311566006	105581.37941362355	105640.62000576427	106610.15137852223	107457.5560934219	107758.4623954098	107893.60170407368	108858.97622736043	109247.86112950812	109973.94026896066	95223.80757412601	96544.28326976228	98120.85952165908	105342.98168101453	105618.56280544258	105965.16811486204	106473.10483530778	107097.93593844885	107558.76681906657	108051.61465868176	108913.61443650196	109925.70413476482	95223.80537937797	96544.27668551815	98120.85293741495	105342.98168101453	105618.55841594649	105965.16372536596	106473.10483530778	107097.93374370079	107558.76681906657	108051.61465868176	108913.61004700587	109925.6975505207	95191.32313414512	96182.5824952931	97271.40271893793	105313.05631522846	105582.38241267987	105897.85305109079	106619.63487729727	107094.63723476302	107760.9292902368	107989.06877863606	108859.00475906002	109861.4990265225
2.25	96029.56478323422	96041.01696943014	97355.645860926	105549.19784862282	105615.44626569447	106480.83912126641	107387.56124443833	107637.47700560965	107813.41445327169	108752.83390680981	109145.00434415508	109877.43946889433	95167.41137320087	96396.53733833114	97974.76184468436	105258.27764231211	105581.00850150402	105914.86452968325	106342.72154188123	107082.31153954541	107441.69466192964	107932.37848169799	108806.95635056091	109823.94691730704	95167.41137320087	96396.53075408701	97974.75526046519	105258.27544758903	105581.00411200794	105914.86014018717	106342.72154188123	107082.31153954541	107441.6924671816	107932.37848169799	108806.94976631679	109823.94033308787	95133.1886941438	96029.56478323422	97129.58479727482	105232.80761150629	105550.35009044611	105839.16114553616	106490.1667930553	107078.08445816181	107639.93731621746	107870.10475018482	108752.8624385094	109760.30805361019
2.26	95957.1315710983	96001.4698358672	97300.76184020349	105534.16822596443	105604.02261119812	106420.44189785622	107350.20666239686	107581.24980015891	107779.56927057827	108703.5442944026	109098.5810704189	109833.07706192193	95140.19871382277	96326.87609077535	97905.77877374928	105216.33823528072	105563.7160954118	105892.74148697025	106281.73832116823	107076.11577074093	107387.48881780288	107877.32766027407	108757.41434232859	109776.86741443057	95140.19871382277	96326.86950653122	97905.77218950515	105216.33823528072	105563.71390066377	105892.73709747416	106281.73832116823	107076.11577074093	107387.48881780288	107877.32766027407	108757.40775808448	109776.86083018646	95105.1617838912	95957.1315710983	97062.81403059357	105192.96857667844	105535.40386813844	105813.42116094584	106429.68616926944	107071.329029056	107583.70572127064	107815.27779286147	108703.57282610219	109713.50728351038
