 R = [9.28, 7.37, 6.44, 5.85, 5.43, 5.11, 4.85, 4.64, 4.46, 4.31, 4.17, 4.05, 3.95, 3.85, 3.76, 3.68, 3.61, 3.54, 3.48, 3.42]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  14   2   -529.55998604      0.00055868      122.62      0.00256912      563.86      0.0699
  15   2   -529.55308123      0.00746349     1638.05      0.00947393     2079.29      0.2578
  16   2   -529.51263570      0.04790903    10514.82      0.04991946    10956.06      1.3584
  17   2   -529.50708771      0.05345701    11732.46      0.05546744    12173.70      1.5093
  18   2   -529.50700257      0.05354216    11751.15      0.05555259    12192.38      1.5117
  19   2   -529.50630701      0.05423771    11903.80      0.05624815    12345.04      1.5306
  20   2   -529.50435968      0.05618505    12331.19      0.05819548    12772.43      1.5836
  21   2   -529.50378987      0.05675485    12456.25      0.05876529    12897.49      1.5991
  22   2   -529.50000883      0.06053589    13286.09      0.06254632    13727.33      1.7020
  23   2   -529.49926207      0.06128265    13449.99      0.06329309    13891.23      1.7223
  24   2   -529.49841997      0.06212476    13634.81      0.06413519    14076.05      1.7452
 
  25   3   -529.56252254     -0.00197782     -434.08      0.00003262        7.16      0.0009
  26   3   -529.55998604      0.00055868      122.62      0.00256911      563.86      0.0699
  27   3   -529.55308124      0.00746348     1638.05      0.00947392     2079.28      0.2578
  28   3   -529.51263570      0.04790903    10514.82      0.04991946    10956.06      1.3584
  29   3   -529.50708771      0.05345701    11732.46      0.05546744    12173.70      1.5093
  30   3   -529.50700257      0.05354216    11751.15      0.05555259    12192.38      1.5117
  31   3   -529.50630701      0.05423771    11903.80      0.05624815    12345.04      1.5306
  32   3   -529.50435968      0.05618504    12331.19      0.05819548    12772.43      1.5836
  33   3   -529.50378987      0.05675485    12456.25      0.05876529    12897.49      1.5991
  34   3   -529.50000883      0.06053589    13286.09      0.06254632    13727.33      1.7020
  35   3   -529.49926207      0.06128265    13449.99      0.06329309    13891.23      1.7223
  36   3   -529.49841997      0.06212476    13634.81      0.06413519    14076.05      1.7452
 
  37   4   -529.56255516     -0.00201043     -441.24      0.00000000        0.00      0.0000
  38   4   -529.56251135     -0.00196663     -431.62      0.00004381        9.62      0.0012
  39   4   -529.55650167      0.00404305      887.35      0.00605349     1328.59      0.1647
  40   4   -529.51263523      0.04790950    10514.92      0.04991993    10956.16      1.3584
  41   4   -529.50705950      0.05348522    11738.65      0.05549565    12179.89      1.5101
  42   4   -529.50695984      0.05358488    11760.52      0.05559532    12201.76      1.5128
  43   4   -529.50633493      0.05420980    11897.68      0.05622023    12338.91      1.5298
  44   4   -529.50449553      0.05604919    12301.38      0.05805963    12742.62      1.5799
  45   4   -529.50370204      0.05684268    12475.53      0.05885312    12916.77      1.6015
  46   4   -529.49984670      0.06069802    13321.68      0.06270846    13762.92      1.7064
  47   4   -529.49943622      0.06110850    13411.77      0.06311893    13853.00      1.7176
  48   4   -529.49838468      0.06216004    13642.55      0.06417047    14083.79      1.7462

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56253441     -0.00201041     -441.23      0.00000000        0.00      0.0000
   2   1   -529.56003385      0.00049015      107.58      0.00250056      548.81      0.0680
