R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.19	96399.60998316834	96635.21599846485	97862.50715570492	105766.00366714552	105812.13723436483	107016.90371032474	107681.84599682617	108148.85947776014	108226.02017343379	109215.61591688906	109608.49525730265	110312.16823176944	95456.23779155215	96987.43766368003	98559.67051264687	105619.38144581315	105818.29349772952	106206.0042106234	106881.63052210523	107259.65143008289	107941.94318610065	108440.22302282581	109271.2702935502	110273.92038799885	95456.23779155215	96987.43327418395	98559.66392840275	105619.38144581315	105818.28910823344	106205.99982112733	106881.63052210523	107259.65143008289	107941.94318610065	108440.22302282581	109271.26590405412	110273.91160900668	95427.53928892297	96635.21599846485	97702.3631024207	105581.76568897936	105766.76524409198	106158.92031825086	107026.6483838921	107257.66518467767	108151.34173582341	108377.63324784423	109215.6422538406	110208.47085859036
2.2	96357.04507341933	96544.98778333452	97787.80896538713	105746.24217145333	105795.54275757578	106937.94771217574	107656.9312368256	108073.97034451248	108162.43837311114	109149.6615958054	109540.1376890353	110250.79215148147	95424.61369210471	96899.46345299137	98472.90560715573	105579.06615103467	105794.16445690386	106169.444126749	106802.2663011699	107243.71318245909	107868.79009715619	108365.6126223548	109205.04162921091	110210.05985489956	95424.61149735667	96899.45906349529	98472.89902291162	105579.06395628664	105794.16006740778	106169.43973725293	106802.2663011699	107243.71318245909	107868.79009715619	108365.6126223548	109205.03504496679	110210.05327065544	95394.93633264767	96544.98778333452	97617.48567877275	105542.94282167112	105747.05861707586	106117.10381698502	106947.63532234394	107241.44381478113	108076.44601833163	108302.98773142953	109149.69012750497	110144.91320047122
2.21	96314.9937343127	96458.02315594631	97716.79794883405	105727.36954801911	105779.91396917627	106862.39137604758	107629.7690566275	108002.50940498525	108104.3588017859	109086.79528279521	109475.79211701815	110192.55016892594	95393.81920676808	96814.83623039552	98389.4064841797	105537.85759450213	105771.33031639943	106135.66039695083	106726.27540527894	107230.14087132724	107799.11787586019	108294.52698444319	109141.90316764325	110149.31366680034	95393.81920676808	96814.82964617635	98389.40209468361	105537.85539975409	105771.32592690334	106135.65820220279	106726.27540527894	107230.1386765792	107799.11787586019	108294.52698444319	109141.89658339912	110149.30488783313	95363.18054841759	96458.02315594631	97535.93549048522	105503.59102053414	105728.24305704082	106078.13609643084	106872.01533857248	107227.5554601809	108004.98288405636	108231.89770402183	109086.8238144948	110084.46549788103
2.22	96273.44499210826	96374.19701576167	97649.31608436137	105709.34190190703	105765.21136372648	106790.10521190565	107600.23655041639	107934.34497439579	108051.73536974918	109026.8852930509	109415.32246694755	110137.31059929523	95363.8192195985	96733.43089540386	98309.05023790331	105495.98402983711	105749.7427918092	106104.55864713795	106653.52834439771	107218.574558333	107732.79264268195	108226.8541770157	109081.72322408951	110091.54574944741	95363.8192195985	96733.42431115975	98309.04365365919	105495.98402983711	105749.73840231312	106104.55425764187	106653.52834439771	107218.574558333	107732.79264268195	108226.8541770157	109081.71663987034	110091.53916520328	95332.23462559086	96374.19701576167	97457.58524232148	105463.81782807267	105710.27905857202	106042.03690929574	106799.66113729119	107215.64457201866	107936.81406399577	108164.25123357083	109026.91382475049	110026.99387126412
2.23	96232.3944573099	96293.39084648619	97585.21193442914	105692.11972770221	105751.38665676952	106720.96631395945	107568.35127615169	107869.34756273445	108004.40127629956	108969.80652603394	109358.58827509856	110084.95492629496	95334.56983566014	96655.12673689908	98231.70957304	105453.71102135301	105729.33604069197	106075.9852450473	106583.89782328953	107208.71575794235	107669.68271283882	108162.48446279505	109024.38108750722	110036.63319702531	95334.5676409121	96655.122347403	98231.70298879588	105453.70882660497	105729.33384594393	106075.98085555121	106583.89782328953	107208.71575794235	107669.68051809078	108162.48446279505	109024.37450328804	110036.62441803314	95302.06783769492	96293.39084648619	97382.30763899493	105423.7680975826	105693.12492150658	106008.7426079115	106730.44981273449	107205.39730154912	107871.81445756143	108099.94297222048	108969.83505773351	109972.37102535888
2.24	96191.84212991766	96215.48613182546	97524.32967205119	105675.665714688	105738.40034291553	106654.85397116655	107534.28442408078	107807.39206941276	107962.04486743979	108915.4382706769	109305.4402987042	110035.37121789975	95306.03374426124	96579.81401762881	98157.26816801845	105411.30413336314	105710.04202598319	106049.7558320181	106517.26532563507	107200.29890589188	107609.66079101927	108101.3124939252	108969.75165735785	109984.44651949944	95306.03374426124	96579.80962813273	98157.26158379928	105411.3019386151	105710.03983123515	106049.75144252201	106517.26532563507	107200.29890589188	107609.65859627124	108101.3124939252	108969.74726786178	109984.43993525532	95272.64287406299	96215.48613182546	97309.9819694132	105383.61082453832	105676.74114037977	105978.13028651255	106664.26284855808	107196.54369496285	107809.85457476861	108038.87854592978	108915.46680237647	109920.47185960182
2.25	96140.37313445227	96151.79020470449	97466.52005451042	105659.94035744952	105726.21511147272	106591.65405672858	107498.3630113873	107748.35997818623	107924.21183072458	108863.66420545836	109255.72929499747	109988.44754200945	95278.17582948305	96507.38080546794	98085.60970134218	105369.01795639079	105691.78393150146	106025.6750756244	106453.51452983802	107193.095748535	107552.60397145776	108043.24609106324	108917.72300156618	109934.87159007145	95278.17582948305	96507.37641599681	98085.6053118461	105369.01576164275	105691.78173675342	106025.67068612832	106453.51452983802	107193.09355378695	107552.60397145776	108043.24609106324	108917.71641734701	109934.86281107929	95243.93559244164	96140.37313445227	97240.48752258377	105343.52597810455	105661.09479399593	105950.04411811274	106600.98392324055	107188.84671969595	107750.818094046	107980.97455429811	108863.69273715795	109871.18005244657
2.26	96067.94211706439	96112.24746061268	97411.63383903987	105644.91512426228	105714.79145697638	106531.25683329343	107461.01281886686	107692.13057798745	107890.36664803115	108814.37459305115	109209.3060212613	109944.08294028901	95250.96317010495	96437.72175266019	98016.62663038215	105327.08513357857	105674.49372015728	106003.5476434153	106392.53350389803	107186.89997973052	107498.398127331	107988.19526961437	108868.18099335881	109887.78989244695	95250.96317010495	96437.71516841606	98016.62004613802	105327.08293883053	105674.48933066119	106003.54325391921	106392.53350389803	107186.89778498247	107498.398127331	107988.19526961437	108868.17440911468	109887.78111345478	95215.9108769371	96067.94211706439	97173.71456115448	105303.69352752082	105646.14857168825	105924.29974402634	106540.50110470665	107182.09129059012	107694.58430435114	107926.14540222671	108814.40312475074	109824.37708759872
2.27	95998.08992655377	96073.2204819113	97359.51958814944	105630.55050973635	105704.0920687597	106473.55695305491	107422.70571694906	107638.5919367412	107859.93210109878	108767.45750140498	109166.01026101345	109902.17645445329	95224.36065020818	96370.7315113495	97950.21141258413	105285.70319210048	105658.1011600383	105983.1935662261	106334.21251046292	107181.52943554074	107446.92913186562	107936.07443447981	108821.02028485473	109843.09168929873	95224.36065020818	96370.72492710537	97950.20482836496	105285.70319210048	105658.09896529026	105983.18917675495	106334.21251046292	107181.52943554074	107446.92693711758	107936.07443447981	108821.01370061061	109843.08291030656	95188.54458532087	95998.08992655377	97109.54895832701	105264.27588396755	105631.8717470091	105900.71061079462	106482.71343462134	107176.09085418665	107641.04346835685	107874.32744207233	108767.48822785259	109779.95322773106
2.29	95865.72916671417	95996.77527352514	97263.03854081548	105603.68462027426	105684.73221163465	106365.84538890253	107345.03364538106	107539.15676086445	107807.14186833569	108680.34143652668	109088.16480449992	109825.37569715895	95172.86970726239	96244.36899311542	97824.67411898971	105205.2372084969	105627.78073990425	105947.14705299407	106225.14459309407	107172.61437605921	107351.76712703143	107840.3461851251	108733.42357052972	109760.42876465264	95172.86970726239	96244.3646036443	97824.66753474559	105205.2372084969	105627.77854515621	105947.1404687749	106225.14459309407	107172.61437605921	107351.76712703143	107840.34399037706	108733.41479153755	109760.41998566047	95135.68631544335	95865.72916671417	96988.62941091816	105187.28418376831	105605.19899522493	105859.26502167324	106374.80873279105	107165.64605656808	107541.60170826093	107779.48367547951	108680.37216297431	109697.82362645974
