R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
2.19	296003.2082907663	313073.0556245083	320365.62193821743	314573.95489638794	215378.59825657486	156016.7199821342	170279.5327551477	257544.4277008251	214120.40364336708	203556.89634479315	256495.764178257	248379.094337114	311560.4458695595	227839.13002687282
2.2	292916.24631283013	309222.52220743295	315977.672187432	310217.27633618074	212315.8396237102	151612.83458393262	165425.18467322932	252791.37665220627	211835.86109220187	198352.55794916177	252029.77597503306	243706.27724241704	308175.94712737337	223364.18404743253
2.21	289898.9831169812	305452.79611756466	311703.55171686324	305981.7388708477	209147.6133857334	147300.09275317192	160696.7916240105	248176.9727968392	209655.8000129447	193476.2858915123	247698.85889185785	239179.2717927436	304921.75189256726	219033.2207093773
2.22	286949.44051053456	301762.2401031272	307541.1981194442	301864.9872085417	205884.07205421894	143079.85180036543	156095.43874825517	243699.95686333906	207562.53775071827	188949.46861368595	243501.72001721844	234797.809553508	301794.8582247294	214844.86556857402
2.23	284065.61041729985	298149.27370439534	303488.3108123824	297864.5938412192	202538.72974156932	138951.59524688515	151619.7872635838	239359.08925900832	205542.25199812592	184782.94131648462	239437.453712788	230561.4823009544	298792.2551419962	210798.37122236786
2.24	281245.5094206344	294612.58525263466	299542.7045699676	293978.02274795965	199126.92323659625	134913.7135684816	147266.78577963135	235153.05679488415	203584.95106452398	180973.26254024066	235504.96808834077	226469.69923198462	295910.7722651469	206893.1624080768
2.25	278487.28834400745	291150.82134855655	295701.9591626349	290202.67345452524	195664.4261634433	130963.57933181811	143032.48873211266	231080.62972148496	201684.52140152844	177501.31004303484	231703.54618279767	222522.06279353524	293147.37228875555	203128.3240102999
2.26	275789.0077301053	287762.79697067436	291964.0304978982	286535.8448486314	192166.90949362627	127098.05306223047	138912.31421715295	227140.4647800441	199837.34669673812	174336.73798794346	228032.35473239512	218718.1252967691	290498.8386740637	199503.47902086095
2.27	273148.82262153	284447.2972756686	288326.40660814324	282974.78149310173	188648.6919712092	123313.46490159727	134902.00055261946	223331.26451046407	198041.745302122	171441.191775177	224491.02879528777	215057.0515781617	287962.0307990456	196017.92206113535
2.29	268035.83023333055	278029.99712599354	281343.53369412356	276158.4817829812	181602.06363663584	115972.73736881607	127193.48644130128	216100.36795815188	194600.17228737127	166299.19850420018	217795.84128040925	208161.72006359117	283211.20783813635	189463.6754095895
2.3	265559.5572700729	274926.2691422564	277993.42184941703	272897.56743875484	178095.68342740557	112409.2653882566	123487.52309490238	212676.45645176867	192950.35857219735	163981.31790662633	214641.89986446782	204926.10986620223	280990.7449340139	186393.95616725917
2.31	263134.48263956443	271891.216256013	274734.53291610884	269730.8632163744	174613.03235353116	108912.56920499638	119876.38673797896	209379.9305602112	191343.90646791016	161797.40610482715	211617.04482071564	201834.3925518296	278869.34355098003	183467.14206354905
2.32	260759.04438169135	268924.03136125696	271564.5677402772	266655.76868532633	171161.81621780095	105479.12002922082	116356.06159789306	206213.8066280356	189772.29162807524	159716.3448399632	208721.52663861823	198879.44712741053	276843.6737407711	180672.99449890116
2.33	258431.64978707043	266023.7737407459	268481.0286831359	263669.0084006367	167748.56642835212	102106.10560355849	112924.87448267493	203200.0523857287	188216.82369546877	157724.81060880932	205956.24294847634	196064.51159648687	274911.03671778773	178015.52982041994
2.35	253915.10219999633	260420.41063431112	262564.287128687	257949.39499622342	161057.02734237755	95529.19137280431	106321.4278469888	197241.10919634797	185377.58334211676	153960.29331013473	200817.9911522899	190852.47176025473	271311.38414749	173107.9769728777
2.36	251719.25108813922	257715.1013666361	259725.11193119577	255210.72738917294	157784.00414599405	92318.23446080927	103144.95526683459	194566.81436594966	183900.46690524684	152169.70574967298	198444.87242982019	188453.66724646062	269637.7393961544	170855.85598172605
2.37	249565.73447206488	255072.86645825548	256963.03643230416	252549.2008278268	154565.7816291124	89156.56453152224	100049.52298294824	191978.32974668185	182455.04285858182	150432.68793522104	196202.49652737562	186192.45941699643	268044.2524644551	168735.90005378186
2.38	247456.94142496554	252493.4460876122	254277.16574915277	249962.4653015502	151409.4307973071	85900.31097174858	97221.65715690749	189496.19167801604	181029.6269992991	148745.29179845372	194091.24098149952	184069.2906520158	266528.5685443105	166746.8716007301
2.4	243357.2656272425	247517.2436313008	249121.07712978203	245002.29342135685	145279.42776207454	79939.9533740888	91270.01199408874	184838.74301359124	178198.43811469217	145510.58922860998	190250.62831852486	180226.82240099116	263716.8792320443	163152.5561908827
2.41	241364.31735687645	245118.76911997618	246646.8781855694	242623.79424457203	142309.33285717655	76948.60258487838	88502.97589312233	182663.41621030358	176788.44640169435	143960.4120998569	188514.24236828508	178502.3833965284	262415.0192985334	161542.39906334376
2.43	237484.8741138122	240493.75025272006	241892.91439159072	238058.4846033446	136565.05812329284	71067.19057081413	86663.9673986592	178449.9276045031	174078.28325403362	140997.4389497817	185383.43847357415	175425.6957166641	260004.6208427153	158680.70864830146
2.44	235596.7303285925	238264.5331977312	239609.32334874265	235866.04803752393	133792.6340641209	68171.57019705234	86663.9673986592	176723.63421038655	172587.5023128007	139578.24831230755	183976.46068779688	174062.2311658636	258890.4453012884	157421.9353028879
2.46	231918.42687038105	233966.8873976736	235218.34486015313	231651.44937718488	128451.02832609811	62453.0082500839	86663.9673986592	173228.19573429134	169841.46899840454	136869.8634238341	181444.42102773878	171650.91929453428	256830.5204374969	156762.85361272466
2.47	230126.4135245879	231892.72061390575	233106.99778285457	229619.73045154446	125882.05865615337	59622.07382061241	86663.9673986592	171611.88048644928	168496.19386986896	135562.4959436253	180305.96629964595	170586.58310951968	255879.49608500613	156762.85361272466
2.49	226632.33078142424	227898.96272238102	229042.06112750305	225718.57506279962	120949.31764028195	58072.020200161554	86663.9673986592	168629.17768091205	165891.58215830155	133113.55867008047	178252.10205783148	168711.5510415138	254122.60406060718	156762.85361272466
